"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
15092.609,14388.627,7918.79,6209.542,5517.721,7655.992,2991.633,1759.427,3561.66,29623.821,2492.389,1273.645
14776.786,25078.781,11753.899,17484.357,16004.329,5237.303,2123.955,2291.568,6818.008,11167.624,1740.518,1664.047
8023.901,11768.242,53488.463,24462.342,3220.436,2154.754,13601.75,18748.663,6534.683,16307.035,2319.346,4590.349
6420.499,17390.025,24314.406,68265.035,9055.368,3791.734,2922.082,18851.11,20489.734,11601.364,2872.735,7839.095
5401.936,16032.904,3161.242,9131.902,16253.299,10723.089,715.497,1158.668,13231.558,6274.243,1944.127,1270.689
7680.21,5241.921,2283.672,3645.671,10806.375,17399.753,768.742,956.079,5387.558,12489.494,4112.198,984.732
2724.961,2274.763,13374.065,3058.943,735.512,585.512,7982.088,5175.994,1797.31,13013.303,845.575,2238.613
1513.702,2158.229,18975.525,18810.441,1265.346,931.83,5381.17,20550.684,3689.748,5687.621,1079.12,4130.677
3509.092,6897.258,6527.245,20835.978,12177.416,5543.988,1869.515,3944.497,25257.738,9803.305,5002.687,2766.797
29761.482,11254.097,16527.487,11776.74,5750.591,12380.999,13026.655,5273.103,9647.101,151425.254,18821.462,4909.611
2482.696,1872.466,2013.192,3048.74,2078.302,4056.553,923.369,1175.639,5373.332,18912.269,21729.961,1266.283
1233.708,1609.003,4759.09,8073.665,1152.99,1064.317,2155.974,4225.542,2941.248,4828.969,1254.69,10476.254
