"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
105587.774,36746.488,15061.727,15623.836,9556.347,8884.151,35752.512,7157.514,22901.406,18753.892,15500.749,8489.298,9735.369,3020.791,8306.119,5221.611,5884.496,3232.594,2012.419,4752.025,1539.275
36967.882,104429.43,17430.859,8180.164,6134.412,4424.839,8984.612,4455.89,8714.061,12184.098,29947.863,27653.246,12931.432,2279.516,4302.682,3147.213,7169.04,3088.814,1872.614,2996.614,1467.511
14717.555,18209.446,78851.183,28606.6,7177.205,4460.282,7116.285,4791.007,3782.895,4460.658,5368.153,4064.024,28530.021,18186.245,10480.53,4143.128,3774.509,4180.255,3877.665,4056.83,1270.867
15930.903,8291.727,28990.388,114932.866,37605.773,10023.048,23894.652,9830.665,7116.796,6244.945,6662.092,4734.675,9888.605,10731.045,45166.502,9428.546,4334.72,4319.08,4840.491,10357.522,2847.996
9247.702,6206.893,6908.452,37050.131,112167.487,35919.938,18308.003,25187.33,8004.353,6083.131,5955.87,3328.084,6942.648,3765.884,28746.936,24317.441,3932.005,2773.03,2749.218,7345.108,3737.749
8608.772,4160.469,4194.592,9847.676,36443.299,100921.559,28908.048,41847.923,17974.039,4857.889,3858.375,2731.505,4560.237,1929.969,6980.254,8805.08,2463.405,1898.111,1591.103,3613.386,1860.332
36771.133,8695.558,7204.317,24050.877,19018.069,29318.557,104246.9,13367.157,30137.401,10828.336,7843.582,4384.778,6264.601,2608.904,8988.354,6561.617,3554.03,2550.441,1799.243,5560.719,2094.289
6835.647,4478.767,4726.386,9621.123,25155.001,42014.481,13925.358,300869.136,26071.173,5796.066,5153.32,2761.943,5022.875,2399.057,11132.576,37136.037,3689.972,2816.658,2195.094,6697.781,3980.877
22523.813,8136.179,3718.827,7006.983,8208.255,18091.612,31359.76,27229.734,95966.529,36057.983,11187.197,4160.254,4479.216,1969.027,5736.556,5051.129,3917.723,1942.116,1751.575,4762.503,1351.737
18539.293,11848.679,4571.586,6416.701,6432.947,5168.306,10724.289,5843.214,36122.664,162043.485,59468.786,6821.483,4603.654,1712.012,3393.499,3121.845,5077.1,2602.262,1635.755,2542.362,1325.296
15770.21,30806.043,5424.888,6698.718,5744.221,3804.524,7700.83,5126.373,11628.984,59967.839,189869.242,30644.843,6603.958,2128.83,3702.424,3364.867,12831.458,3557.98,1828.465,3251.674,1480.754
7934.736,27870.794,4204.766,4554.349,3539.007,2529.54,4086.433,2638.022,4353.006,7173.803,31130.151,86615.614,14672.49,1610.799,2833.675,2288.453,26290.467,3153.444,1299.791,2322.807,937.322
9464.289,13518.555,28685.617,10190.074,6847.214,4545.712,6493.566,5129.707,4545.425,4644.828,6925.135,15002.92,192610.106,25575.713,7263.557,4267.105,12209.811,42296.703,11649.614,6056.798,2101.822
2682.476,2274.336,18384.603,10680.234,3348.793,1939.635,2438.751,2424.496,1843.476,1570.005,1999.527,1636.821,25330.29,53569.992,14528.305,2411.068,1350.338,6719.576,14910.782,9004.721,981.21
7937.376,4310.354,10294.311,45286.173,28748.777,7131.693,9212.443,11135.159,6058.19,3348.679,3844.356,3131.941,7271.312,14545.623,151846.278,29040.562,2725.644,3437.018,6020.089,45219.814,5036.497
5073.214,3293.119,4284.662,9562.489,24557.801,8898.282,6603.966,37206.918,4770.716,3178.631,3130.752,2318.105,4301.442,2553.059,29504.312,188919.287,2400.967,2887.607,2994.775,19114.378,17381.53
6151.482,7442.898,3956.924,4172.893,3990.376,2385.648,3362.664,3590.886,4076.88,4599.756,13098.109,26118.66,11882.102,1422.425,2791.907,2280,121285.472,7863.356,2019.664,2717.877,1142.91
3224.612,3374.642,4176.113,4156.797,2841.27,1913.985,2415.05,2790.156,1897.107,2410.142,3482.516,3080.6,42810.636,6854.218,3465.712,2803.973,7794.224,103867.794,27330.545,4289.641,1543.143
2017.999,1782.671,3911.703,4823.705,2744.372,1632.423,1837.846,2113.266,1764.208,1663.733,1842.117,1385.535,11305.226,13828.802,6184.428,3082.177,2057.586,27972.474,42062.298,20631.146,1552.89
4370.767,3035.104,4305.991,10211.888,7534.236,3496.588,5718.279,6906.346,5199.649,2422.663,3233.696,2184.97,5986.1,8916.032,45792.217,19025.405,2548.332,4416.673,19750.406,150146.073,17979.383
1468.796,1249.864,1116.828,2542.417,3631.213,1901.921,2118.262,3432.806,1190.976,1291.92,1504.579,933.673,2079.587,967.372,5001.518,17362.496,987.467,1446.049,1655.363,18575.678,57449.144
