"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
16865.505,17725.36,10340.316,9801.974,7124.685,8922.751,3719.33,2307.671,3298.15,33114.521,3139.947,2005.055
18038.436,28873.244,14933.326,24575.06,20048.33,8062.849,2527.161,3135.741,7361.271,15752.836,2988.377,2252.258
10199.735,14937.878,57168.627,35706.882,4544.351,3492.546,14611.314,19727.127,5332.07,19929.285,4308.423,6949.719
9780.551,24964.979,35681.323,86095.928,13149.676,6210.789,5083.328,22593.313,22442.808,19205.258,5997.606,11653.166
7283.381,19784.037,4176.908,13081.074,19998.368,12445.678,1052.271,1482.036,11490.325,8675.947,3718.523,2039.24
9309.997,7948.056,3445.117,6031.473,12667.138,18978.039,1018.007,1487.358,6049.64,14323.02,5617.461,1565.846
3627.971,2419.402,14580.765,5034.651,1066.166,1015.859,10096.3,5512.373,1604.198,14523.418,1420.142,2968.147
2196.637,3012.706,19369.559,22695.004,1556.844,1438.883,5486.078,21434.061,3044.059,7456.658,2022.13,6401.837
3288.75,7079.54,5236.12,22358.302,11290.231,5684.667,1543.575,3054.284,18518.679,9618.032,5962.831,2709.338
33648.001,16211.505,20087.234,19045.149,8415.654,14625.231,14665.622,7297.963,9240.982,165910.028,25469.618,7742.595
3183.761,3107.971,4216.181,5702.688,3641.819,5275.097,1643.735,1892.481,6169.988,25453.354,30337.498,2537.411
1956.844,2152.614,6800.743,11533.061,1830.224,1462.588,2955.774,6097.351,2831.275,7723.08,2454.224,17060.042
