"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
19953.04,21077.961,11416.04,10955.039,8344.621,10095.542,4533.911,2631.366,3893.054,37734.683,3771.592,1980.042
20988.468,32628.164,17442.996,24900.373,20548.391,8683.633,3509.852,3508.63,7699.958,17297.392,3454.241,2431.767
11030.732,17555.874,66336.327,34817.11,5093.072,3863.619,14432.891,22325.773,6084.613,21251.969,4258.195,7055.952
11474.544,24763.258,35095.238,84888.434,12860.805,6013.155,4643.164,23179.705,23316.429,19429.925,5814.969,11168.479
8116.567,20014.211,5007.287,12786.651,18325.13,13417.55,1303.887,1837.322,12104.067,9137.608,3572.393,2075.623
9901.901,8328.248,3813.737,5928.11,13629.077,20888.335,1199.301,1458.938,5729.278,15980.627,6080.93,1401.58
4718.006,3325.314,14463.725,4399.768,1091.135,1219.037,10835.401,5914.415,1254.195,15827.429,1494.887,2339.575
2398.699,3774.237,22037.348,22830.359,1872.698,1358.32,5775.936,20096.825,3171.251,7812.342,2181.518,5303.719
4012.877,7627.529,5924.193,23013.265,12299.473,5605.811,1120.04,3183.515,21975.217,9318.693,6699.438,2973.747
37618.552,17045.35,21687.915,19637.411,8840.465,16171.107,15616.855,7634.355,9242.997,179580.794,24873.222,8102.556
3677.118,3722.261,4135.031,6250.503,3646.187,5871.068,1847.477,2007.18,6506.156,25588.854,30756.691,2658.593
2081.357,2239.599,7071.741,11343.384,2117.658,1390.599,2764.388,5348.701,2893.728,8039.445,2375.389,16757.813
