"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
78610.356,24168.467,11162.558,7664.149,4744.207,5454.977,20477.723,4079.826,15010.214,11608.15,11174.309,6097.699,6031.448,2524.423,5746.946,2794.804,3187.363,2038.726,1216.602,2878.663,1523.245
22764.951,72021.494,10756.002,2847.077,1798.648,1816.24,2702.247,1785.629,4468.767,7093.066,20905.938,20685.291,9195.143,1123.946,2165.433,1337.479,4045.794,1849.736,908.694,1249.468,970.206
10645.053,10941.547,50025.906,14744.335,2733.456,2222.402,2915.927,2175.133,1905.944,2250.368,2922.952,2446.746,20770.992,10862.743,6152.366,1847.089,1839.59,2122.579,1744.044,1990.812,1080.22
7167.648,2884.04,14346.034,55648.971,13819.952,3227.652,7008.156,3102.569,2432.05,2289.023,2636.314,1644.485,3765.199,6544.736,24524.268,3369.174,1580.839,1636.985,1511.805,4221.664,1233.373
4547.967,1864.684,2858.605,13788.008,54901.772,20200.321,7020.663,11105.81,2801.165,1983.034,1914.8,1215.89,2104.4,1191.712,14631.652,10995.09,1116.075,812.39,776.088,2291.083,1966.457
5050.719,1858.572,2213.443,3202.489,20220.29,61499.723,14056.48,22821.128,9592.106,2196.392,1642.819,1167.333,2164.673,626.906,2877.168,3381.842,971.789,796.892,718.28,1624.614,1129.218
20696.9,3080.104,3097,7034.375,7373.425,14556.917,46377.73,4845.685,12886.64,4440.974,3147.123,1586.058,2595.253,2397.707,3546.341,2029.634,1125.078,795.571,724.164,1968.798,922.638
3550.683,1781.183,1957.84,3143.059,11263.937,23348.603,4766.503,183497.457,14783.336,2545.229,2016.799,1359.441,2008.723,920.766,4497.695,18768.624,1316.497,1138.413,865.833,2374.702,1754.438
14203.208,4481.814,1925.321,2563.28,2840.894,9612.971,12942.143,15344.172,51968.349,22815.372,5485.63,2152.116,2107.848,767.386,2959.201,2312.998,1458.845,820.96,670.874,1729.468,809.284
11044.701,6951.549,2239.758,2058.297,1915.568,2252.199,4269.722,2736.602,22113.791,110185.436,40922.002,3705.646,2371.788,866.888,1908.248,1098.798,2654.031,936.454,744.446,1214.18,929.356
11025.915,20619.737,2873.396,2544.644,1944.41,1687.77,2815.611,2023.226,5391.928,40291.863,152525.901,25403.413,4740.399,1118.609,2472.002,1299.228,9053.828,1642.035,1162.349,1567.795,1198.038
5727.896,20730.656,2420.565,1685.667,1179.496,1159.337,1339.568,1324.188,2059.423,3898.451,24843.54,67729.407,11282.042,747.143,1675.941,970.417,15657.346,1477.34,744.784,981.314,683.578
5718.335,8893.404,20598.911,3757.122,2010.369,1977.579,2378.603,2060.188,2069.564,2365.405,4681.227,11399.905,144225.456,11297.832,3188.875,1800.71,7051.913,31155.32,8173.223,2727.574,1340.341
2337.173,1125.617,10796.464,6455.278,1015.976,566.864,2475.36,1005.187,647.777,772.58,1064.597,748.083,11214.944,31389.603,9384.309,865.235,662.465,5069.669,9015.612,5327.418,757.107
5258.91,2236.415,6092.908,24516.003,14462.949,2861.693,3657.82,5003.119,2935.535,1916.971,2403.639,1777.968,3185.681,9332.061,107851.138,16490.323,1378.211,1688.232,3024.628,33555.635,3286.676
2433.178,1413.213,1868.021,3396.306,10608.131,3547.475,2187.379,18983.793,2045.247,1031.621,1422.14,1052.359,1745.397,826.73,16771.261,135695.63,814.274,948.983,1227.531,12295.882,11834.057
2941.692,3755.523,1704.228,1363.005,1256.994,955.667,1068.917,1394.836,1401.551,2679.187,8741.068,15840.238,6839.656,657.777,1329.501,780.463,94906.102,5205.394,1142.729,880.513,773.849
1734.496,1774.894,2267.234,1483.098,714.165,859.789,738.424,1102.689,812.108,1057.447,1651.33,1523.674,31583.947,5299.785,1756.422,956.482,5036.642,82445.013,24599.76,1995.499,872.326
1105.751,1067.845,1653.02,1459.49,840.969,558.306,763.89,963.637,613.379,763.696,1037.075,641.948,8236.005,8957.919,3204.519,1222.324,1074.649,25263.51,28592.754,14165.027,1162.796
2432.478,1299.822,1945.02,3779.074,2264.957,1586.157,1702.196,2472.752,1938.679,1051.5,1495.437,905.061,2730.922,5279.08,34194.479,12168.126,951.466,1993.967,13674.219,111119.59,14027.068
1183.255,771.278,883.002,1158.805,1854.86,1045.514,920.049,1802.51,652.137,718.531,1029.195,680.564,1336.497,754.939,3205.17,12113.284,772.769,754.998,1070.105,14223.5,44510.686
