"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
99021.669,31966.171,15242.963,13907.451,8760.413,8581.788,30360.69,6693.433,18161.978,14955.805,14948.089,8077.707,8818.787,2828.593,7841.646,4083.687,5351.284,2954.454,1898.674,3987.885,1712.606
31501.703,88797.321,17192.497,6711.631,5359.561,3619.814,7190.393,4053.793,7285.271,10485.55,25933.22,26864.874,12426.31,1805.185,3882.067,2822.369,7158.573,3113.527,1612.571,2708.429,1253.987
14952.663,17229.928,73154.594,25381.97,6550.717,4538.591,5602.988,4125.952,3440.434,4320.799,5215.265,4141.792,27957.354,15852.428,8711.176,3781.367,3521.187,4279.107,3340.837,3998.887,1553.157
13543.674,6666.187,26444.075,96048.957,29418.811,8878.444,19216.753,7849.472,5662.394,5375.806,6216.67,4323.86,9771.551,10330.811,36792.839,8948.615,3878.004,3897.321,3750.78,9003.589,2647.777
8878.797,5630.585,6863.085,29498.939,94920.021,38879.064,15491.201,24098.1,6081.643,5311.412,5169.061,3265.731,6052.693,2642.833,24003.726,19741.455,3629.848,2425.128,2111.955,6165.315,3582.261
8133.145,3677.117,4521.27,8329.206,40002.578,86255.405,24900.814,36101.999,14990.311,4613.301,3563.324,2333.557,4429.704,1306.44,5703.15,7756.303,2392.549,1853.14,1309.272,3409.843,1932.09
31122.987,7159.889,6103.278,18986.438,16282.677,24443.839,77631.197,10923.326,22022.976,9456.604,7367.135,3875.397,5297.002,2535.806,7909.011,5189.089,3191.827,2212.622,1375.439,4648.669,1860.161
6698.98,3885.312,4143.939,8042.414,23466.673,35485.2,11299.517,237568.013,20617.905,5246.562,4755.166,2844.836,4562.388,2074.179,9624.714,28924.151,3146.775,2419.451,2060.992,6190.258,3203.544
17617.41,6822.433,3600.87,5890.72,6599.185,15206.336,22068.744,21582.824,71546.669,30279.131,9132.543,3662.443,3847.336,1236.847,4956.418,3926.488,3171.896,1908.011,1139.043,3129.827,1182.674
15227.131,10451.123,4581.958,5513.214,5524.467,4509.898,10050.958,4861.944,30114.975,132459.085,54064.674,5899.216,4073.799,1126.911,3078.934,2649.847,4534.327,2108.23,1489.065,2410.014,1343.041
14595.547,25563.928,5283.813,6369.005,5047.86,3845.192,6988.041,4701.149,9502.514,53305.455,181173.128,30381.978,6351.83,1730.333,3822.215,3049.639,12548.337,3015.165,1853.537,2924.567,1633.435
8132.98,27689.801,4092.206,4468.466,3178.361,2286.542,3502.672,2865.336,3800.285,6393.901,30478.487,78302.127,14018.899,1194.381,2710.029,2257.139,22285.774,3040.436,1258.038,2142.386,1057.688
8528.654,12845.745,27750.302,9961.028,6041.501,4334.025,5506.769,4789.291,3628.15,4025.994,6232.837,14301.431,171526.622,16082.838,6068.514,3980.097,10525.422,41478.6,11525.454,5084.355,2045.442
3154.825,1784.865,15152.189,10434.294,2680.485,1427.041,2593.549,1916.877,1319.866,1251.896,1542.302,1262.518,15787.384,32163.649,11838.239,1999.399,1251.599,6801.415,11151.094,6610.147,930.73
7813.306,4197.116,8890.278,36793.08,23594.93,5823.937,8724.428,9508.024,5142.202,3204.64,3813.107,2698.701,5937.544,11771.196,134993.55,24366.231,2818.7,3403.908,4610.695,44733.666,5265.516
4122.668,2855.842,3741.807,8902.74,20426.569,7530.777,5357.359,28889.091,3607.365,2765.487,2965.016,2372.181,4046.73,1892.891,24709.246,164978.105,2223.745,2412.242,2281.668,17831.392,15893.086
5298.893,7307.659,3580.646,3776.026,3795.192,2323.017,3155.28,3103.409,3131.503,4171.709,12482.304,21499.775,10823.017,1322.529,2650.895,2133.555,118084.061,8437.924,2012.04,2114.78,1127.702
3092.08,3291.055,4324.057,3771.521,2394.554,1822.547,2392.727,2308.767,1915.015,1755.152,3260.982,3028.651,41609.62,6820.448,3213.707,2672.204,8253.282,95411.741,30659.394,3478.093,1403.92
1951.038,1625.11,3227.567,3597.255,2063.176,1310.386,1504.026,2085.842,1301.167,1353.486,1840.792,1242.701,11606.951,11525.686,4721.248,2340.397,1879.324,31261.94,35561.519,18530.19,1787.875
3809.215,2625.876,4074.126,8834.097,6034.797,3243.912,4706.09,5816.133,4047.971,2494.25,2878.438,1986.567,5095.498,6675.762,45138.493,17835.948,2370.817,3604.585,17782.067,136170.552,19390.048
1658.815,1306.703,1479.682,2379.734,3391.327,1877.752,1799.031,3238.986,1155.493,1304.22,1470.414,1110.62,1991.573,832.945,5322.974,16465.911,1069.955,1208.858,1705.036,19847.154,55657.356
