"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
18539.289,19389.735,11152.834,10190.824,7751.544,10926.394,4344.976,2321.2,3865.037,36721.448,3325.966,1790.423
19920.505,31001.179,14823.013,24860.57,19745.647,8080.037,3134.633,2834.084,7162.391,15349.031,3039.109,2377.058
11113.897,14926.434,59635.483,36501.817,4766.381,3688.865,14765.927,20698.551,6184.853,21071.574,4432.451,7590.025
10566.859,25058.704,36457.907,93739.443,13436.858,6606.493,4828.685,22591.986,24767.369,19059.695,6052.555,12604.321
7529.371,19911.912,4832.755,13288.753,18333.562,13300.41,1305.59,1711.512,11813.94,8794.644,3845.605,2186.057
10925.827,7933.081,3541.903,6297.781,13813.865,24279.714,959.123,1687.9,6521.505,16111.642,6875.69,1898.244
4460.982,3032.37,14812.753,5123.94,1285.9,958.392,10095.811,6242.216,1585.031,16632.165,1486.508,3318.385
2196.793,2996.657,20497.479,23519.144,1653.086,1623.011,6538.077,22604.223,3406.601,7881.507,1962.946,6151.224
3874.695,7290.185,5957.671,24129.081,11752.003,6730.146,1592.5,3313.914,19614.298,9634.363,6692.577,2949.098
36405.652,15455.314,21690.486,19744.67,9006.194,16130.095,16189.336,8317.767,10053.269,189649.946,27961.618,8423.692
3543.869,3236.191,4278.314,6311.457,3753.87,6649.746,1661.581,1937.86,6571.593,27551.554,31608.437,2839.475
1905.323,2214.014,7482.645,12822.971,2084.326,1738.169,3407.611,6455.589,2989.461,8517.943,2690.973,17372.287
