"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
106259.983,35597.368,17033.118,15904.446,10630.086,9010.358,35494.132,7617.809,23240.709,17416.164,15899.689,8843.705,9828.38,2844.457,8164.242,5238.423,6324.338,3272.33,1970.536,5077.808,2121.902
36710.2,99702.234,19257.395,8595.285,6478.635,4484.792,8434.939,4539.402,9186.951,11821.838,29120.158,28213.148,12731.622,2304.896,4425.403,3772.92,7540.915,3377.783,1864.2,3140.002,1663.533
16587.362,19799.435,79661.272,29571.794,7266.559,4653.77,7087.171,4614.815,4382.281,4873.508,5731.999,4306.96,30228.66,18508.323,11162.906,4635.231,4001.229,4744.679,3556.988,4816.651,1653.07
16209.871,8147.995,29908.41,112093.312,37528.293,10232.895,25878.293,9494.629,7292.163,6376.651,7674.68,4891.668,10290.572,10405.703,44773.969,10846.895,4288.638,4275.765,4577.309,10510.731,3402.465
10108.203,6318.29,7469.004,38238.523,115985.957,37856.788,19460.391,27067.708,8423.132,6196.867,5980.471,4068.94,7605.264,3743.229,29241.637,25872.505,4410.076,2906.292,2441.327,7338.445,4310.683
8780.542,4201.347,4646.585,10388.417,38526.475,101318.693,30462.236,42082.009,18499.103,4719.419,4131.494,2503.178,4727.982,1899.175,7108.081,8973.226,2812.573,2055.551,1604.507,4368.254,2351.264
36650.44,8443.221,6901.788,25260.042,19665.938,30371.594,105883.139,13005.864,30173.745,11506.327,8914.774,4269.244,6706.891,2909.137,9334.386,7242.986,3755.051,2464.278,2133.304,6440.316,2283.812
6895.305,4351.352,4537.92,9373.177,25976.82,42222.336,13454.035,294376.285,26151.372,5666.566,5453.658,2794.662,5114.694,2547.717,11455.739,35303.328,3428.5,3038.801,2376.282,7495.075,3893.579
22646.986,8553.75,4590.781,7749.194,9449.931,18998.608,30713.258,27456.908,96936.77,35355.998,11111.574,4500.346,4739.511,2038.106,6274.617,5602.884,3727.368,2042.526,1426.268,4873.83,1618.535
17768.328,11604.722,5069.366,6675.595,6651.98,4780.519,11736.929,5541.573,35596.151,158318.659,59362.189,6615.75,4480.975,1717.912,3292.581,3500.671,4716.611,2450.64,1501.492,2596.148,1676.715
15534.571,30187.69,5845.153,7329.611,5725.658,4049.066,8331.06,5179.96,11616.416,59411.108,186760.019,31813.452,6207.95,2147.271,4302.725,3220.988,12136.007,3615.778,1766.439,3358.839,1738.118
8794.817,29326.526,4451.08,4551.556,3835.004,2389.38,4045.443,2589.777,4492.673,7039.849,31693.849,80823.881,14263.314,1207.978,2826.546,2266.434,26543.552,3144.282,1667.456,2312.935,1290.389
10185.525,13662.478,29990.206,10851.921,7464.685,4905.927,6761.105,4995.9,4786.063,4083.337,6037.548,14271.897,193540.891,24248.912,6762.516,4836.48,11373.237,42053.254,11995.635,5880.37,2146.291
2713.847,2154.384,18943.54,9845.551,3856.205,2062.523,2706.945,2523.568,2018.191,1452.698,2154.001,1295.129,23718.772,53341.717,13875.714,2518.037,1468.261,7640.626,13396.664,8514.545,1146.101
8238.403,4341.219,11212.656,44806.104,29860.095,7014.617,9926.896,11530.458,6453.024,3544.06,4156.005,2949.676,7040.489,13451.588,147513.134,30189.458,2981.692,3431.833,5925.698,45454.451,5226.426
4881.547,3581.973,4486.355,10645.903,25937.35,9394.461,7051.003,35630.67,5011.914,3403.891,3386.624,2467.764,4920.649,2495.688,30303.871,183903.402,2557.558,2880.722,2923.903,21132.601,18131.908
6285.338,7917.748,4219.207,4417.335,4341.474,2857.863,3969.699,3487.113,3836.3,4381.21,11908.925,25976.869,11437.162,1722.308,3091.631,2549.466,119056.821,7781.825,1995.194,2371.47,1143.555
3147.396,3390.898,4603.44,4412.922,2889.031,2014.862,2438.214,2927.201,2116.566,2341.239,3483.505,3301.391,43126.969,7295.118,3427.394,2931.17,7493.92,101975.81,26873.792,4438.741,1562.899
2034.004,1873.097,3583.058,4228.066,2665.5,1822.336,2063.546,2270.762,1642.303,1358.515,1804.936,1640.861,11054.45,13213.366,5929.637,3035.412,1791.941,27292.336,37780.25,19931.901,1605.936
4662.79,3062.197,4539.134,9879.701,7644.734,4189.026,6520.121,7305.071,4964.234,2504.436,3203.857,2186.519,5721.777,8372.983,47494.349,20725.535,2666.926,4721.111,19357.213,138325.57,19929.183
2057.67,1606.951,1636.899,3242.291,4254.798,2546.217,2390.467,3713.367,1478.415,1520.598,1663.957,1147.888,2050.049,1137.393,5163.782,18377.08,1025.521,1368.109,1545.103,19469.764,59667.156
