"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
19107.61,19525.22,10460.199,9970.591,7487.463,9664.197,4253.316,2014.646,3365.575,33668.4,3645.279,1927.209
18930.909,26408.782,15302.933,21783.801,18342.75,7846.154,2776.846,3025.123,7462.711,14973.931,3026.378,2241.514
10600.129,15295.621,54798.982,30301.321,4469.282,3395.376,14158.341,17584.656,6025.755,19893.895,4075.262,6526.698
10002.339,21482.54,29601.309,73936.786,11498.805,6540.89,4131.29,20437.108,21842.225,16875.882,5272.426,10425.802
7598.502,17771.187,4691.933,11044.495,15721.938,12257.733,1198.314,1442.104,11193.838,7927.292,3692.913,2268.697
9784.256,7887.933,3350.111,6340.529,12326.321,19765.302,1202.258,1250.451,6857.306,15416.365,5838.185,1819.993
4154.206,2727.708,14501.635,4248.732,1166.429,1156.534,9204.889,6345.45,1539.836,13875.99,1234.645,3181.121
2240.73,2681.411,17477.313,20449.169,1426.328,1302.272,6671.906,18021.902,3534.009,7590.156,1776.917,5218.054
3689.1,7476.252,5810.913,21279.403,11126.8,6940.43,1522.11,3293.533,21726.479,9338.297,6092.912,2950.844
33191.369,15137.092,20182.889,16905.728,7810.919,15083.441,13232.846,7539.463,9264.089,164233.169,22922.34,7800.48
3404.238,3063.431,3935.046,5185.424,3650.884,5949.586,1476.633,1742.698,6008.648,23127.457,26936.997,2382.336
1999.261,2288.775,6596.309,10612.38,1993.097,1754.526,3181.624,5308.287,2851.35,7711.054,2049.308,15035.456
