"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
116949.149,40272.469,17289.816,17204.297,11020.614,10463.552,38373.771,8493.198,25404.331,19384.571,17470.208,8927.722,10244.071,3040.22,9036.109,6037.773,6316.578,3989.998,2257.766,5542.607,1649.998
39771.777,109093.964,20827.283,8952.868,6728.795,4885.07,9734.172,5105.863,9654.312,12842.118,32018.614,30169.378,14650.209,2396.345,4621.507,4206.407,8153.314,4253.498,1989.858,3544.275,1396.405
17544.354,20990.065,83667.338,30856.998,7818.192,4892.786,7970.24,4563.728,4752.695,4934.446,5698.58,4341.725,31191.815,18876.415,11027.771,4481.487,4198.201,4818.421,3895.058,4842.164,1405.531
17238.282,8964.331,30449.258,119471.705,39116.181,10818.649,27906.959,11069.651,8748.533,6644.13,7614.101,5228.648,10453.347,11795.12,46392.69,11326.754,4314.069,4831.765,4954.835,11389.869,2955.677
11508.398,6621.76,7975.23,39306.487,122125.747,46329.293,21450.606,29470.536,9095.906,6181.066,5863.629,3851.441,6989.682,3541.708,31570.575,26763.726,4381.224,3210.797,2948.163,8032.022,4187.976
10335.378,4585.718,4549.086,11231.734,47815.901,99814.682,33282.153,40665.077,19343.81,5101.701,4112.842,2712.332,4482.827,1891.961,7167.901,9612.317,2622.758,2272.411,1638.795,4477.789,1995.383
38916.476,9933.965,7800.759,28093.934,21265.34,33202.513,103739.72,14854.586,33099.619,11726.505,8873.145,4369.604,6557.493,2927.643,9973.589,7481.023,3865.085,2885.899,1968.626,6139.198,2055.397
8762.125,4966.29,4906.455,10782.155,30308.51,41064.24,14951.293,312402.046,28524.166,6258.456,5660.904,3138.743,5675.669,2813.091,12069.079,36519.472,3673.751,3238.957,2397.49,8088.614,3904.6
24656.859,9703.398,4604.472,8636.062,9731.092,19544.597,34166.491,29806.08,108546.679,36197.376,11592.144,4314.768,4449.169,2153.461,6221.677,5360.336,3705.203,2168.499,1699.466,4889.286,1715.791
19885.944,12630.543,4831.945,7087.797,6672.67,5043.634,11451.143,6202.245,37138.954,158493.562,60421.996,7046.593,4740.909,1697.232,3453.469,3560.242,4818.134,2768.853,1738.421,2816.644,1246.304
17806.62,32755.896,5675.174,7398.728,5880.712,4087.828,8186.418,5556.309,11355.584,60626.871,201616.664,32878.024,6910.104,2192.18,4379.857,3659.783,12781.727,4008.101,2152.383,3483.961,1617.114
8935.81,30933.917,4714.444,5050.371,3810.54,2707.821,4458.805,3094.901,4153.652,7445.394,32864.046,87988.925,15263.946,1722.921,2764.407,2337.832,25177.432,3465.89,1411.742,2321.724,1220.786
10091.395,14878.942,30719.619,10431.492,7172.779,4644.044,6832.878,5720.613,4773.066,4369.835,6756.01,15441.377,195304.194,24659.728,7114.356,4802.293,11363.465,45964.871,12389.925,5957.056,2290.666
3112.125,2435.778,18682.421,11161.476,3707.765,1891.986,3044.329,2676.757,2044.583,1632.516,2165.294,1600.678,24531.048,57543.172,15673.506,2594.455,1387.387,7367.446,13861.58,8811.361,1130.591
9384.492,4734.633,10490.798,47247.073,31511.208,7618.399,10284.632,12158.824,6881.185,3392.938,4350.406,2641.234,7039.511,15390.272,151808.382,32058.881,3002.416,3676.474,5927.373,47612.053,5157.899
5728.286,4232.041,4499.725,10897.371,26530.537,9404.961,7552.213,36118.159,5087.782,3654.944,3695.925,2447.85,4794.105,2609.651,32338.599,196180.777,2547.619,3014.956,3123.592,22798.859,18928.263
6401.859,7927.584,4070.946,4353.2,4261.073,2703.775,3900.303,3585.076,3954.211,4777.864,12644.152,25290.719,11281.812,1402.293,2825.932,2426.618,123323.801,8075.542,1954.385,2554.533,1159.395
4189.232,4227.381,4940.381,5048.84,3327.997,2336.972,2980.801,3247.094,2169.896,2715.533,3769.382,3561.545,45501.342,7483.707,3823.665,3193.182,8022.59,107454.969,29590.741,4760.626,1507.825
2364.025,2031.479,3550.333,4905.571,2975.82,1587.077,1979.854,2700.6,1595.296,1572.993,1909.585,1541.059,11971.231,13484.294,5715.937,3097.479,1985.36,30535.606,40935.834,20530.043,1860.305
5027.024,3427.495,5134.58,10899.759,8004.559,4444.128,6658.226,7922.832,5391.975,2750.972,3617.148,2346.151,6057.324,8303.905,48697.214,22123.273,2560.668,4862.208,19865.695,154772.489,19613.198
1609.737,1466.821,1425.313,2747.635,3909.261,1915.052,2129.647,3630.613,1451.993,1226.516,1417.329,1139.513,2154.109,1162.986,5090.324,19101.123,1144.067,1534.521,1843.036,19786.471,56164.786
