"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
18150.964,18158.214,11044.369,8910.427,7367.777,9576.128,4714.323,2353.257,3924.908,34332.743,3425.237,1698.717
18974.423,29680.325,16007.533,21794.105,19285.115,7416.695,2575.997,3122.167,7499.392,15333.572,3031.914,2100.737
10607.273,15770.167,69651.739,28509.032,4878.235,3859.887,16293.471,20838.945,6400.125,20598.802,3940.764,6561.276
8936.212,21938.993,29119.724,71510.661,12547.432,6149.834,3517.598,19918.318,23362.203,16863.055,5452.854,9465.948
7198.976,18610.82,4810.907,12167.727,18624.267,12889.738,1118.284,1845.531,12603.453,8970.393,3667.694,1819.034
10056.326,7731.814,3757.684,6048.333,12932.97,21626.542,1001.754,1371.844,7027.439,17285.81,6353.281,1631.398
4632.374,2561.554,16733.332,3766.207,1100.73,1040.827,8624.564,5860.579,1455.364,14538.315,1495.348,2322.061
2303.958,2961.313,20931.334,20196.243,1711.086,1438.432,6359.067,22348.847,3458.378,7053.491,2033.026,4936.728
3931.281,7434.05,6349.719,22649.213,12671.354,6629.111,1331.707,3497.813,20242.811,9632.41,6512.761,2403.214
34398.661,15705.544,20385.13,17200.588,8695.215,17443.776,14329.997,7255.623,9240.574,169111.179,24297.36,7621.067
3661.041,2932.998,3899.325,5727.844,3543.633,6191.704,1716.856,1950.758,6627.56,24268.524,26946.097,2399.861
1637.057,2051.549,6579.403,9468.745,1892.792,1508.052,2220.183,4877.356,2712.977,7560.163,2373.122,13466.298
