"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
80954.025,25519.194,8956.606,7451.415,3903.592,3616.341,22420.778,2801.024,13397.757,10410.371,9632.511,4811.246,4852.497,1967.583,3097.385,2167.749,2643.099,1455.995,791.996,1568.642,471.03
25676.024,95621.238,14781.494,4025.516,2739.71,2037.455,3974.887,2161.117,5408.657,9746.916,25130.999,25623.172,10017.591,1226.328,2316.511,1694.246,4351.041,2341.754,1086.549,1442.574,493.438
8975.88,14818.776,69812.797,18349.593,3255.281,2304.242,3062.632,2039.853,1814.87,2566.758,3325.973,2455.044,27607.105,17692.589,6878.148,1829.061,2446.075,2460.919,1819.586,2085.953,626.142
7311.283,3898.566,18718.189,89602.611,23246.568,4832.337,11643.505,4505.702,2850.886,3512.01,4188.108,2622.134,7784.971,11048.408,34967.406,4755.523,2450.213,2313.793,2201.732,5467.223,1302.423
3854.313,2976.248,3398.066,23111.532,94544.617,29442.142,9486.503,17197.98,3270.334,3346.169,3057.441,2327.025,3575.588,1895.56,23124.014,14401.96,2411.488,1558.789,1482.536,3607.171,1528.39
3496.469,1930.642,2336.297,4536.363,29669.14,77036.735,19249.027,29456,13117.88,2402.852,2228.763,1413.76,2688.883,741.113,3465.789,3742.498,1396.443,1119.319,886.609,1980.978,690.412
22986.013,3595.432,3134.851,11319.078,9972.306,18945.384,70094.521,5648.807,16632.934,6522.383,5171.509,2108.027,3449.202,2263.078,4527.869,2552.586,1898.402,1362.168,886.235,2524.825,874.521
2846.993,2187.45,2196.225,4476.283,16598.754,29328.093,5967.494,246309.262,20513.031,3489.407,2895.928,1831.919,3457.24,1320.954,6293.071,26462.55,2327.167,1673.253,1490.633,3591.547,1753.467
13488.723,5078.661,1753.393,2989.215,3407.544,13138.861,16857.164,21710.877,77890.105,24945.724,6083.324,2152.186,2504.533,858.506,2784.325,2517.358,1763.814,1067.373,737.174,2117.438,685.647
10245.55,9960.809,2599.292,3562.155,3488.132,2568.456,6494.214,3567.456,25674.603,136466.493,48195.498,3860.671,2617.568,788.557,2054.628,1678.264,3316.164,1560.549,914.542,1370.161,668.829
9425.244,25395.719,3058.541,4181.798,3075.319,2158.722,4881.379,3028.769,6263.041,49227.245,192165.27,27467.3,4782.702,1098.535,2346.867,1799.023,10461.627,2149.805,1164.757,1598.496,725.259
4920.678,25759.609,2643.229,2580.86,2220.197,1457.102,2025.655,1635.176,2084.548,4081.434,27636.919,81127.149,14613.848,1075.373,1818.72,1273.596,18551.061,2600.129,783.318,1573.31,630.78
4875.066,10424.431,27264.989,8002.547,3574.713,2715.233,3529.09,3352.295,2552.728,2558.359,4667.009,14606.013,182164.766,22735.013,4332.72,2525.438,10801.384,42725.545,9755.14,3061.221,1071.523
1792.085,1173.671,17266.579,11102.419,1805.025,824.646,2174.944,1310.98,875.006,683.994,1119.093,1060.75,22547.345,50043.346,15859.003,1243.176,833.875,6536.512,11364.516,6218.882,465.783
3171.061,2463.516,7253.842,34575.132,23297.601,3773.054,4775.907,6044.019,3063.398,2085.744,2303.72,1795.29,4319.22,15730.286,146144.967,21437.065,1898.995,2012.522,3249.026,38869.395,2361.846
1902.257,1694.086,1848.373,4780.447,14520.487,4084.396,2599.624,26741.703,2075.25,1560.895,1769.431,1261.681,2497.507,1229.809,21620.886,183242.359,1435.606,1580.076,1754.747,15471.064,14061.013
2395.713,4220.955,2511.652,2414.292,2372.169,1387.566,2016.218,2155.019,1884.483,3081.528,10586.295,18453.998,11086.952,819.803,1858.644,1509.388,114627.746,9669.722,1384.058,1519.559,660.391
1509.729,2158.809,2373.431,2562.115,1680.224,919.668,1396.734,1743.408,1073.191,1479.392,2235.483,2612.918,42728.963,6471.913,2005.055,1448.311,9280.988,109727.668,34205.645,2620.088,870.222
1052.799,1075.451,1726.516,2288.912,1445.315,880.501,1037.834,1481.304,800.629,841.197,965.927,815.274,9920.76,12052.937,3218.405,1633.888,1408.379,34099.431,38930.655,18129.322,986.908
1601.363,1348.107,2050.738,5294.767,3540.277,1871.364,2637.705,3499.34,2047.761,1296.945,1615.385,1306.368,3090.615,6588.911,40049.729,15253.754,1499.724,2700.185,17477.621,147308.72,18010.286
420.44,489.744,631.577,1211.018,1453.976,722.24,922.361,1741.404,583.595,605.097,664.978,542.687,954.589,484.26,2519.349,14459.779,648.088,668.419,999.32,18394.386,53341.666
