"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
114162.479,40190.873,17151.803,17612.042,10811.216,9662.071,36892.59,8009.21,25200.68,19043.021,17353.672,9527.466,9690.485,2996.052,9077.635,5321.576,5821.805,3468.557,2210.067,5030.094,1767.57
40530.933,114406.437,19285.967,9556.447,6853.498,4650.841,9366.162,5142.938,9643.213,13153.996,30863.857,31099.942,14846.591,2505.748,4652.349,3814.491,7757.885,4307.257,1953.89,3494.958,1494.453
16828.078,19451.239,79336.154,29699.187,7646.415,4777.42,7542.069,4893.157,4511.604,4564.95,5473.875,4582.547,30609.924,17351.436,11044.657,4439.13,4089.146,4788.993,3485.101,4519.067,1504.332
18484.342,9045.668,30219.746,119587.228,40093.163,10774.607,27945.469,10524.412,8179.454,6954.45,7412.6,5007.631,12117.01,14466.991,46697.913,10360.216,4220.405,4764.161,4749.44,10821.269,3271.176
10873.793,6675.518,7948.706,40963.687,117657.731,44229.511,20048.001,29282.02,8811.631,6322.497,6228.518,3927.223,6905.507,3557.989,31374.901,25728.067,4304.112,3338.855,2662.481,7917.303,4084.326
9682.13,4825.36,4688.467,10911.321,45304.566,94874.923,32658.782,40077.741,19013.378,5150.77,3831.682,2676.799,4571.903,1760.169,7081.542,8910.824,2434.355,1850.986,1671.497,4137.624,2017.938
37937.548,9656.254,7591.391,27764.83,20689.343,32277.552,100077.21,14239.808,32087.072,10916.667,8574.169,4661.542,6361.034,2874.683,10032.498,7097.086,3823.03,2473.944,2165.434,6108.422,2236.886
7782.364,4938.266,4915.242,10305.74,29476.39,41217.907,15099.956,309454.559,28903.548,6292.473,5571.41,3161.003,5745.784,2793.776,11595.448,35285.579,3313.47,3030.826,2441.307,7583.497,4094.831
24976.521,9485.127,4726.452,8052.201,9635.507,20028.683,33218.415,29240.735,105203.139,35695.135,11817.054,4281.497,4774.749,2106.002,6269.456,5822.665,3870.99,2156.803,1846.609,4900.437,1813.306
18988.702,13000.869,4831.246,6931.28,6670.845,5104.081,10680.873,6467.823,36147.219,163427.013,63287.909,7149.873,4820.005,1741.947,3633.235,3459.918,4785.475,2688.379,1605.254,2849.951,1512.986
17370.804,31201.783,5711.932,7463.865,5961.873,4110.837,8653.283,5508.533,11762.067,63552.792,196018.261,33996.505,6848.864,2091.806,4167.515,3488.941,11038.092,3951.358,2079.452,3509.729,1652.57
9356.961,30763.189,4607.45,5302.134,3976.554,2732.733,4475.749,2984.797,4721.135,7431.122,34209.788,92508.331,15275.066,1422.98,3428.57,2406.159,25834.35,3592.383,1678.7,2472.965,1082.626
10160.78,15295.589,30548.26,11941.87,7196.654,4289.311,6495.973,5722.66,4792.797,4467.522,6782.407,15257.76,197699.812,23337.703,7019.945,4521.84,10570.827,44690.553,12605.586,6253.213,2185.919
3077.511,2299.667,17281.743,14483.32,3582.351,1720.182,2826.247,2688.652,1982.385,1591.944,2064.07,1381.322,23034.625,49550.085,15710.035,2459.534,1321.418,6716.563,14312.734,8068.279,996.215
9155.986,4983.018,11278.989,46413.438,31366.234,6679.403,10636.154,11811.57,6629.998,3764.697,4056.731,3430.645,6944.961,15629.642,152482.954,31167.405,3361.392,3759.952,5681.994,49303.772,4995.681
5363.791,3617.327,4343.283,10671.572,25863.368,8696.386,7428.874,35739.527,5525.262,3311.517,3615.795,2390.512,4710.04,2373.594,31472.058,187973.212,2551.718,3061.819,3139.793,21577.06,18031.222
5632.133,8345.548,4102.603,3961.399,4293.549,2568.766,3881.379,3383.228,3758.638,4678.304,10953.18,25904.212,10696.535,1271.48,2954.119,2460.84,122374.039,8784.448,2257.269,2561.268,1152.383
3699.037,4077.585,4747.983,4908.482,3477.099,1963.452,2692.699,3134.557,2204.794,2604.517,4143.413,3456.453,44640.553,6792.983,3885.57,3251.043,8866.855,107211.88,29629.087,4975.894,1445.535
2433.295,1974.906,3529.197,4694.655,2720.309,1547.556,2077.835,2428.687,1804.33,1566.623,1942.197,1514.44,12761.807,13963.196,5577.246,3153.431,2152.332,29566.427,41262.099,21526.556,1683.119
4900.423,3444.191,4554.109,10757.167,8373.511,4090.9,6642.009,7495.934,5354.678,2557.824,3288.085,2485.385,6191.912,7992.462,49821.982,21200.228,2832.735,5527.528,20717.501,159635.357,20400.721
1507.454,1327.725,1370.4,3032.537,3835.071,1944.065,2140.871,3952.684,1373.88,1283.756,1578.699,1082.273,2132.433,950.385,5071.569,18791.371,1202.042,1441.22,1631.187,19666.599,57569.627
