"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
53360.711,17984.838,5899.741,3137.83,2289.923,1618.522,14082.929,1463.796,9404.689,7697.164,6404.15,3478.451,2554.796,804.452,1772.47,1050.376,1376.626,996.963,451.58,956.162,305.858
17823.478,82677.698,11351.34,1726.104,1297.53,996.926,1830.305,1338.154,3564.788,7429.438,20307.483,19922.209,7560.6,679.552,1151.357,881.227,2482.722,1532.219,590.74,953.73,463.162
5939.172,11599.182,57523.62,12617.562,1614.186,1161.834,1433.175,1314.256,853.716,1753.902,1915.256,1571.254,21296.46,15082.019,4978.888,985.356,1478.482,1556.386,1294.441,1384.926,469.125
3284.787,1745.533,12916.321,66984.809,15091.865,2305.033,6418.895,2277.879,1604.584,2272.039,2381.857,1492.059,5724.548,10580.117,26381.01,2661.196,1462.037,1531.138,1330.4,3353.027,781.968
2401.195,1451.703,1680.26,14913.446,67769.072,20584.268,6052.213,11814.966,1759.909,1842.853,1730.685,1275.674,1974.563,976.061,18167.734,9946.494,1417.486,993.467,915.615,2039.862,745.332
1511.311,1003.276,1110.538,2257.041,20703.245,59180.182,12589.629,22220.624,9342.146,1382.461,1025.723,829.583,1634.917,544.507,1699.031,2197.114,938.937,691.437,458.125,1077.284,494.522
14213.274,1727.207,1566.84,6448.022,6151.648,12663.651,50535.763,2976.908,11108.933,4164.667,3117.273,1440.503,2019.641,912.614,2453.816,1511.41,1121.14,869.647,545.486,1323.331,411.856
1480.307,1289.412,1231.06,2434.103,11470.873,22090.566,3079.574,197198.104,19775.418,2075.596,1967.709,1306.556,2378.339,799.012,3839.713,21328.683,1319.724,1129.045,1010.112,2476.266,1406.942
9296.988,3690.922,944.029,1548.869,2002.053,9468.101,11138.72,20163.002,65698.463,19410.266,3822.411,1307.069,1461.627,559.024,1585.885,1355.447,1015.059,730.234,442.068,1287.477,416.302
7991.448,7385.466,1742.59,2330.772,1966.898,1441.193,4056.987,2080.747,19783.555,108675.632,36117.693,2328.72,1721.602,500.525,1067.052,1163.955,2335.665,1250.877,588.866,814.049,558.903
6304.585,20380.179,1831.969,2371.284,1698.992,1103.049,2739.767,1827.918,3804.338,36077.167,160283.354,20110.448,3539.199,823.672,1344.597,1089.025,10006.631,1954.055,784.848,1024.253,490.634
3395.353,20170.302,1632.831,1448.011,1324.488,913.801,1272.075,1252.558,1356.602,2362.734,20565.377,63108.167,12598.011,877.875,1098.341,879.909,13313.652,2260.013,558.323,855.869,386.014
2466.947,7699.086,21584.701,5861.764,1991.782,1490.248,1997.901,2318.521,1370.801,1783.939,3508.332,12626.666,145229.511,17647.97,3073.478,1711.363,8679.463,35953.285,8232.467,2250.938,902.96
812.669,689.286,15060.274,10596.472,1036.544,443.194,903.597,840.207,527.22,460.786,869.679,999.006,17576.67,40430.046,13337.841,909.554,419.062,5525.103,9542.443,4651.257,377.998
1754.049,1124.557,4750.958,26025.45,17796.564,1966.359,2549.517,3852.525,1712.445,1055.417,1316.203,1084.322,3009.566,13135.134,118474.364,17502.803,1211.691,1333.955,2350.848,29901.16,1737.445
989.034,861.292,1006.207,2727.956,10224.82,2351.705,1564.767,21580.273,1294.841,1065.175,1055.328,998.848,1674.408,763.045,17266.667,151480.362,944.361,1082.908,1174.643,11998.553,12658.083
1484.079,2488.245,1522.942,1558.94,1351.352,930.732,1169.505,1332.825,1119.832,2241.213,10054.288,13618.961,8591.102,552.563,1099.74,1005.452,99185.801,8401.037,1129.772,1134.431,663.872
948.328,1508.843,1423.725,1719.006,1101.169,696.675,986.733,1213.61,855.399,1073.395,1918.903,2055.408,35992.661,5341.991,1384.393,1227.504,8861.586,93747.931,31449.852,1954.491,665.904
538.412,657.047,1250.259,1266.265,886.679,486.048,610.316,998.853,465.311,550.558,792.492,612.778,8339.822,9842.448,2356.61,1254.915,1200.827,30989.504,33362.591,14734.755,866.089
912.861,942.798,1347.444,3266.726,2050.56,1045.708,1411.822,2192.356,1297.721,901.406,942.787,814.416,2156.433,4861.453,30149.699,12040.75,1295.008,2075.318,14143.569,125995.846,15685.808
303.309,477.455,482.4,817.304,779.12,463.327,397.417,1333.845,398.984,545.506,411.898,342.748,801.755,380.482,1613.675,12906.806,526.04,623.005,855.673,15998.705,46480.474
