"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
17943.371,19957.424,11022.197,10480.718,6690.896,8929.893,4225.773,2438.184,3393.059,34352.216,3017.994,1667.032
20073.755,30677.599,16739.415,25830.684,19897.2,7884.05,3259.564,3504.114,7369.283,17662.257,3118.404,2110.014
10687.844,16149.173,60383.177,35360.446,4960.173,3944.43,14888.458,21090.963,5009.132,20631.462,4216.998,6731.938
10318.253,26466.975,35067.918,87361.767,12802.431,6352.561,4740.124,22459.659,21939.981,20320.892,6284.208,11823.243
6869.103,19681.291,4765.126,12728.814,18772.469,12812.308,1201.451,1528.913,11403.503,8582.696,3717.717,2091.261
8955.783,7998.344,4035.6,6557.026,12902.595,21894.398,1188.697,1678.172,5825.398,15725.962,4983.662,1720.643
3883.714,3124.666,14689.998,4921.196,1323.409,1227.346,9427.701,5824.45,1195.437,15643.9,1621.626,2617.255
2481.707,3549.68,20642.255,22394.835,1573.478,1719.303,6043.196,20779.947,3180.277,7398.126,2174.154,5554.005
3433.507,7597.309,5267.374,21355.273,10784.149,5973.479,1005.465,3342.511,20279.121,8642.744,5950.161,2721.885
34388.536,17424.074,20730.648,20812.392,8460.317,15642.021,15531.681,7393.498,8987.244,168580.355,24756.389,7640.387
2908.35,3345.25,4230.24,6297.217,3736.418,5239.684,1604.26,2079.152,6021.411,24618.447,29785.809,2856.328
1761.154,2135.333,6692.774,11782.208,2061.111,1653.412,2754.026,5599.611,2844.077,7474.847,2482.976,16772.099
