"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
75133.253,19854.203,10261.32,7215.134,4606.258,5412.838,16966.569,4037.307,14533.666,10409.413,10297.108,5468.653,5624.792,1913.344,5563.45,2293.312,3494.002,1948.461,1238.025,2894.983,1463.993
20257.333,57763.536,9293.704,2360.435,1737.967,1604.971,2596.902,1942.845,4027.012,6288.223,17635.142,19817.046,7922.457,971.169,2101.583,1129.031,4447.956,1522.977,949.892,1124.818,790.88
10412.141,9381.694,39454.274,11617.951,2221.165,2195.486,2452.63,1610.945,1801.343,2331.192,2674.017,2475.711,18284.155,9140.803,5223.736,1728.853,1574.065,2258.166,1562.613,1922.264,808.966
7100.827,2671.223,12083.179,42737.932,10664.462,2979.541,5844.729,2932.376,2188.513,2019.841,2511.999,1630.081,4586.83,6721.546,21351.741,3175.236,1512.334,1568.359,1463.413,3766.416,1260.201
5114.518,1786.22,2252.472,10694.12,40693.366,16317.627,4667.121,10393.076,2311.737,2160.526,1943.118,1287.898,2122.999,1021.213,11175.671,7749.337,1258.791,899.019,766.887,1818.057,1550.218
5496.85,1684.256,2178.858,2858.382,17066.908,54721.168,11971.644,20549.034,8778.538,2071.378,1868.545,1167.848,2016.642,601.326,2653.012,3068.151,1154.171,777.799,614.129,1353.777,1197.816
17968.831,2511.485,2567.818,5455.985,4845.418,11947.956,35363.639,4138.431,10109.75,4273.941,3381.675,1561.017,2213.569,1361.756,3103.654,1787.712,1169.466,645.634,634.719,1826.271,1027.277
4075.145,1896.415,1723.85,2882.911,10488.512,21200.4,4458.55,147147.395,11277.328,2325.907,1927.316,1444.435,2616.5,949.673,4676.341,14017.181,1150.866,1169.837,847.517,2412.035,1593.3
13812.008,4174.342,1897.997,2222.154,2239.311,8831.183,10004.141,11679.519,41190.348,21154.22,5434.486,1961.409,2161.953,785.971,2529.552,1721.67,1608.794,1006.301,627.711,1741.887,738.846
10733.728,6584.515,2411.75,2188.713,2056.149,2099.434,4266.846,2300.483,21008.821,99107.308,38555.855,4146.364,2677.702,816.752,1746.938,974.635,2460.837,1035.02,837.734,1120.945,710.409
10674.922,18252.454,2858.967,2754.05,1738.802,1958.889,3225.457,2118.44,5608.51,37988.625,144883.491,23455.765,4607.214,1095.164,2620.163,1254.734,8450.839,1700.186,865.651,1659.972,1106.669
5499.342,19687.623,2388.207,1694.989,1279.731,1248.784,1574.523,1515.699,2024.876,4213.51,23538.05,63356.608,11593.18,632.828,1781.818,1103.4,15546.521,1636.675,792.579,1188.938,714.136
5804.014,8341.111,18697.773,4551.671,1951.21,2044.408,2083.626,2514.504,2124.558,2471.395,4605.044,11383.15,135164.256,11668.037,3243.305,1841.121,6565.449,26396.401,7099,2747.679,1303.756
1783.68,1038.168,9412.933,6813.706,1046.987,548.173,1354.159,983.698,731.737,665.548,1003.272,669.212,11521.516,24659.808,8712.523,790.686,606.912,4510.393,7839.525,4497.39,607.778
5756.96,1966.979,5231.556,21070.163,10798.964,2796.269,3313.927,4639.761,2809.899,1756.631,2786.758,1858.309,3384.455,8215.165,99637.756,13131.89,1191.969,1599.141,2891.872,30361.475,3190.465
2663.415,1198.082,1690.047,3143.947,7793.981,3072.079,1749.756,14347.87,1527.32,958.583,1269.364,1028.196,1808.004,850.307,13451.732,104932.879,915.111,1052.382,1230.446,9706.968,10118.75
3420.606,4117.244,1706.23,1397.646,1210.269,1122.04,1183.308,1245.657,1519.288,2371.096,8178.983,15493.651,6380.431,662.582,1272.284,858.45,85068.082,4712.005,1052.785,938.65,733.546
2077.544,1229.597,1998.235,1572.752,897.411,752.294,695.269,1195.878,877.711,1328.711,1751.982,1623.704,26183.333,4532.544,1670.535,1067.425,4722.052,69162.969,21714.147,1969.697,811.841
1355.648,855.738,1506.704,1571.118,769.961,578.762,643.852,792.746,568.636,718.211,887.894,754.842,7336.488,8181.174,2637.739,1175.248,1026.93,21869.833,22474.025,11991.582,952.421
2793.582,1098.636,1637.42,3757.564,1784.937,1336.374,1953.989,2407.543,1889.126,1129.357,1707.088,1087.563,2801.88,4532.555,30981.495,9717.36,912.767,1918.602,11487.158,98079.736,12051.077
1213.323,643.148,722.137,1207.205,1472.973,1047.37,1012.584,1387.117,623.679,564.285,1202.454,707.977,1171.723,570.559,3044.862,9895.735,646.538,696.943,883.409,12244.838,40768.69
