"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
118440.159,40571.687,17754.608,18261.359,11525.007,10473.519,40585.431,8878.102,25089.894,19756.706,17757.206,9451.663,10853.677,3961.254,9319.351,5731.797,6552.111,3933.888,2456.299,6028.26,1707.325
40690.997,111668.351,20519.551,8918.322,6616.975,5020.304,9608.151,4716.362,9709.725,12684.378,30647.746,30512.462,13989.605,2506.137,4808.122,4173.612,8609.181,4123.448,2020.305,3415.13,1392.598
17452.683,20671.502,85243.405,32068.167,7820.708,4813.849,7556.809,4748.149,4648.375,4814.529,6018.107,4241.02,30719.656,18640.597,11020.765,4550.169,3986.187,5029.004,3938.196,4979.721,1361.952
18137.435,8979.006,32286.137,119528.565,39364.416,11120.058,27876.202,10820.938,8105.073,7001.665,8019.86,4959.526,10562.688,11439.978,47895.607,11329.131,4427.408,4750.205,4723.971,10946.231,2991.752
11598.154,6630.874,8118.118,39231.422,120656.94,47876.796,20141.14,30656.353,8444.06,6386.454,6071.33,3689.856,6846.864,3919.235,30754.21,27188.734,4321.811,3406.158,2848.289,8164.293,4147.362
9978.85,4591.052,4696.903,10862.938,48125.426,98819.618,31631.319,41431.031,18317.319,4875.002,3991.014,2496.841,4456.118,2029.56,7217.691,9004.012,2610.183,2084.516,1604.592,4262.007,1934.724
42481.808,9564.531,7651.845,27284.675,20513.586,31613.913,105932.403,14412.01,31844.801,11551.544,8594.586,4459.736,6257.464,2960.775,9966.288,7386.976,3869.859,2668.176,2112.28,6590.957,2171.714
8811.562,4833.948,4815.33,10978.637,30212.381,40883.147,14636.035,308542.077,27304.143,6033.951,5618.484,3169.693,5771.048,2735.057,11880.81,37402.381,3272.394,3117.658,2332.59,8020.262,4388.689
25326.015,9136.776,4458.358,8112.749,9345.651,18366.212,32475.985,28293.093,100948.057,36014.095,10869.105,4177.253,4513.583,2040.481,6017.178,5622.944,3873.462,2157.846,1660.421,4805.249,1419.197
19736.009,12739.863,4916.96,7335.616,7061.901,4946.856,11915.106,6031.33,36408.445,161207.121,60837.938,7102.473,4799.765,1838.574,3741.868,3385.612,5070.075,2675.064,1848.598,2707.618,1378.659
17677.621,31251.075,6335.424,8055.856,6165.677,3932.454,7926.098,5281.497,10999.657,61422.577,204714.777,32303.127,7275.021,2429.374,4573.774,3500.42,12988.631,4161.115,2285.257,3324.954,1636.696
9380.582,31126.132,4567.575,4897.211,3834.831,2696.451,4499.444,2969.607,4159.904,7356.238,32275.75,92446.704,15928.681,1389.001,2890.675,2399.04,25774.187,3745.89,1468.585,2397.631,1046.998
10821.486,14465.936,30616.491,10621.351,6867.401,4546.161,6301.972,5768.302,4518.938,4544.926,7342.75,15734.242,198279.484,25486.453,7037.424,4616.236,12210.728,46230.946,12978.415,6026.877,2217.137
3517.216,2452.137,18495.835,11633.728,3842.605,2043.286,3174.521,2687.02,2180.503,1729.356,2307.703,1401.933,25374.973,57159.516,15662.406,2655.79,1437.825,7481.397,14617.089,9056.31,1251.31
8967.594,4919.191,11218.968,48254.776,31331.047,7458.941,10489.438,11399.938,6524.797,3728.723,4565.316,2930.726,7116.597,15246.988,152503.643,30493.459,2851.4,3898.347,5993.472,48373.781,5070.768
5568.902,3736.301,4576.986,11052.265,27722.386,9026.897,7613.397,36344.165,5289.455,3573.181,3391.304,2436.366,4316.075,2655.324,30728.782,194259.722,2725.215,3275.215,3061.041,21539.517,18725.919
6402.774,8582.695,4183.686,4313.172,4419.152,2687.222,4046.4,3289.645,3870.853,4876.952,12720.851,25774.248,12317.397,1352.793,2882.341,2636.143,123515.198,8376.445,2191.061,2390.481,1073.041
4179.749,4115.6,4873.66,5419.233,3585.819,1984.553,2857.403,3195.492,2083.626,2621.763,4264.569,3603.371,45418.328,7588.802,3758.846,3327.781,8429.814,106736.137,29241.824,4879.631,1479.527
2579.578,1998.556,3920.068,4661.721,3035.297,1572.173,2276.691,2392.282,1625.579,1760.206,2251.398,1512.521,12266.341,14256.209,5578.236,2998.671,2019.172,29935.467,40986.359,21266.689,1536.561
5336.638,3286.913,5063.212,11110.327,8307.047,4205.726,6553.677,7932.536,5010.769,2790.924,3430.457,2273.837,5973.592,8581.245,48335.628,21267.76,2590.623,4896.39,20447.43,149771.325,19791.208
1628.241,1305.74,1379.525,2885.361,4265.716,1826.205,2077.127,4145.661,1368.103,1266.037,1527.937,983.924,2144.765,1189.701,5336.999,18539.389,1176.534,1407.294,1550.618,20050.096,61768.999
