"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
25254.897,26304.661,15441.873,13979.678,10354.827,11848.471,5308.725,3332.026,4636.73,42025.421,4454.382,2422.477
26419.62,36069.237,21393.733,29244.861,22493.094,9637.022,4151.016,4320.172,8899.102,21581.524,3382.534,2616.751
15686.449,21188.584,72063.545,41164.458,6134.887,4717.799,16736.478,25196.781,7205.74,25541.307,5140.751,7959.335
14207.701,29940.636,40879.271,87082.113,16292.241,7953.763,5817.255,23472.042,25673.814,24586.805,6519.056,11789.316
10624.391,22074.617,6310.377,16093.998,21524.553,15493.985,1505.954,1891.765,13883.94,11314.409,4378.291,2410.047
12062.981,9842.081,4740.846,8026.619,15641.874,24297.295,1364.459,1940.017,7686.7,19686.536,7375.871,1865.119
5344.021,4225.751,16123.447,5510.158,1549.528,1377.253,10017.202,6165.785,2055.176,16905.185,1633.524,3307.482
3157.568,4437.443,25548.662,23713.086,1877.527,2152.152,6808.691,21887.945,4005.357,9590.67,2196.307,5963.693
4978.686,8654.925,7185.485,25204.595,13532.523,7950.643,1891.121,3655.1,20626.687,11147.396,6576.595,3293.385
42907.647,22136.452,25545.289,24714.116,11040.654,19488.146,16960.891,9545.229,11230.849,192295.723,28342.907,8972.04
4334.028,3610.58,5155.138,6501.367,4418.929,7340.823,2075.587,2188.566,6932.883,28812.204,29061.809,2686.198
2349.183,2710.135,8158.929,12325.844,2165.364,1794.506,3292.428,6226.677,3235.691,8915.727,2527.339,16477.402
