"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
7254.165,5076.417,3271.789,1372.746,1915.126,4308.387,1784.486,217.339,752.255,16847.509,1149.698,181.894
4846.667,12343.01,5609.472,7252.133,7949.029,2236.922,279.006,234.893,2331.021,2332.725,481.979,195.877
3280.636,5398.108,35965.315,11164.418,723.579,406.902,7781.301,12478.397,873.412,6299.994,613.534,1821.81
1365.929,7235.401,11565.849,46330.173,4853.616,1742.859,671.488,12599.42,12748.065,3244.881,1654.879,5777.809
2023.94,8133.02,790.552,4835.437,12621.552,6919.37,164.798,269.401,5762.975,2024.146,1608.51,235.677
4606.601,2184.567,437.539,1588.935,7118.741,14452.278,131.453,119.249,3470.928,8677.176,3728.918,100.685
1524.68,309.554,8058.67,736.506,127.4,167.8,5106.374,4573.316,97.773,7294.064,321.501,1437.102
256.793,212.366,12404.57,12883.058,267.511,120.688,4666.077,14621.728,700.441,2581.766,459.989,2476.621
764.189,2393.546,764.437,12447.678,5564.168,3350.512,109.768,816.073,12727.223,2227.824,4178.291,456.942
17085.367,2377.944,6284.272,3204.554,2023.439,8237.625,7391.17,2725.496,2199.159,106166.849,11160.919,1666.521
1053.397,473.481,774.707,1663.745,1713.52,3674.01,381.926,438.76,4086.887,11176.747,17651.658,535.357
136.079,176.716,1818.793,5921.623,210.028,107.479,1226.122,2400.842,493.251,1763.626,469.511,6693.69
