"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
10119.33,7871.519,4665.03,3209.692,3379.789,6218.271,1807.205,773.618,957.738,20535.025,2334.408,823.305
7634.833,15507.914,8314.78,10846.555,10753.382,3697.42,991.239,1146.412,3060.253,5817.363,1617.968,813.127
4634.318,8300.657,43907.606,16416.587,2433.559,1602.87,9989.371,16370.386,2074.229,10484.267,2705.825,4125.189
3321.918,10668.655,16579.337,59237.98,7788.451,3549.97,1730.093,16825.683,15155.331,7850.175,4006.651,8340.148
3231.188,10467.26,2294.026,7784.541,14202.081,8940.434,489.965,594.074,7368.911,4106.352,3318.099,1277.166
6082.221,3659.142,1592.087,3557.572,9171.648,17321.441,403.052,850.516,4706.179,12074.513,5717.392,1136.181
1884.912,933.446,9934.531,1846.794,488.562,477.06,6919.598,5284.617,427.553,9102.786,952.308,2001.139
829.775,1018.192,16233.296,16804.629,697.013,837.183,5298.629,17276.916,1559.131,4780.616,1579.441,3931.644
1050.798,3169.319,2068.218,15034.493,7551.511,4679.73,519.694,1367.176,14150.393,4193.395,5168.193,1715.641
20908.76,5758.369,10356.258,8294.585,3991.707,11857.259,9005.457,5081.054,4124.161,126088.337,17948.446,4764.601
2221.602,1643.873,2638.887,3912.617,3236.962,5859.641,1045.953,1561.67,5271.861,18124.243,24846.377,1819.297
831.504,876.086,4293.132,8251.376,1132.049,1027.969,1946.97,4108.777,1857.484,4536.102,1784.978,10927.395
