"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
81081.618,24525.538,8599.465,8121.758,4265.192,5585.813,22709.34,2528.916,12985.529,12581.687,10127.092,4904.434,6151.559,1656.879,4654.038,1835.923,3430.631,1656.439,767.733,2243.206,1013.866
24705.492,88132.27,12399.336,4074.937,2654.24,2275.92,4420.48,1545.868,3586.386,8532.677,21878.631,21672.699,9130.591,1085.934,1816.967,1153.248,3896.226,1660.285,812.671,1084.125,662.161
8398.08,12713.357,64960.021,18585.646,3241.762,2075.501,2832.304,1479.288,1312.161,2430.341,3036.62,2706.124,22124.468,15618.736,6440.625,1266.308,1828.252,1640.167,1666.306,1640.467,624.1
7657.439,3971.914,19493.009,80711.043,21840.696,4865.866,11327.469,3303.342,2562.437,3594.684,3624.44,2660.236,5146.103,7681.1,34233.248,3528.815,1982.72,1764.656,1998.238,4558.887,1419.208
3946.48,2306.447,2786.524,21741.769,76745.807,20841.606,8262.001,12724.97,2518.939,3027.365,2908.767,1806.157,3551.758,1627.174,20373.255,12773.41,1991.977,1013.715,1015.722,2842.92,1524.452
5310.84,2254.452,2079.768,4539.339,21749.637,83522.222,19007.595,28926.654,10894.058,2929.871,1780.618,1329.334,2370.924,868.93,3555.741,3189.372,1034.523,786.098,634.973,1383.648,858.976
23680.236,4438.011,2877.226,11087.309,8581.959,18756.218,67916.122,5579.835,14535.821,6592.122,4336.366,2340.298,2982.875,1265.853,4525.013,2091.721,1949.9,1095.979,852.094,2728.311,975.656
2477.713,1462.849,1373.503,3186.241,11793.962,29596.386,6031.419,231851.383,15567.257,2369.075,1823.138,1071.407,1774.991,866.124,4331.336,20238.112,1030.724,716.255,749.462,1891.313,873.754
13038.373,3570.526,1709.642,2783.313,2808.974,10949.809,14979.908,15870.792,62377.241,23034.923,5405.99,1669.726,1393.696,519.295,2734.822,1206.66,1146.622,512.123,712.692,2129.857,601.373
12865.591,8304.022,2655.695,3818.924,3348.473,3153.101,6708.099,2248.692,22859.341,137487.693,43597.823,3824.908,2262.997,551.497,1726.427,1210.433,2099.146,978.375,699.621,1043.751,624.432
9828.198,22021.82,3035.868,3701.2,2880.09,1798.507,3928.194,1934.319,5244.898,43632.175,161232.537,19873.095,2974.658,762.368,1789.163,867.817,6494.832,1291.291,592.709,1100.706,739.035
4846.765,22268.538,2868.756,2544.111,1679.804,1303.606,2163.185,1022.408,1739.582,4278.476,19514.843,73788.269,13227.748,786.561,1252.701,799.504,17482.677,1342.705,560.709,568.045,531.511
5962.648,9721.021,22434.321,5366.774,3563.791,2584.15,3207.66,1636.431,1460.085,1960.482,2853.234,13439.334,169327.556,19337.044,2809.809,1443.7,7771.218,34079.834,7602.261,1883.124,709.11
1519.826,1151.728,15316.731,7727.644,1659.61,890.376,1183.471,624.677,457.79,560.187,626.25,753.524,19079.672,47402.423,11112.418,645.962,443.343,3780.168,11124.045,5359.807,473.857
4404.204,1897.214,6844.697,34407.356,20799.122,3338.565,5027.559,4199.382,3003.411,1832.883,1976.138,1308.834,2709.402,11009.219,128480.131,20554.467,900.311,1065.964,2517.46,30743.131,1940.325
1718.881,1030.497,1209,3574.722,12968.928,3204.239,2184.423,20134.178,1021.193,1034.334,945.982,830.764,1285.661,795.162,19585.852,157373.167,794.239,795.165,767.745,9949.719,10364.932
3732.537,3969.25,2056.042,2105.291,1761.772,1119.587,1827.501,985.994,1277.555,2081.459,6459.227,17186.83,8082.411,566.129,1052.04,748.646,110393.398,5160.415,735.059,523.927,454.493
1597.07,1941.685,1628.535,1578.033,937.448,811.063,985.12,613.607,445.644,903.618,1313.589,1123.824,34772.474,3899.762,828.668,656.458,4897.286,92898.396,23830.889,1082.61,439.166
864.446,832.821,1531.428,1926.387,1025.665,714.882,896.194,729.28,861.212,709.676,605.19,600.533,7626.411,10197.521,2568.282,826.924,774.996,23825.875,38058.51,14856.063,443.338
2073.855,1018.448,1704.471,4332.094,2816.794,1416.429,2900.6,1780.467,2591.875,946.021,974.72,665.65,1887.702,5398.994,31562.056,9959.252,565.991,1248.458,14322.091,110014.904,12212.592
844.581,566.342,547.853,998.972,1558.995,722.345,830.574,880.639,425.167,556.224,738.244,449.682,713.022,386.188,2054.892,10225.184,392.01,377.643,432.698,12120.262,44707.374
