"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
18586.096,18437.255,10488.264,10532.456,7234.878,9719.12,4003.392,2536.85,3557.592,35780.52,3363.441,1922.544
18528.602,30674.04,14748.795,25498.659,18478.855,7679.199,2289.641,2912.849,6662.697,14792.753,3050.729,2383.452
10739.771,14912.68,59575.868,36196.332,4474.789,3742.926,14786.837,19613.563,5322.689,19728.664,4367.82,7177.324
10296.046,26876.158,35627.981,87615.762,13023.342,6854.356,4923.245,23428.306,22850.004,20266.001,5669.666,12239.456
7081.084,18450.004,4364.223,12857.292,17083.017,12698.507,1062.933,1399.83,10491.13,8199.784,4062.481,2156.437
9525.377,7715.658,3701.914,6778.088,12808.716,21524.484,1076.341,1426.413,5767.355,15762.637,6254.129,1800.669
3884.035,2289.549,14761.198,4914.269,1089.02,1082.512,9091.111,6217.513,1211.074,14536.633,1715.463,3324.116
2517.637,2869.038,19371.08,23753.248,1411.715,1549.148,6426.332,21189.29,2790.348,7412.437,1941.88,6668.765
3481.302,6863.447,5161.788,22494.756,10481.397,5603.089,1348.872,2820.631,17824.651,8959.76,6284.852,2757.106
35333.982,14916.504,19655.181,19809.223,8049.748,15423.718,14340.288,7504.901,8903.319,173017.994,26621.074,8095.8
3362.383,2988.213,4246.19,5730.162,3780,6243.291,1749.554,2127.939,6457.196,26229.588,31120.165,2674.854
1946.365,2201.199,7259.581,11939.493,2052.371,1777.243,3412.361,6833.9,2794.078,8100.487,2508.942,16919.064
