"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
19222.681,21321.302,11728.079,11041.968,7347.259,9614.3,4203.114,2485.575,4217.277,36049.516,3372.737,2228.726
21820.547,33431.055,17331.421,26466.394,21400.169,7711.935,3454.468,3492.508,8599.556,17326.424,3483.878,2362.726
11416.459,17685.8,60569.295,34603.303,4800.017,3919.456,14374.145,21939.635,6484.221,20821.967,4042.919,6357.008
11020.455,27212.305,34461.484,87949.078,12108.903,6637.97,4676.833,22580.403,23074.002,19886.173,5552.331,11603.902
7484.019,21141.659,4734.698,11955.023,16871.541,12063.735,1176.037,1803.482,11931.129,9294.837,3524.443,2099.869
9926.674,7498.303,3882.705,6727.443,12175.439,20413.078,1043.98,1846.074,6132.834,16213.98,5992.128,1924.045
4158.312,3124.079,14950.529,4324.173,1277.216,949.075,9679.564,5553.727,1657.519,14657.419,1616.812,2602.233
2563.131,3564.356,21241.509,23590.348,1666.291,1610.368,5756.812,22527.441,3697.911,8045.482,1917.543,5807.53
4158.363,8577.375,6319.988,22750.145,11782.743,5974.914,1497.15,3516.524,22103.399,10212.656,5916.673,3107.9
35547.914,17464.955,21442.76,19314.124,9314.986,15916.811,14630.791,8031.56,10379.23,180256.475,25575.939,8123.112
3505.846,3528.869,4199.29,5766.845,3347.849,5784.172,1771.111,2039.824,6032.562,25555.263,28008.592,2559.62
2125.492,2191.817,6398.314,11619.744,2094.786,1983.609,2672.316,5762.638,3348.853,8169.181,2397.796,16694.912
