"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
18129.479,19208.775,9588.211,8156.172,6699.41,8709.985,3590.095,2236.111,3591.01,34557.3,2734.037,1633.818
19247.028,32415.08,16002.112,23039.921,19727.026,7503.519,2982.732,3757.432,7626.981,16372.045,2895.929,1936.722
9508.827,16112.306,58520.807,28305.505,4109.929,2900.541,13642.479,19940.862,5468.222,19251.694,3251.71,5827.227
8654.6,23241.84,28371.648,72967.351,10152.262,5104.913,3509.11,20587.842,21890.648,15351.258,4112.035,10059.279
6944.561,19140.011,4126.996,10045.224,18491.853,12128.492,836.663,1353.643,11563.234,7878.38,2940.118,1866.745
8446.356,7576.435,2972.479,5148.373,12158.491,19574.95,850.508,937.128,5861.942,14404.45,4845.26,1621.476
3511.058,2752.039,13865.582,3565.487,764.181,788.612,8881.919,5764.789,1652.621,14622.555,1149.829,2275.08
2409.449,3645.507,19619.881,21351.908,1478.288,1122.691,5816.684,21849.653,3534.573,6985.676,1614.397,5023.984
3615.866,7593.147,5273.769,21139.638,11235.16,5687.242,1374.036,3783.123,22339.602,10201.82,5637.571,2907.546
33731.725,16314.082,19232.896,15491.501,7802.586,14857.954,14832.2,6956.147,9816.746,169531.456,20711.619,6176.356
2744.986,2808.187,3157.909,4308.167,2983.903,4679.835,1205.352,1624.433,5414.43,20638.415,24242.671,2045.726
1484.372,1967.943,6094.422,10104.998,1855.349,1446.258,2335.062,5502.136,2975.768,6551.972,2059.39,15286.402
