"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
189551.448,56314.376,37559.191,32563.549,22489.78,19601.303,65034.492,14810.993,39270.485,27768.83,25061.002,14592.941,17925.747,5288.8,16017.319,9217.63,9688.497,6283.114,3679.767,8805.661,5171.513
55984.612,130076.344,30651.823,14500.184,12182.919,6853.197,14476.278,7587.135,15465.914,17014.994,38484.355,37047.919,20157.956,3505.853,7272.677,5839.023,10816.731,6179.914,3144.534,5580.277,3080.847
37913.783,30754.493,106953.978,45773.003,15575.701,8744.177,13194.584,8149.366,8433.28,7652.489,8794.685,7197.537,43137.9,25130.645,15687.54,8041.159,5799.743,7820.444,7164.762,8164.39,4136.922
32881.053,13723.975,48130.805,168029.976,53308.328,16114.311,45504.45,14752.048,13314.516,8944.911,9179.004,6621.37,14876.084,13230.376,58436.977,15936.541,5567.412,5927.055,6030.137,15611.862,6344.333
23042.028,11560.342,16964.721,53180.404,186548.394,79147.951,39536.911,52480.065,17783.256,10314.947,8633.491,6024.931,10576.239,5719.387,46987.19,42190.609,6002.796,4812.269,4582.364,14372.525,9897.8
19697.648,7210.575,8525.463,16171.661,80513.752,118126.883,45182.008,52923.114,27336.565,7057.593,5386.586,3440.503,6274.346,2576.481,10742.492,14180.847,3433.358,2586.828,2219.24,5926.983,4253.866
68493.931,14819.181,13618.447,43229.564,40748.411,44484.789,139294.58,21873.472,50931.494,15156.047,12273.539,5925.022,8428.673,4326.45,15907.78,11646.013,4995.321,3400.072,2988.763,9952.344,4634.633
15054.816,7203.115,8411.88,14985.339,52203.305,52353.971,22514.272,343901.335,38348.692,7634.705,6962.432,3843.946,7478.771,3634.1,16961.548,49746.677,4712.09,4273.524,3469.706,10644.786,7794.888
39132.039,15107.061,8483.968,13839.722,18782.416,27668.72,52465.031,40683.122,156887.861,47443.961,16044.186,6281.437,6692.049,2661.482,10057.15,9246.744,4971.305,3095.488,2443.68,7253.172,3472.546
27687.583,16571.855,7788.141,9167.879,10657.337,7348.099,15379.55,8116.496,49604.352,182521.901,76007.333,9311.626,6076.954,2145.56,4968.629,4401.538,6111.912,3446.198,2020.587,3630.223,2709.222
24773.284,38895.466,8516.689,9592.178,8389.829,5337.666,11199.66,6475.184,16071.198,76812.879,236306.183,40694.347,8662.281,2613.208,5570.868,4539.913,14857.422,4662.762,2447.763,4905.042,3101.873
14323.337,37954.091,7069.154,6619.015,5908.779,3398.335,5817.648,3426.742,6635.016,9799.679,40309.862,106515.831,17618.551,2242.844,4075.252,3182.364,28948.708,4834.501,1835.05,3224.261,2073.937
17960.282,21160.493,42126.47,14985.936,10605.831,6479.618,8600.106,7373.492,6815.017,5909.789,8675.965,17389.683,216755.31,31427.286,9790.477,6522.67,12360.71,52875.936,16351.745,8393.096,3843.395
5282.588,3300.081,25177.345,13179.192,5897.605,2679.751,4129.912,3301.545,2804.906,1999.403,2413.053,2260.911,31341.276,61798.476,18785.343,3493.209,1560.818,8845.944,15116.891,10274.162,2061.816
15903.562,7544.908,15923.531,58598.98,47619.091,10828.192,18062.329,17567.014,10258.326,5006.861,5615.886,4187.732,9884.841,18944.286,178980.966,40006.707,4280.122,5035.919,6883.744,61853.901,9838.019
9368.801,5858.425,8232.382,16335.373,42667.738,13850.032,12697.747,49932.057,8407.003,4549.932,4363.083,3212.569,6439.57,3246.364,40661.329,239739.48,3413.513,4088.928,3823.729,30612.736,31158.192
9977.968,11531.767,5808.428,5576.497,6251.287,3495.456,4953.724,4436.995,5167.064,5727.618,15249.586,28971.621,12523.896,1659.988,4071.676,3435.586,125209.43,12805.233,2761.149,3402.83,2168.146
6517.999,5912.619,7725.725,6391.837,4784.339,2902.677,3662.376,4430.605,3121.463,3355.508,4356.245,4509.674,52580.062,8973.548,4963.002,4300.472,12610.826,117043.166,37173.453,5776.922,2726.11
3907.943,3040.144,6469.824,6028.265,4482.844,2165.195,2909.377,3525.534,2504.155,1999.14,2428.752,1991.809,16276.914,15285.938,7001.918,4001.944,2594.417,37644.682,45626.937,24583.606,3294.163
8488.359,5218.964,8245.417,15401.884,13445.913,6154.467,11263.725,10457.524,8159.927,3742.791,4907.267,3111.08,8305.149,10229.97,64759.823,31100.186,3507.614,6220.601,23318.657,188067.634,29696.29
4579.479,2912.405,4209.108,6002.291,9419.489,4216.344,4727.492,6903.021,2914.406,2543.601,2658.566,1889.358,3647.79,1736.52,9995.968,31468.78,1981.17,2575.625,3233.323,30021.472,99833.035
