"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
100025.423,31542.078,15326.902,14260.026,9002.09,8649.936,31532.926,6753.149,18718.767,15752.71,15037.847,7965.288,9199.182,2848.858,7975.018,4341.214,5259.394,3237.173,1742.423,4164.682,1895.923
31259.462,88545.885,16012.034,7468.888,5262.375,4303.28,7037.061,3855.223,7452.578,10210.501,26255.769,27827.826,12682.285,1865.051,4341.683,3012.626,7100.121,3572.31,1643.705,2785.447,1335.529
14543.766,16532.871,64691.629,24555.175,7014.017,4929.114,6364.541,4271.636,3762.42,4431.577,5401.243,4105.587,28724.254,15667.777,9473.92,3712.251,3740.831,4632.199,3356.592,4054.025,1569.749
14410.643,7234.509,25749.797,95211.368,28967.934,9193.214,21228.369,8244.429,5941.034,5983.299,6441.742,4148.648,9454.249,10315.47,35503.561,8797.662,3577.44,4093.179,3800.325,9440.368,2841.207
9216.116,5496.406,7409.115,28842.624,90516.483,38845.505,15576.408,23921.669,6259.794,5526.46,4902.989,3422.789,6029.967,2745.255,23333.083,20458.215,3764.57,2540.868,2198.251,6400.701,3645.706
9028.694,4273.462,4713.508,9063.066,39100.366,91511.79,25382.454,36637.152,15867.911,4744.636,4111.297,2395.97,4494.924,1554.671,6286.312,8076.998,2541.879,2145.916,1314.804,3508.136,2044.129
31921.354,7296.733,6729.648,20960.897,15862.438,25615.754,75097.583,11346.986,22183.981,10594.459,7925.051,3932.277,6058.389,3487.45,8169.531,5261.791,3225.812,2361.232,1728.274,4688.706,2134.457
7113.511,3872.782,4166.295,8792.598,22946.343,36463.94,12058.492,238539.767,21272.185,5093.887,4713.538,2612.317,4744.46,2129.004,9953.266,29280.669,2927.434,2758.009,2091.5,6318.045,3412.959
18351.592,7397.069,3645.967,6308.762,6644.113,15614.937,21812.132,21405.831,70495.611,30761.873,10018.379,3814.1,3887.676,1374.53,5060.433,4078.635,2958.678,1878.195,1420.442,3331.892,1259.314
15694.061,10019.312,4330.438,6105.85,5564.283,4561.619,10724.565,5158.195,30669.315,135804.531,54548.175,6379.853,4027.26,1348.458,3206.952,2818.626,4651.519,2524.021,1505.179,2660.399,1309.772
15040.133,26789.296,5364.36,6608.814,5362.526,4323.493,7959.943,4718.852,9608.308,54751.082,191347.834,31865.404,6821.821,1907.784,4203.924,3102.427,12573.07,3498.655,1897.603,3031.398,1690.479
8094.219,28232.802,4034.729,4106.088,3396.602,2432.864,3853.601,2393.4,3935.986,6605.942,32242.534,80312.953,14443.935,1051.828,2783.667,2097.105,22728.947,3208.014,1354.795,2222.689,1192.537
9048.591,13037.765,28846.146,9368.709,6275.474,4482.612,6548.133,4868.653,4152.572,3889.246,6879.649,14725.463,178691.065,18012.234,6479.004,3975.708,10891.977,42521.144,11983.043,5274.289,2071.919
2781.617,1966.137,15751.484,10256.47,2693.982,1541.989,3683.183,2117.186,1339.294,1297.518,1847.868,1189.394,17188.189,38890.395,12326.476,2273.06,1248.219,6664.714,10996.839,7220.438,942.196
8254.169,4605.772,9831.438,35119.339,24115.344,6595.787,8897.818,10348.673,5231.356,3197.473,4176.662,2873.655,6370.742,12254.141,137107.534,25407.779,2687.639,3450.278,4514.766,45322.902,5742.133
4386.103,3046.626,4170.355,8579.32,20155.697,7713.364,5628.183,29799.026,3958.841,2868.739,2927.877,2104.989,3986.053,2214.81,25687.851,163427.711,2278.902,2813.98,2409.345,17790.539,16807.87
5107.027,7579.475,3668.76,3690.472,3669.066,2463.25,3241.673,2819.182,3102.496,4329.97,12182.582,23556.586,10473.401,1269.081,2825.643,2332.682,116643.713,9086.053,1954.242,2358.355,1172.986
3276.804,3604.479,4536.15,4530.405,2638.259,2015.682,2326.434,2860.856,1785.6,2432.052,3604.797,3063.196,42294.702,6510.033,3296.286,2736.685,8973.36,96288.513,29934.313,4011.126,1505.932
1960.157,1629.817,3206.573,3683.982,1967.293,1274.597,1879.451,2152.288,1368.951,1419.241,1832.994,1397.591,11737.457,11345,4703.771,2416.584,2008.637,30903.161,34623.773,18083.196,1737.808
4021.012,2814.267,4120.323,9232.085,6567.047,3514.948,4741.392,5952.207,3942.194,2379.433,3042.073,2011.064,5286.035,7203.272,45767.688,17584.009,2590.698,4038.204,16991.914,136885.516,19978.916
1733.412,1276.287,1494.918,2741.461,3453.571,1921.961,2080.055,3356.574,1303.854,1307.76,1589.491,1116.162,1907.472,960.832,6027.6,17139.74,1152.434,1313.453,1653.01,19816.01,56889.262
