"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
102880.256,30869.953,16314.009,10499.767,6211.589,7710.231,26352.762,5703.57,20106.347,15493.289,13887.066,7262.955,8228.777,2673.336,7064.261,3905.412,4706.928,2553.202,1780.136,4190.297,1610.64
30034.753,90628.107,13798.823,3582.553,2568.827,2356.551,4031.966,2776.007,6083.904,8678.295,23570.488,24584.28,10669.779,1379.375,2698.737,1847.835,4405.46,1744.419,1119.825,1683.697,1083.513
15401.139,14083.093,61807.201,20482.816,3898.3,2529.38,4059.118,2762.39,2767.458,2490.565,3308.459,2483.578,22702.413,13398.775,7630.586,2565.036,2171.852,2642.787,2111.868,2810.212,1489.477
10135.584,3369.006,19975.258,69472.347,16946.996,4351.737,9753.096,3994.515,3489.749,2693.149,2829.349,2023.406,4822.635,7159.205,31556.84,4285.205,1594.507,1590.447,1883.859,5047.915,1595.462
6233.274,2408.316,3952.998,17290.81,75240.771,19544.494,8065.9,13602.556,4351.953,2286.9,2221.408,1288.373,2625.733,1597.793,18848.008,13919.021,1515.502,1113.008,1274.099,3348.076,2633.753
7265.14,2401.231,2796.394,4018.539,20022.497,79400.08,17205.146,30625.888,13873.575,2616.27,2472.254,1519.618,2430.777,1015.014,3269.513,4786.536,1162.017,949.965,863.694,2253.121,1443.273
27074.484,3823.842,4225.69,9374.003,8013.81,17805.543,64553.283,5992.705,16300.503,5096.189,3371.758,1688.814,2556.782,1277.068,4173.044,2930.415,1401.873,927.721,1017.118,2197.489,1042.608
5335.856,2639.95,2933.607,4179.074,13851.16,30826.249,6317.905,233821.915,18817.08,3058.903,3074.561,1824.747,2888.288,1367.945,6401.449,23469.289,1433.031,1654.901,1181.709,3277.367,2867.634
19208.694,6206.497,3000.04,3498.434,4233.74,13469.165,15896.737,18961.456,64362.616,27234.319,7006.987,2413.103,2545.206,1147.821,2977.556,2731.444,1956.758,906.204,684.606,1883.047,1072.577
15564.45,8451.864,2604.44,2805.95,2544.455,2642.288,5086.205,3158.117,26499.916,137122.788,46415.819,4853.515,3231.862,1031.166,1893.988,1591.432,2957.556,1332.171,993.521,1821.248,1344.422
13960.265,23765.992,3300.107,3016.306,2379.901,2264.491,3217.084,3004.521,7151.272,47221.284,165772.84,26205.683,5660.755,1498.461,2852.376,1720.221,8879.881,2103.721,1300.189,2102.678,1324.149
7003.813,24267.52,2638.521,2076.826,1414.798,1531.7,1536.996,1830.566,2340.206,4799.634,26380.188,72718.557,14049.396,1003.633,2191.895,1107.296,19946.111,1812.016,852.321,1437.488,828.592
8138.299,10834.445,22779.994,4701.003,2773.684,2605.367,2690.808,2953.577,2647.659,3074.764,5565.749,13815.407,166599.705,19108.723,4020.303,2323.903,9318.522,32318.105,11474.656,3236.336,1855.951
2672.833,1686.698,13119.453,7275.496,1609.49,999.681,1223.903,1376.806,1225.985,744.343,1476.849,1004.952,19052.908,46621.347,11934.705,1429.025,790.492,6897.719,11808.076,5888.566,1036.191
7235.787,2516.141,7650.306,31376.331,18753.644,3398.085,4377.415,6583.256,2822.795,1988.665,2941.973,2117.293,4027.803,11967.459,125042.021,19693.673,1545.101,1770.832,4330.752,33636.903,4106.893
3790.019,1775.358,2679.6,4328.545,14071.956,4776.719,2937.107,23716.122,2400.164,1566.536,1788.161,1122.418,2366.774,1323.327,19717.583,152856.749,1035.014,1319.688,1607.459,13053.53,15032.398
4774.041,4594.879,2256.48,1536.232,1547.104,1220.142,1454.061,1683.576,1938.143,2916.557,8996.43,19353.175,9408.607,860.523,1595.605,1214.226,104766.64,4459.507,1386.705,1322.261,843.528
2413.451,1717.736,2356.758,1680.439,1065.025,823.517,1033.749,1664.139,951.363,1397.033,2100.332,1695.704,32715.059,6889.059,1965.824,1293,4417.938,76276.714,32678.569,2447.442,828.722
1716.771,1260.802,2026.255,1844.366,1258.503,879.065,1073.956,1248.321,706.469,875.89,1290.663,855.66,11185.02,11840.621,4248.53,1614.136,1344.972,33850.269,39612.87,15365.631,1502.626
4058.212,1729.349,2789.892,4737.577,3207.621,2052.23,2512.672,3367.142,1928.842,1776.528,2010.514,1431.153,3244.911,5943.232,34161.294,13214.389,1433.01,2521.424,15229.944,115947.287,15842.022
1553.072,1057.275,1418.41,1667.24,2760.955,1348.056,976.206,2709.936,994.975,1147.95,1109.337,719.596,1762.262,980.232,4245.403,15258.435,696.829,924.757,1441.574,15777.488,46794.331
