"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
13268.649,10875.067,6637.069,5586.933,5183.844,6332.129,2593.316,1032.538,1963.055,26406.53,1828.501,778.986
10805.949,19739.818,9040.25,13224.378,12664.601,4173.223,1504.493,1241.434,3885.273,7211.261,1281.659,811.905
6514.161,9541.624,48439.214,21781.152,2665.112,2211.029,12381.874,16324.09,2761.709,13857.562,1675.898,3154.02
5655.528,13089.098,21666.043,63416.8,7862.313,2998.022,2412.537,15568.564,14689.787,9903.586,2612.121,7417.448
4912.532,13080.432,2719.947,7655.25,14461.855,9026.499,781.928,668.184,8362.007,4587.986,1691.781,831.756
6215.061,4333.808,1883.068,2908.339,9082.535,17951.142,776.065,657.898,3179.281,11327.948,3601.668,546.412
2579.519,1287.092,11887.333,2465.862,908.553,549.233,8342.867,5252.32,790.865,13016.972,943.007,1692.145
1040.741,1072.87,15696.031,16380.529,644.161,667.596,5457.8,17681.398,1487.829,4489.489,737.094,3559.022
1953.267,3804.547,2847.329,14398.047,8485.082,3403.581,673.655,1493.143,15768.793,4332.71,3712.248,1387.479
26499.631,7013.941,13101.081,10039.645,4693.366,11416.451,12063.506,4334.361,4389.742,127680.673,15915.832,3443.019
1945.527,1252.67,1623.834,2418.628,1792.258,3616.564,930.984,865.874,3713.25,15955.898,21156.19,682.277
635.833,909.303,3265.229,7616.517,927.593,615.591,1848.176,3336.503,1269.361,3298.082,508.049,9491.742
