"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
120022.317,37591.097,18414.434,16598.908,10758.234,10436.216,35970.027,8083.487,24633.762,18865.012,16793.373,9526.994,11116.604,3452.698,8841.423,5715.709,6484.239,3997.851,2388.841,5510.135,2113.396
36967.109,108379.572,17788.83,7965.238,6226.996,4680.071,8428.064,4219.59,7821.966,11459.09,29019.289,29066.443,12653.641,2142.298,4156.623,3508.494,7991.813,3507.581,1903.763,3096.313,1610.497
18137.02,18081.658,77479.801,28338.034,7001.362,4565.304,6606.376,4227.916,3933.266,4686.179,5304.209,4092.939,29648.386,17109.938,9986.725,4095.582,3655.903,4513.276,3671.003,4416.221,1645.958
17702.927,7825.129,28850.894,104213.118,29777.274,9233.025,21626.29,8511.415,6642.447,6030.076,6520.657,4466.516,9627.042,10271.083,43485.527,9057.771,4188.002,4010.372,4356.801,10012.83,2927.944
10431.049,6199.259,7518.2,29995.23,112436.491,34892.819,16018.241,23130.903,6888.928,5455.628,5056.176,3724.613,6633.314,3408.654,26698.725,23044.436,3921.459,2631.925,2519.003,7230.056,4207.733
10242.295,4555.564,4592.334,9022.97,36157.62,104022.125,26889.001,40569.985,18056.464,5043.705,3865.844,2782.269,4679.347,1846.537,7142.659,9041.436,2845.37,2212.228,1632.253,3874.554,2081.51
37402.08,8130.839,6752.425,20959.782,16365.943,27424.645,91324.451,11778.559,23212.539,10375.034,7677.675,3932.446,5832.745,2531.892,8321.991,6133.129,3212.82,2273.057,1969.275,5347.356,2237.898
8118.453,4114.983,4499.629,8514.611,23070.12,41413.229,11942.78,279463.424,23583.496,5348.761,5184.61,2746.378,5288.257,2584.446,10291.881,31168.72,2985.917,2536.298,2299.468,6857.726,4298.14
24263.25,7695.709,3747.545,6976.773,7300.536,17592.314,22667.995,24753.218,78634.097,33039.613,10298.375,3868.473,4047.485,1415.222,5015.679,4783.915,3222.93,1906.312,1465.641,4191.322,1780.125
19177.093,11914.735,4877.568,6237.155,5958.798,4994.29,10300.59,5256.302,33378.332,159265.249,58083.873,6655.357,4391.043,1693.194,3379.515,3288.294,4747.053,2475.464,1585.763,2726.02,1606.136
16728.653,29866.545,5175.517,6462.309,5175.827,4065.308,7106.411,5082.042,10389.584,58517.213,190106.348,31023.019,6596.489,1944.62,3856.025,3339.531,11561.756,3537.302,1821.903,3121.642,1980.168
8735.902,29542.099,4207.2,4431.691,3427.72,2496.361,3880.784,2585.503,3949.643,7154.081,31322.881,85301.623,14655.378,1350.762,2945.993,2487.871,24101.9,3461.119,1445.667,2152.481,1281.016
11159.751,13679.688,29963.774,9718.8,6506.148,4540.631,6077.612,5141.736,4308.28,4263.074,6244.924,14500.508,190315.477,25028.342,6465.247,4765.607,11818.472,42238.697,14925.256,5593.282,2465.209
3426.838,2160.302,16896.927,10247.656,3449.789,1809.453,2520.963,2346.828,1305.625,1636.454,1802.365,1547.059,24238.369,56058.5,14084.555,2205.137,1468.335,8724.911,17551.984,7749.14,1457.557
9471.088,4280.055,10207.252,43466.112,26646.881,7002.701,8748.211,10444.538,5457.511,3560.312,4061.28,2999.159,6529.752,13575.012,145235.48,28237.291,2672.948,3276.907,6203.544,44288.605,5778.922
5389,3187.801,4146.135,9104.356,23336.481,9011.261,6252.76,31576.455,4263.927,3237.09,3382.982,2707.944,4707.546,2409.541,27875.82,181638.777,2408.375,3058.976,2835.559,19546.852,18784.235
6384.892,8039.058,3697.276,4063.446,3825.094,2444.634,3445.927,3082.32,3312.909,4508.676,11691.556,23732.29,12075.542,1327.176,2707.242,2279.37,120497.589,7581.39,2113.612,2543.195,1473.055
4125.641,3708.07,4326.846,4114.616,2873.211,2088.907,2583.739,2581.144,2172.936,2585.273,3544.764,3287.226,42943.365,8811.731,3344.487,2963.77,7670.085,94043.156,37817.043,4292.618,1777.702
2292.756,1864.26,3087.631,4087.881,2709.787,1524.057,2009.694,2166.419,1576.796,1489.788,1771.567,1377.084,14541.523,16258.168,6230.794,2995.946,2064.195,35235.857,45968.124,17644.107,2010.219
5655.879,2973.294,4351.04,9511.894,6813.705,3899.554,5430.296,6406.956,4647.935,2625.951,3059.463,1991.035,5604.563,7888.24,45427.408,19290.577,2607.175,4634.56,17996.878,138879.582,20148.377
1972.859,1497.274,1433.682,3023.451,4120.632,2076.923,2094.461,4091.808,1343.289,1596.971,1897.073,1249.909,2435.016,1377.489,5715.215,19059.446,1558.357,1743.41,1959.923,20483.457,57706.187
