"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
60280.018,19378.059,5659.07,3095.887,2234.959,1308.813,16063.229,984.007,8875.152,7283.766,5842.36,2806.254,2033.915,398.369,1182.867,596.619,894.328,384.512,216.564,467.154,147.111
19340.57,87378.143,11398.087,1039.922,788.733,690.677,1257.899,625.157,3362.3,7224.598,19957.055,19606.805,6895.476,495.6,809.91,472.224,1742.141,646.324,329.704,474.879,152.31
5749.529,11209.613,58289.269,12327.593,1032.196,612.059,884.437,535.388,487.212,807.056,1263.771,1023.662,21002.081,14420.767,4687.654,507.806,1155.573,876.016,535.126,638.772,205.174
2975.401,1036.647,12260.862,64979.263,14809.651,1619.277,5555.306,1174.514,830.442,1363.546,1234.017,740.885,4493.963,9517.216,26400.183,1698.362,546.118,585.847,858.705,2291.673,344.746
2073.448,796.418,1094.107,15211.178,69634.274,18508.682,4829.431,8916.106,1049.661,935.517,840.773,549.702,1064.051,500.184,16882.402,9250.49,569.316,313.302,334.827,1063.824,451.257
1293.154,720.309,691.761,1585.112,18915.412,62539.158,13489.485,21362.58,9021.79,965.576,661.822,414.505,880.659,267.99,1074.496,1325.197,380.52,310.251,238.914,709.908,241.978
15858.674,1200.247,993.427,5542.872,4789.989,13346.535,53187.611,1731.138,10337.103,3122.576,1931.178,864.527,1523.16,1294.65,1656.979,651.051,589.978,347.36,191.898,647.309,247.784
985.998,590.091,585.407,1208.547,8969.288,21335.896,1715.584,201301.632,15492.455,976.458,1089.825,617.166,932.226,479.278,2611.225,20483.537,605.345,548.336,385.849,953.801,738.898
8896.565,3239.692,532.975,848.847,1100.375,9267.267,9866.87,15721.397,63825.562,18519.287,2395.538,722.672,761.031,298.975,819.784,549.339,605.919,341.228,189.651,563.834,213.5
7551.896,7175.127,776.499,1476.868,916.413,1007.539,3093.943,1034.865,18689.271,115811.104,39737.981,1794.571,978.782,298.231,664.322,532.735,1453.632,534.829,233.024,533.207,184.543
5634.128,20175.935,1239.162,1324.811,955.348,751.861,1757.966,1111.949,2640.233,39425.392,168951.568,23541.938,2635.036,567.411,867.491,458.355,8586.126,685.552,371.233,479.537,262.217
2929.451,19750.766,1047.38,725.751,557.183,493.383,699.948,650.233,734.646,1807.905,23443.679,69480.842,12309.304,574.369,689.197,337.835,13046.863,1132.661,349.077,383.838,146.581
2097.826,7151.99,20861.693,4689.52,1042.378,866.786,1625.409,1038.718,799.847,928.492,2592.862,11955.342,157250.885,19431.122,2054.511,639.014,7894.244,35967.69,6801.352,1153.302,379.936
363.864,507.84,14432.415,9647.042,554.005,276.599,1331.949,515.771,350.549,302.394,508.33,564.911,19696.723,41744.059,15698.917,378.103,318.556,5239.985,10072.64,4611.682,203.572
1167.237,833.662,4758.347,26599.328,16878.162,1231.149,1755.171,2691.81,824.859,662.294,708.457,770.185,2239.066,15509.528,125305.51,16467.998,473.169,495.011,1584.071,29758.639,835.195
531.84,462.367,481.26,1647.405,9007.16,1364.983,586.589,20378.153,594.907,486.669,469.435,449.939,628.906,336.765,16315.193,157749.461,435.416,330.422,647.623,11004.391,11887.817
913.022,1661.387,1139.563,604.472,644.406,413.134,645.568,661.475,652.356,1394.749,8532.478,13184.16,7829.927,292.226,399.751,467.227,102991.308,7000.238,464.162,234.957,177.025
314.959,569.964,878.264,552.168,374.536,274.365,340.854,501.495,248.09,456.087,697.25,990.34,35603.728,5473.05,434.781,300.207,6994.338,102596.19,31659.557,861.34,236.232
320.728,344.121,565.81,851.387,426.431,236.757,275.283,375.105,181.69,222.255,428.323,333.742,6922.12,9953.511,1717.494,686.638,470.245,31797.118,33652.102,15448.116,348.119
395.341,479.772,618.776,2238.413,1119.055,684.977,659.215,916.2,726.913,553.137,413.432,383.69,1144.455,4906.237,29912.446,10945.274,309.683,968.233,15138.693,131854.925,14956.221
143.718,217.242,245.678,403.023,439.794,302.515,231.629,712.121,213.963,153.291,248.216,154.066,348.473,217.768,782.917,11834.236,181.635,210.361,351.087,15031.671,44752.566
