"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
11722.429,8429.751,5924.833,4620.049,3913.597,6701.67,2714.207,1015.651,1509.717,20981.348,1633.623,648.039
8062.085,13007.42,7425.658,10792.147,9913.195,3489.805,1206.855,1099.714,3148.963,5794.276,1227.229,766.962
5438.706,6894.627,45448.161,16646.254,2530.174,1750.112,9649.779,13856.35,2420.374,11460.464,1487.812,3827.303
4055.029,10710.125,16456.359,49656.276,7309.059,3067.346,2117.447,14398.588,13044.133,7990.643,2605.224,5564.766
3909.201,9641.139,2320.762,6873.545,13549.951,8651.734,724.311,790.365,7642.105,4226.404,2073.547,836.178
6864.578,3420.487,1718.138,3066.474,8740.619,16239.706,624.024,572.277,3605.328,10481.405,3991.829,561.478
2405.93,1152.805,10143.515,2075.262,677.711,699.426,7001.611,4023.308,678.985,10192.429,649.499,2487.46
909.57,1040.154,13632.121,14285.1,734.982,563.431,4232.41,16810.323,1406.84,4388.921,838.552,3322.952
1379.959,3293.384,2780.902,13029.076,7817.681,3624.56,575.292,1549.748,13314.825,3949.779,3997.196,931.664
20499.236,5532.731,11708.376,7758.239,4269.69,10547.091,9543.403,4350.118,3920.288,119200.515,14709.009,3401.668
1702.954,1225.83,1425.754,2860.484,2157.393,4002.948,668.58,764.103,3873.188,15050.782,19842.515,662.341
593.124,829.365,3773.523,5422.837,750.15,554.528,2387.225,3509.329,1073.767,3344.919,630.044,8490.31
