"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
19829.119,20677.692,11890.926,11144.356,7971.648,9796.2,4576.173,2515.46,3663.802,35074.651,3831.468,2171.038
20892.698,32368.101,16972.78,25303.571,21568.67,8059.34,3045.186,3119.069,7596.37,15988.158,3366.911,2403.718
11766.368,17475.923,62881.38,36288.58,4704.938,3712.516,15976.078,18373.055,5942.468,20840.872,4821.473,6783.137
11718.57,25403.789,36061.618,90983.532,14256.587,7208.074,4760.899,22418.286,24089.29,20209.696,6384.204,11817.06
7742.047,21175.49,4551.734,14156.067,18168.173,12807.892,1300.104,1266.719,11163.063,8626.428,3866.18,2194.425
9672.451,8159.704,3792.307,7172.964,13191.404,21590.257,1193.539,1509.928,6799.158,16252.238,5891.443,1761.993
4375.219,3019.474,15581.042,4877.686,1250.587,986.558,8991.829,7748.114,1398.974,14712.077,1631.887,3069.691
2442.593,3267.625,18752.184,23129.119,1440.983,1639.875,7635.794,18826.943,3018.206,7822.21,1891.926,5380.659
3677.54,7515.564,5745.811,23695.292,11122.703,6794.552,1403.544,3124.373,21687.468,9194.091,6483.331,2738.469
35728.539,15967.678,21204.275,20659.578,8539.534,16067.407,14071.396,7822.862,9403.005,172923.666,26287.503,7523.59
3625.042,3439.518,4644.066,6389.16,3926.238,5727.652,1833.831,2099.857,6535.188,26382.032,29814.974,2692.417
2114.789,2255.314,6613.859,11682.729,2069.726,1863.005,3269.566,5663.289,2958.684,7541.885,2253.274,13587.001
