"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
16744.191,18599.64,9452.456,8627.39,6695.913,8922.357,4124.717,2308.634,3223.603,33324.339,2974.293,1600.495
18471.508,32208.818,15890.692,23243.122,20061.848,7656.307,3040.41,3588.031,8163.172,16335.041,2901.114,2180.155
9422.849,15642.314,57793.605,31641.597,4074.722,3372.372,13585.936,19637.838,5868.94,19950.307,3501.734,6114.119
9136.246,23320.907,31822.121,82928.333,10966.96,5689.736,4309.714,21873.691,20499.55,17395.919,4961.613,13620.433
6637.58,19491.512,4183.502,11321.225,17683.59,12533.943,1139.45,1780.292,11042.04,8377.43,3133.847,2088.363
8956.513,7636.855,3285.546,5616.47,12766.376,21418.069,908.526,1389.156,6234.133,15452.709,5172.462,1758.251
3843.574,2950.108,13806.099,4240.049,1235.273,951.59,9736.499,5220.603,1421.684,15535.828,1161.648,2593.71
2186.324,3520.685,19895.213,21493.753,1577.07,1377.89,5440.55,21438.692,3731.704,7099.871,1708.194,6553.933
3345.924,7657.514,6030.81,21044.716,10739.202,6197.419,1508.099,3813.753,21188.354,10025.488,5652.52,3066.413
32621.116,16465.753,19666.752,17931.82,8560.884,15669.281,14785.571,7184.779,9460.177,172506.507,22513.945,7423.734
3050.164,2912.803,3337.399,4880.922,3076.393,5223.342,1313.976,1780.596,5777.78,22247.685,25607.885,2138.322
1620.646,2140.946,6118.886,12746.861,1969.185,1660.217,2486.961,6356.79,3119.567,7288.9,2265.081,16713.385
