"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
19479.917,21009.024,11816.958,11293.418,8115.12,8969.562,4605.935,2524.665,3814.198,37667.452,3803.566,2109.589
20659.087,32839.272,16480.473,25482.288,19949.302,8018.934,3334.663,3540.726,7830.302,17665.976,3147.502,2283.831
11503.728,16544.59,60690.341,36451.094,5028.995,3836.696,15215.43,21932.705,5774.33,21281.13,4709.241,7339.967
11764.136,25779.568,36809.683,90103.095,13177.557,6648.834,4821.288,22026.22,22547.973,21201.725,5809.273,11435.397
7883.563,20012.962,4645.852,13258.424,18019.028,13417.319,1068.986,1466.159,11599.215,9450.831,3883.047,2170.624
9026.386,7760.888,3823.761,6711.725,13383.835,20898.376,1073.403,1329.97,5934.862,17133.195,5677.139,1771.085
4580.007,3010.634,15245.994,4959.498,1165.886,1220.038,10037.334,5808.79,1178.046,14678.456,1568.567,2792.197
2480.604,3603.499,21934.425,21836.51,1396.911,1505.471,5798.422,20322.107,2967.958,8308.365,2059.581,5319.924
3844.35,7463.434,5594.644,22363.734,11379.766,6145.463,1367.295,3060.608,20548.685,9232.811,6822.012,3164.79
38175.726,17723.506,21135.244,21416.518,9493.949,16491.678,14837.782,7831.667,9257.046,171454.155,26300.754,8550.685
3522.034,3403.435,4757.363,5908.722,3562.541,5849.788,1764.049,1926.804,6939.333,26802.689,31102.491,2856.348
2162.4,2231.497,7240.638,11601.68,2075.245,1815.852,2817.349,5029.156,3247.263,8718.556,2593.464,17198.49
