"","Puerta_Bonita","Vista_Alegre","Guayaba","Almendrales","Las_Calesas","Zofío","Orcasur","San_Fermín","San_Andrés","San_Cristóbal","El_Espinillo","Los_Rosales","Villa_Vallecas","Entrevías","San_Diego","Martínez_de_la_Riva","Numancia","Peña_Prieta","Pozo_de_Tío_Raimundo","Ángela_Uriarte","Alcalá_de_Guadaíra","Federica_Montseny","Doctor_Cirajas","Gandhi","Daroca","La_Elipa","Orcasitas","Vicálvaro_Astilleros","Campo_de_la_Paloma","Rafael_Alberti","García_Noblejas","Núñez_Morgado","Guzmán_el_Bueno","Vinateros_Torito","Pavones","Vandel","Puerta_del_Ángel","Virgen_de_Begoña","Infanta_Mercedes","Villaamil","Palma_Universidad","Eloy_Gonzalo","Justicia","Cortes","Cea_Bermúdez","Segovia","Lavapiés","Alameda","Imperial","Acacias","Martín_de_Vargas","Embajadores","Méndez_Álvaro","Legazpi","Chopera","Comillas","Antonio_Leyva","Opañel","San_Isidro","Los_Cármenes","Lucero","General_Ricardos","Abrantes","Los_Yébenes","Maqueda","Campamento","Buenavista","Las_Águilas","Carabanchel_Alto","Butarque","Ensanche_Vallecas","Perales_del_Río","Vicálvaro-Villablanca","Valdebernardo","Valderribas","Media_Legua","Estrella","Adelfas","Pacífico","Ibiza","Castelló","Goya","General_Oráa","Montesa","Londres","Espronceda","Segre","Prosperidad","Baviera","Canal_de_Panamá","Estrecho_de_Corea","Aquitania","Simancas","Alpes","Quinta_de_los_Molinos","Silvano","Canillejas","Alameda_de_Osuna","Rejas","Benita_de_Ávila","Vicente_Muzas","Potosí","General_Moscardó","Bustarviejo","Monovar","Jazmín","Mar_Báltico","Virgen_del_Cortijo","Sanchinarro","Las_Tablas","Pilar","La_Ventanilla","Barajas","Los_Alperchines","Mirasierra","Fuencarral","Montecarmelo","El_Pardo","Aravaca","Valdezarza","Fuentelarreina","Casa_de_Campo","Argüelles","Andrés_Mellado","Caramuel","General_Fanjul","Valle_Inclán","x"
"21",661.45,535.7,549.99,622.91,541.28,556.14,455.99,536,678.21,784.28,895.27,419.81,651.82,654.76,693.34,664.59,704.25,866.93,486.38,535.04,522.24,467.81,451.51,348.4,447.49,393.79,556.21,NA,523.75,784.39,454.07,634.81,514.84,536.38,593.51,397.52,433.95,808.79,416.38,731.59,315.08,420.49,438.28,440.19,401.48,408.77,563.01,479.46,514.22,365.38,496.22,410.61,333.56,519.87,442.76,588.97,453.25,247.58,539.79,458.35,356.06,521.44,539.87,NA,431.65,406.88,369.15,330.19,374.65,456.06,440.88,384.3,NA,460.07,416.98,514.81,426.2,370.27,316.48,450.13,343.6,379.97,484.42,431.26,250.68,476.76,354.74,265.85,230.73,354.73,414.57,404.79,383.18,357.38,361.36,352.41,395.56,310.33,305.33,401.57,321.87,311.8,415.68,316.84,448.2,424.47,438.95,469.48,331.83,248.48,452.82,NA,289.66,303.67,367.93,606.58,275.97,260.72,338.4,689.24,354.24,485.47,369.28,475.69,442.23,509.59,431.16,21
"22",438.71,468.06,468.31,413.72,401.23,403.6,318.47,447.37,499.06,522.85,709.01,362.56,483.37,600.2,480.3,443.06,555.99,651.66,514.17,453.86,497.76,406.79,392.49,399.63,496.89,422.96,464.24,NA,466.14,600.7,367.8,531.87,556.96,520.23,476.04,486.85,507.21,736.21,513.53,547.69,331.45,391.6,308.95,356.71,401.48,382.4,414.85,432.45,457.08,293.33,507.76,329.27,344.67,384.56,337.64,468.5,372.83,314.63,452.73,358.71,335.57,429.21,334.98,NA,420.59,439.69,369.15,301.16,277.97,344.7,381.3,228.5,NA,434.86,291.38,438.98,371.21,421.7,337.79,485.44,356.32,317.76,423.39,447.69,362.09,393.21,378.39,305.64,352.88,396.28,445.5,384.14,397.51,290.89,396.62,359.75,350.05,365.5,251.45,344.93,422.75,315.23,445.37,389.96,382.15,394.75,310.4,441.03,307.88,248.48,321.05,NA,272.62,303.67,377.05,458.52,330.09,347.62,330.14,971.89,294.37,393,398.32,437.8,390.2,385.41,402.41,22
"23",337.47,351.72,419.3,409.07,359.59,359.11,238.85,409.39,430.81,440.55,594.84,343.48,421.12,498.34,449.32,335.29,403.61,523.65,764.31,413.27,571.2,452.56,483.98,496.98,488.17,422.96,376.65,NA,476.61,466.66,358.72,424.64,505.48,474.99,432.77,509.18,462.13,777.69,458.02,475.73,388.74,439.75,344.88,402.25,463.25,290.1,385.22,352.54,382.37,236.72,461.6,329.27,366.91,277.74,366.31,343.57,336.28,299.15,348.25,398.57,261.28,354.72,299.21,NA,302.53,367.5,301.63,235.85,306.17,275.76,360.88,207.73,NA,384.45,190.91,486.87,309.34,308.56,286.05,506.03,451.77,371.57,408.13,414.84,487.43,388.29,433.57,385.21,359.66,402.67,358.88,392.4,376.02,288.12,431.87,374.43,364.06,289.65,335.27,468.49,374.71,342.64,445.37,404.58,358.56,356.55,337.05,334.33,290.78,288.36,277.92,NA,335.09,409.96,377.05,415.53,238.1,260.72,310.88,974.06,289.38,339.06,448.11,589.35,416.22,239.81,402.41,23
"24",330.72,308.43,294.05,278.91,314.17,295.55,289.52,320.76,307.11,324.36,480.68,415.04,391.83,454.69,429.95,197.58,317.12,395.65,639.24,306.26,497.76,518.66,495.78,384.26,464.93,357.33,210.22,NA,387.58,392.2,354.18,356.01,496.12,310.2,346.21,433.25,450.86,705.1,333.1,447.75,364.19,468.64,337.69,409.84,463.25,294.49,313.25,272.63,347.21,262.45,317.35,337.01,333.56,291.98,372.68,370.34,314.35,299.15,400.49,358.71,227.98,333.44,286.2,NA,295.15,387.19,193.58,221.34,318.25,265.15,308.11,166.18,NA,365.54,241.15,470.91,323.09,291.42,304.31,420.71,375.41,391.74,385.25,365.55,320.31,393.21,365.25,365.32,291.8,354.73,321.75,318.05,333.05,299.2,290.85,325.49,325.55,175.86,299.35,355.23,321.87,325.51,410.73,516.7,278.35,297.13,297.86,327.22,266.83,266.89,335.43,NA,272.62,399.84,325.36,353.44,232.68,115.87,305.38,641.4,209.55,331.36,406.62,648.28,416.22,269.78,364.09,24
"25",263.23,289.49,272.27,172,264.96,228.81,347.42,265.89,260.19,275.95,348.49,343.48,307.6,458.33,286.63,185.61,350.07,349.1,403,280.43,440.64,422.05,442.66,276.67,453.3,430.25,144.53,NA,366.63,312.76,290.61,317.41,519.52,245.57,327.67,321.59,349.41,425.13,312.28,323.82,335.54,362.71,273.03,333.94,370.6,342.84,292.09,258.53,276.89,252.16,230.8,333.14,344.67,259.93,270.75,361.41,212,294,383.08,306.9,243.35,312.16,289.45,NA,317.28,354.38,207.09,235.85,265.88,254.55,253.63,207.73,NA,359.24,361.72,395.08,309.34,246.85,295.18,347.16,318.15,369.88,362.36,328.58,292.46,319.48,302.19,300.21,278.23,341.95,331.03,301.53,307.98,335.22,185.09,274.09,287.04,231.03,329.28,293.45,355.5,298.1,306.81,428.95,273.64,403.24,261.8,419.69,335.25,266.89,313.86,NA,261.26,227.76,316.23,334.34,238.1,260.72,330.14,421.8,184.6,315.94,327.79,425.17,333.84,226.96,249.11,25
"26",276.73,289.49,283.16,139.46,253.61,197.03,260.57,223.69,285.79,309.84,336.48,243.3,300.28,363.76,321.49,269.43,341.83,290.92,361.31,265.67,326.4,355.94,321.67,271.54,339.98,422.96,162.05,NA,366.63,302.83,272.44,214.46,439.95,297.27,358.58,312.65,242.34,238.49,277.59,255.86,274.16,276.05,294.58,284.61,329.42,373.61,211.66,272.63,215.36,272.75,184.64,251.79,233.49,235.01,216.6,290.02,226.62,345.57,290.21,298.92,266.41,258.95,295.95,NA,228.74,229.69,306.13,250.36,201.43,206.82,229.8,218.11,NA,346.63,306.46,339.21,357.46,222.85,246.49,291.26,279.97,314.4,339.47,365.55,341.2,258.04,323.21,256.81,305.37,329.17,256.78,268.48,268.59,313.05,193.9,288.78,248.54,231.03,251.45,360.38,326.67,267.26,296.91,297.34,268.92,352.31,272.77,341.44,352.35,260.75,280.32,NA,227.18,268.25,301.03,353.44,281.39,260.72,352.15,310.92,179.61,208.06,240.65,357.82,199.44,184.14,249.11,26
"27",310.48,246.21,266.83,148.75,242.25,251.06,275.04,261.67,302.85,290.47,342.49,243.3,267.32,258.27,356.35,233.5,263.58,226.92,277.93,287.81,228.48,335.6,262.65,281.79,316.73,379.2,179.56,NA,314.25,258.15,163.47,197.31,430.59,268.19,247.3,254.59,197.25,352.55,194.31,259.85,192.32,272.84,330.51,265.63,324.27,268.12,169.33,249.13,184.59,231.58,207.72,213.05,233.49,242.13,229.34,258.79,233.94,355.89,307.62,239.14,233.11,205.74,299.21,NA,254.57,269.06,310.63,217.71,165.17,281.06,222.99,238.89,NA,302.51,241.15,247.43,329.96,222.85,228.23,305.97,299.06,262.28,358.55,336.8,271.57,282.62,325.84,251.38,346.09,309.99,256.78,256.09,279.33,279.81,299.67,320.59,290.55,248.27,203.56,303.75,264.22,301.52,296.91,268.1,339.69,233.46,253.96,284.54,294.2,263.82,345.01,NA,261.26,258.12,337.52,372.55,324.68,231.75,401.67,289.17,244.47,231.18,390.03,408.34,151.75,209.83,268.28,27
"28",276.73,175.86,234.15,195.24,181.69,216.1,282.28,236.35,268.73,154.92,216.31,267.15,238.03,207.34,216.91,209.56,271.82,226.92,236.24,173.43,195.84,259.33,209.53,240.8,212.12,291.69,170.81,NA,235.69,163.83,154.38,171.57,346.34,174.49,204.02,205.46,174.71,248.86,235.95,219.88,180.05,240.74,244.29,269.43,288.24,250.54,177.79,197.42,158.22,164.68,294.27,213.05,277.96,131.75,194.3,178.48,102.35,154.73,185.73,111.6,194.68,120.61,172.37,NA,188.16,295.31,157.57,134.25,104.74,238.64,154.9,124.64,NA,163.86,175.84,179.58,164.98,167.99,185.63,255.96,209.98,179.9,293.7,262.87,181.05,260.5,252.26,226.06,230.73,230.1,222.75,210.66,168.31,221.63,290.85,296.12,241.54,203.44,143.69,221.38,148.92,236.42,242.48,170.61,235.89,178.28,145.79,241.86,318.14,230.08,227.61,NA,301.02,161.96,228.05,281.8,238.1,260.72,299.88,219.6,204.56,115.59,406.62,324.14,91.05,196.99,325.76,28
"29",229.48,183.98,163.36,181.29,208.18,162.07,202.66,244.79,196.21,121.03,312.44,233.76,205.07,152.78,147.19,251.47,259.46,192.01,208.45,154.98,171.36,193.23,180.02,215.19,185.97,284.4,205.84,NA,235.69,99.29,140.76,188.73,266.78,197.1,210.2,178.66,152.16,124.43,249.83,191.89,192.32,231.11,172.44,295.99,252.21,228.56,237.06,183.32,149.43,231.58,259.65,178.19,344.67,149.55,184.75,124.93,146.21,170.21,226.36,99.64,187,131.25,175.62,NA,118.06,150.94,130.55,145.14,173.23,137.88,168.52,166.18,NA,201.68,105.5,115.73,130.61,147.42,188.67,217.71,171.8,149.64,228.86,238.22,188.01,240.84,268.03,191.7,162.87,207.73,145.41,185.87,128.92,168.99,229.16,286.33,122.52,113.79,119.74,175.04,158.53,188.45,252.38,112.11,184,186.77,128.55,234.74,328.41,291.43,148.55,NA,238.54,70.86,194.61,267.47,248.92,173.81,349.4,228.3,184.6,61.65,253.1,420.96,156.08,175.57,268.28,29
"30",188.98,216.44,103.46,195.24,193.04,143.01,188.19,274.33,187.68,154.92,348.49,114.49,186.76,167.33,162.68,203.57,251.23,197.82,180.66,169.74,187.68,279.67,233.13,174.2,238.28,233.36,232.12,NA,240.93,153.9,90.81,235.91,262.1,232.65,179.29,156.33,247.97,134.8,229.01,211.88,192.32,243.95,136.51,295.99,241.92,254.93,266.69,220.93,158.22,236.72,196.18,197.56,233.49,213.64,203.86,129.39,175.45,180.52,266.99,163.41,253.6,163.17,221.15,NA,180.78,157.5,153.06,210.45,225.6,148.49,187.25,207.73,NA,207.98,155.74,175.59,158.11,113.14,155.2,308.91,216.34,206.8,263.19,258.76,153.19,235.92,354.74,206.17,251.09,204.53,145.41,148.7,182.64,174.53,255.6,264.3,157.52,182.75,119.74,190.49,153.73,233,247.43,136.49,179.28,284.39,183.42,291.65,396.83,279.16,155.73,NA,204.46,96.16,261.5,229.26,200.22,28.97,363.16,280.48,219.53,200.35,174.27,479.9,238.46,196.99,229.95,30
