"","Puerta_Bonita","Vista_Alegre","Guayaba","Almendrales","Las_Calesas","Zofío","Orcasur","San_Fermín","San_Andrés","San_Cristóbal","El_Espinillo","Los_Rosales","Villa_Vallecas","Entrevías","San_Diego","Martínez_de_la_Riva","Numancia","Peña_Prieta","Pozo_de_Tío_Raimundo","Ángela_Uriarte","Alcalá_de_Guadaíra","Federica_Montseny","Doctor_Cirajas","Gandhi","Daroca","La_Elipa","Orcasitas","Vicálvaro_Astilleros","Campo_de_la_Paloma","Rafael_Alberti","García_Noblejas","Núñez_Morgado","Guzmán_el_Bueno","Vinateros_Torito","Pavones","Vandel","Puerta_del_Ángel","Virgen_de_Begoña","Infanta_Mercedes","Villaamil","Palma_Universidad","Eloy_Gonzalo","Justicia","Cortes","Cea_Bermúdez","Segovia","Lavapiés","Alameda","Imperial","Acacias","Martín_de_Vargas","Embajadores","Méndez_Álvaro","Legazpi","Chopera","Comillas","Antonio_Leyva","Opañel","San_Isidro","Los_Cármenes","Lucero","General_Ricardos","Abrantes","Los_Yébenes","Maqueda","Campamento","Buenavista","Las_Águilas","Carabanchel_Alto","Butarque","Ensanche_Vallecas","Perales_del_Río","Vicálvaro-Villablanca","Valdebernardo","Valderribas","Media_Legua","Estrella","Adelfas","Pacífico","Ibiza","Castelló","Goya","General_Oráa","Montesa","Londres","Espronceda","Segre","Prosperidad","Baviera","Canal_de_Panamá","Estrecho_de_Corea","Aquitania","Simancas","Alpes","Quinta_de_los_Molinos","Silvano","Canillejas","Alameda_de_Osuna","Rejas","Benita_de_Ávila","Vicente_Muzas","Potosí","General_Moscardó","Bustarviejo","Monovar","Jazmín","Mar_Báltico","Virgen_del_Cortijo","Sanchinarro","Las_Tablas","Pilar","La_Ventanilla","Barajas","Los_Alperchines","Mirasierra","Fuencarral","Montecarmelo","El_Pardo","Aravaca","Valdezarza","Fuentelarreina","Casa_de_Campo","Argüelles","Andrés_Mellado","Caramuel","General_Fanjul","Valle_Inclán","x"
"31",276.73,248.91,201.48,172,261.18,197.03,275.04,303.87,315.65,213.01,312.44,166.97,201.41,240.08,174.3,215.54,234.75,209.46,277.93,239.84,269.28,401.71,274.45,225.43,302.2,313.57,245.26,NA,256.64,302.83,181.63,334.56,449.31,297.27,222.57,218.86,400.14,207.38,319.22,263.85,343.73,349.87,280.21,443.99,380.89,399.98,334.42,282.03,263.7,370.52,253.88,317.64,300.2,242.13,273.94,249.87,241.25,232.1,249.58,255.08,330.45,230.57,237.41,NA,269.32,223.13,207.09,253.99,257.83,185.61,240.02,103.86,NA,170.16,216.03,227.47,185.61,171.42,231.28,385.41,229.07,300.95,389.06,398.41,264.61,344.06,362.62,305.64,359.66,281.23,256.78,161.09,229.19,254.88,326.11,296.12,241.54,272.4,191.58,334.64,254.61,339.22,405.78,253.47,250.05,339.57,315.1,341.44,509.72,319.04,289.9,NA,391.89,222.69,364.89,277.02,254.33,86.91,467.7,315.27,309.33,331.36,323.64,416.75,377.19,269.78,229.95,31
"32",323.97,265.14,272.27,144.11,355.8,266.95,405.33,282.77,383.89,246.9,252.36,186.05,263.66,265.54,185.92,233.5,280.05,267.64,333.52,273.05,391.68,437.3,306.91,225.43,331.26,357.33,227.74,NA,309.01,337.59,263.36,420.35,519.52,339.28,426.58,312.65,349.41,383.66,340.04,347.81,519.68,410.86,438.28,481.94,406.63,435.15,342.89,319.64,329.63,391.11,340.43,344.76,233.49,267.06,318.53,388.18,314.35,252.73,296.01,235.15,320.2,230.57,263.43,NA,221.36,216.56,211.59,261.25,245.74,212.12,275.76,155.8,NA,207.98,271.29,247.43,240.6,250.27,316.48,406,260.88,379.97,480.6,492.87,355.13,434.99,378.39,356.28,475.03,281.23,275.35,289.14,218.45,346.3,264.41,381.77,269.54,410.33,317.31,468.49,369.91,376.91,435.47,346.09,367.99,382.02,443.65,497.94,581.55,420.27,383.34,NA,460.04,475.76,456.11,286.57,351.73,144.84,467.7,360.92,349.25,423.83,443.96,488.32,364.19,282.63,182.04,32
"33",391.47,343.61,392.07,185.94,268.75,251.06,463.23,337.64,426.55,271.11,336.48,300.54,329.57,287.37,294.38,287.39,313,290.92,403,309.95,571.2,401.71,306.91,251.05,369.04,379.2,262.78,NA,361.39,412.05,326.93,420.35,351.02,310.2,562.6,366.25,349.41,331.81,333.1,423.76,384.65,420.49,459.84,375.68,350.01,382.4,300.55,352.54,417.53,277.89,282.73,309.9,222.37,274.18,328.09,401.57,343.59,402.31,330.84,279,333.01,280.23,273.19,NA,284.08,210,288.12,402.76,245.74,418.94,287.68,477.77,NA,308.82,266.26,379.12,268.1,315.41,346.92,508.97,362.69,418.64,480.6,521.62,355.13,415.33,457.22,397.87,495.39,364.32,377.44,363.49,268.59,482.05,370.17,487.01,427.07,593.08,478.96,494.23,413.14,339.22,361.24,355.84,410.45,534.83,424.84,576.18,629.45,441.74,438.45,NA,471.4,835.1,489.56,410.76,340.91,260.72,575,382.67,329.29,339.06,443.96,467.27,364.19,325.45,325.76,33
"34",573.7,554.64,669.79,306.81,348.23,416.31,622.47,578.21,639.82,401.82,594.84,620.17,527.32,447.42,538.4,580.77,543.63,418.92,611.45,546.11,701.75,615.28,454.46,563.58,531.76,546.93,508.04,NA,618.03,541.13,608.45,634.81,538.24,478.22,618.24,531.51,422.68,591.04,471.89,643.64,466.49,577.77,574.8,519.88,555.9,549.43,516.45,512.36,566.96,524.91,450.06,383.5,366.91,452.21,484.17,624.67,511.73,557.05,493.35,462.34,432.91,457.59,377.26,NA,523.89,334.69,450.19,595.07,447.17,662.88,478.33,695.89,NA,504.19,492.34,642.51,474.32,466.26,496.03,723.74,566.3,610.31,610.29,714.67,438.69,607.01,709.48,560.64,597.18,597.62,624.94,483.27,433.32,670.43,766.79,675.44,665.1,831.01,694.49,664.13,610.11,500.26,588.88,531.32,575.58,921.09,548.68,867.83,687.6,613.53,536.68,NA,709.94,1128.66,893.97,625.69,465.37,347.62,877.63,521.82,608.69,547.12,626.53,606.19,615.65,505.31,641.95,34
"35",627.7,765.67,620.78,534.59,495.86,572.03,535.61,704.82,746.46,522.85,612.87,686.96,776.33,571.1,666.23,652.62,761.91,558.56,903.28,763.81,636.47,742.4,537.09,789.02,677.05,597.97,582.49,NA,864.19,610.63,758.3,849.28,819.06,701.18,612.06,567.24,563.57,850.27,680.08,747.58,626.07,722.22,826.27,664.09,880.17,690.08,601.11,615.78,676.83,771.92,646.24,627.54,511.45,665.86,774.03,731.75,511.73,691.15,638.46,534.08,545.62,592.39,565.89,NA,837.48,623.44,598.75,667.63,729.16,694.7,628.13,602.41,NA,579.82,587.79,782.19,646.18,596.54,718.18,964.99,674.47,738.09,774.31,833.78,550.1,803.62,859.26,739.68,739.69,725.45,680.63,652.62,555.08,853.28,863.74,763.55,721.11,810.32,784.29,906.1,730.21,733.25,796.71,740.92,806.76,1044.19,658.42,1059.89,803.91,754.65,601.37,NA,925.77,966.7,1070.33,797.63,524.89,521.44,943.66,728.37,937.98,639.59,726.11,745.11,784.74,740.84,948.55,35
"36",796.44,811.67,702.46,771.66,749.46,753.17,615.23,658.39,938.41,648.72,841.19,729.89,889.85,720.24,828.91,568.79,914.3,640.02,986.66,760.12,889.43,874.61,655.14,783.89,819.43,678.19,805.85,NA,1026.55,769.5,699.27,1020.85,1137.32,966.14,822.26,808.43,834.08,829.53,985.43,1015.43,994.35,998.27,1106.48,960.08,1137.53,874.69,783.14,822.6,909.77,936.6,709.71,937.44,845.01,790.49,993.82,816.53,584.84,701.46,1079.58,629.73,694.2,815.86,751.27,NA,1073.6,918.76,904.88,740.2,717.08,779.55,743.88,706.27,NA,762.59,738.51,901.91,749.3,867.39,882.51,1165.05,865.36,933.12,1094.71,1030.93,800.78,933.87,1074.73,969.36,956.84,840.5,757.97,896.32,723.39,975.18,925.44,858.99,948.65,737.91,868.11,952.43,816.68,877.16,1128.27,877.41,759.58,1010.23,717.99,1017.21,978.38,797.59,836.17,NA,976.88,1083.11,994.31,893.16,833.33,695.25,932.65,854.48,1227.36,739.77,1008.26,964.01,962.5,886.43,929.39,36
"37",769.44,722.38,680.68,785.61,863.02,791.31,774.46,590.87,1053.57,808.48,1063.51,763.29,966.75,800.26,836.66,670.58,823.69,634.2,958.87,848.68,1126.07,889.86,734.82,671.18,1028.65,780.28,950.38,NA,1162.73,903.54,653.86,956.51,1268.37,1066.3,914.99,1054.09,856.63,860.64,978.49,1063.4,1239.87,1046.41,1242.99,1096.69,1075.77,958.2,1020.19,935.41,997.67,931.45,825.11,983.92,1034.02,826.09,869.59,914.69,826.08,655.04,1073.77,677.56,724.93,833.6,822.82,NA,1003.5,885.94,900.37,656.75,664.71,747.73,735.37,768.59,NA,1014.68,763.63,877.96,776.79,953.1,797.3,1170.93,1011.71,981.88,1285.43,1141.82,919.16,955.99,1072.1,1056.17,868.62,926.78,826.04,945.89,841.57,947.47,978.32,858.99,1102.67,596.53,1119.56,700.16,946.39,808.63,1148.06,1101.63,731.27,1039.94,766.59,1017.21,1002.33,760.78,900.86,NA,834.9,1432.33,994.31,840.62,963.2,434.53,861.12,869.7,1272.26,878.48,1087.09,1157.65,906.13,890.72,718.6,37
"38",681.7,692.62,484.64,674.04,692.68,533.89,716.56,544.44,934.14,871.42,865.23,601.09,772.67,712.96,650.73,592.74,733.08,651.66,1250.69,778.57,1036.31,722.06,616.77,630.19,929.85,714.65,744.54,NA,1026.55,700,644.78,827.83,1118.6,907.97,865.53,799.5,715.73,819.16,818.88,747.58,953.43,824.93,941.23,884.18,983.12,769.2,804.3,780.3,821.87,607.25,750.1,790.24,933.96,769.12,649.81,722.83,679.87,613.78,748.74,645.68,560.99,549.82,637.44,NA,734.18,774.38,688.79,569.67,684.85,588.64,560.04,706.27,NA,932.75,582.77,710.35,666.8,750.82,709.05,944.4,871.72,758.26,1209.14,841.99,745.07,882.26,901.3,857.24,576.82,741.43,705.38,747.62,741.3,706.45,652.21,668.1,836.63,427.57,1197.39,540.57,749.42,681.86,900.63,994.39,820.91,844.69,733.67,882.06,807.33,638.08,649.29,NA,726.98,1057.8,748.02,687.78,649.35,318.66,795.09,817.52,923.02,932.42,850.59,1010.31,780.4,809.35,574.88,38
"39",560.21,500.53,402.96,455.56,541.28,362.28,470.47,409.39,669.68,566.42,456.65,415.04,563.94,527.45,538.4,413.12,638.36,634.2,944.97,568.24,848.63,549.17,504.63,568.71,618.93,583.39,521.18,NA,691.35,531.2,535.8,639.1,795.66,694.71,624.42,544.91,495.94,622.15,645.39,515.71,675.18,494.32,725.68,622.34,720.61,527.45,495.28,582.87,527.4,432.28,582.77,468.72,544.81,509.19,468.24,517.58,519.04,402.31,603.63,542.05,366.31,383.1,497.59,NA,357.87,557.82,616.76,435.41,431.05,487.88,491.95,592.02,NA,579.82,366.74,438.98,515.57,503.98,556.89,673.73,649.02,553.15,930.69,673.59,696.33,611.93,659.55,547.98,413.95,517.72,454.78,458.49,461.97,495.9,378.99,445.4,574.09,368.95,832.19,375.82,533.24,544.8,618.57,633.68,608.61,556.05,612.96,490.82,519.98,447.88,436.05,NA,482.76,566.86,416.58,491.95,497.84,405.56,698.8,641.4,588.73,724.36,630.68,854.56,646,518.16,450.32,39
"40",350.97,324.67,304.94,367.24,370.95,362.28,202.66,198.36,354.04,348.57,252.36,305.31,446.76,363.76,387.34,317.33,444.79,494.56,347.42,546.11,571.2,350.86,362.98,348.4,450.4,401.08,381.03,NA,398.05,426.95,372.34,467.53,528.88,588.08,513.14,486.85,371.96,352.55,388.62,343.81,523.77,346.66,596.35,402.25,452.95,386.8,431.78,432.45,377.97,375.67,403.9,294.4,311.32,277.74,308.98,441.73,453.25,283.68,400.49,350.74,343.26,308.61,357.75,NA,254.57,308.44,360.15,275.76,282,371.21,408.54,457,NA,441.17,256.22,335.22,378.08,390.84,383.43,426.6,496.31,400.15,568.33,480.55,550.1,393.21,365.25,332.77,332.52,380.3,293.91,260.22,304.4,365.69,352.55,332.83,430.57,313.78,455.01,293.45,365.1,356.35,321.65,428.95,410.45,432.96,442.08,348.56,338.67,349.71,309.07,NA,289.66,288.49,264.54,310.46,395.02,202.78,528.23,565.3,364.22,524,443.96,703.01,398.87,351.15,344.93,40
"41",303.73,248.91,304.94,288.21,249.82,244.7,238.85,156.16,234.6,271.11,192.27,233.76,333.24,309.19,271.14,311.34,378.9,360.74,291.83,398.51,383.52,310.18,241.99,297.16,337.07,240.65,315.33,NA,282.83,302.83,295.15,364.59,365.07,439.45,476.04,393.05,298.69,238.49,277.59,259.85,339.63,301.73,380.8,288.4,313.98,312.07,355.59,300.84,334.02,288.18,219.26,263.41,200.13,277.74,242.08,348.03,328.97,221.79,261.19,247.11,302.27,237.66,214.65,NA,284.08,216.56,175.57,221.34,189.34,249.24,299.59,415.45,NA,453.77,271.29,279.35,254.35,257.13,228.23,244.19,299.06,337.94,331.85,295.72,278.53,299.82,268.03,253.19,413.95,338.76,191.81,235.44,311.56,254.88,229.16,252.07,255.54,303.44,221.52,303.75,307.46,325.51,282.07,263.22,330.25,348.06,349.59,448.14,239.46,368.12,184.48,NA,187.43,161.96,243.26,243.59,254.33,57.94,354.9,434.85,199.57,362.18,315.34,450.43,260.13,239.81,249.11,41
"42",283.48,178.57,310.39,209.19,193.04,146.18,275.04,270.11,179.15,145.24,108.15,162.2,256.34,276.45,220.78,269.43,275.94,308.37,403,236.15,301.92,274.59,203.62,276.67,310.92,226.06,258.4,NA,230.45,282.98,199.79,265.93,318.26,268.19,296.75,290.32,298.69,186.64,256.77,263.85,270.07,298.52,337.69,269.43,298.54,272.52,207.42,239.73,303.26,210.99,225.03,240.17,122.3,281.3,184.75,298.95,204.69,134.1,208.95,231.17,194.68,219.93,191.88,NA,250.88,164.06,166.57,232.22,120.86,222.73,190.65,301.2,NA,384.45,211,167.61,268.1,178.28,121.72,217.71,248.15,265.64,335.66,262.87,222.83,255.58,323.21,220.64,325.73,335.56,259.88,218.92,311.56,227.17,167.46,247.17,168.03,299.99,185.6,272.86,225.79,243.28,227.63,307.09,212.3,292.88,250.83,312.99,253.15,312.9,150.94,NA,193.11,187.27,218.93,234.04,281.39,115.87,261.36,334.83,174.62,262,228.21,328.35,242.79,209.83,134.14,42
"43",350.97,200.21,212.37,227.78,174.12,152.54,180.95,303.87,174.88,135.55,156.22,224.22,245.35,214.62,251.77,239.49,271.82,290.92,361.31,228.77,171.36,244.08,188.87,194.69,296.39,313.57,192.7,NA,167.6,233.33,118.06,278.8,341.66,290.81,166.92,183.13,315.6,259.23,312.28,235.87,237.34,260,359.25,307.38,236.77,210.98,143.93,230.33,290.07,231.58,323.12,271.16,166.78,224.33,207.05,325.72,160.83,113.47,185.73,195.3,202.37,166.72,208.14,NA,239.81,131.25,139.56,177.79,153.08,212.12,173.63,155.8,NA,340.33,261.24,155.64,254.35,198.85,155.2,238.31,203.61,205.12,400.5,201.26,271.57,255.58,349.48,267.66,257.87,316.38,312.47,202.4,275.75,221.63,246.78,234.94,217.03,303.44,209.54,262.56,321.87,209.01,138.56,297.34,174.56,322.59,166.17,163.61,294.2,322.11,138.96,NA,255.58,187.27,252.38,224.48,308.44,173.81,258.61,293.52,239.49,269.71,323.64,311.51,234.12,192.7,95.81,43
"44",283.48,205.62,196.04,223.13,185.47,231.99,188.19,261.67,196.21,150.08,252.36,252.84,263.66,236.44,278.89,251.47,296.53,290.92,333.52,210.32,171.36,264.42,150.5,184.45,209.22,357.33,205.84,NA,172.84,183.69,127.14,351.72,248.06,252.04,98.92,147.39,360.69,362.92,242.89,183.9,270.07,224.69,280.21,333.94,272.8,250.54,135.46,211.53,263.7,221.28,236.57,240.17,277.96,217.21,242.08,290.02,190.07,154.73,191.54,211.24,184.44,120.61,240.67,NA,213.98,301.88,126.05,152.39,145.03,159.09,188.95,270.05,NA,352.93,216.03,171.6,185.61,178.28,182.59,241.25,254.52,228.66,366.17,180.72,306.39,280.16,310.07,260.43,230.73,233.29,244.41,206.53,164.73,188.39,158.65,154.18,220.53,272.4,209.54,267.71,326.67,250.13,183.1,233.98,174.56,314.11,150.5,156.49,256.57,273.02,210.84,NA,312.38,167.02,316.23,224.48,303.03,115.87,288.87,236.99,224.52,208.06,365.13,307.3,234.12,141.32,143.72,44
"45",202.48,192.09,217.82,223.13,204.4,235.17,188.19,329.2,213.27,208.17,252.36,228.99,399.15,280.09,286.63,245.48,308.88,314.19,514.17,313.64,252.96,300.01,250.84,184.45,258.62,371.91,284.68,NA,272.35,238.3,186.17,428.93,224.66,235.88,142.19,209.92,355.05,425.13,319.22,199.89,323.27,266.42,409.54,470.55,411.78,325.26,249.76,310.24,334.02,174.97,276.96,244.04,233.49,224.33,337.64,325.72,219.31,196,284.4,239.14,169.07,113.51,237.41,NA,239.81,360.94,148.56,221.34,157.11,169.7,260.44,249.27,NA,327.72,195.93,195.55,268.1,239.99,267.79,305.97,369.05,257.24,419.58,312.15,327.28,351.43,315.32,341.81,210.37,223.71,253.69,301.53,175.48,229.94,220.34,222.7,262.54,386.19,395.14,396.42,273.83,256.98,262.27,331.46,155.69,309.86,213.2,277.42,242.88,180.99,261.15,NA,283.98,222.69,346.64,257.92,227.27,115.87,354.9,308.74,264.43,161.82,356.83,378.87,177.76,175.57,182.04,45
"46",276.73,224.56,168.81,232.43,280.1,171.61,246.09,346.08,234.6,242.06,270.38,243.3,476.05,250.99,282.76,209.56,300.65,267.64,333.52,380.06,204,361.03,312.81,199.82,319.64,269.82,280.3,NA,288.06,248.23,263.36,338.85,322.94,323.12,222.57,303.72,332.51,373.29,409.44,255.86,298.72,353.08,409.54,485.73,458.1,312.07,385.22,366.64,334.02,216.14,346.2,271.16,155.66,284.86,391.79,330.18,219.31,237.26,220.56,247.11,238.23,148.98,198.39,NA,317.28,242.81,153.06,232.22,197.4,196.21,301.3,218.11,NA,384.45,205.98,227.47,302.47,246.85,270.84,358.93,375.41,287.5,362.36,345.01,320.31,388.29,294.3,390.64,223.94,239.69,238.22,367.62,275.75,285.35,334.92,330.38,273.04,524.12,413.1,380.97,331.48,274.11,301.86,365.59,212.3,297.13,238.29,341.44,212.1,309.83,251.57,NA,335.09,237.88,352.72,253.14,243.51,115.87,365.91,334.83,309.33,115.59,352.68,366.24,212.44,188.42,172.46,46
"47",377.38,327.39,190.62,224.94,301.5,256.86,381.41,299.86,288.06,258.91,308.04,301.43,470.39,322.78,392.85,264.22,397.18,301.79,450.82,362.62,325.37,422.81,350.59,410.86,440.26,280.43,345.33,NA,375.09,277.22,319.84,319.35,486.51,358.43,369.25,327.22,333.48,306.18,352.38,336.48,362.71,428.48,410.03,622.09,504.56,419.44,425.36,388.59,406.13,293.06,383.84,353.67,194.2,391.81,363.08,295.52,313.97,320.42,287.73,314.57,351.53,245.91,219.2,NA,303.63,291.38,185.31,228.54,232.96,264.8,322.34,350.8,NA,471.12,142.35,325.59,356.38,240.93,328.38,357.51,454.37,372.09,471.34,444.23,475.89,408.24,382.94,379.62,332.58,359.23,342.81,332.16,418.12,347.47,479.6,456.89,364.95,447.26,364.27,360.61,363.14,325.21,362.07,345.49,332.63,361.41,304.76,359.51,343.24,464.33,346.95,NA,523.72,349.74,390.89,206.65,336.56,86.43,440.03,369.6,311.65,159.2,380.93,378.24,299.99,275.81,315.16,47
"48",377.38,408.58,296.52,350.91,375.04,368.27,423.79,358.17,357.2,288.79,420.59,390.92,499.56,439.83,502.99,373.35,502.55,363.27,519.13,467.78,412.67,483.21,399.45,596.25,580.35,323.58,435.98,NA,405.92,427.99,288.75,428.61,592.07,339.23,411.62,397.97,305.69,418.45,447.25,402.23,549.92,571.3,608.21,676.66,499.46,491.46,417.26,461.74,410.5,298.2,458.32,490.57,431.55,441.23,435.07,299.87,506.64,427.22,315.94,329.55,411.79,352.83,313.15,NA,278.33,361.06,317.67,264.25,335.62,449.66,356.02,474.62,NA,431.86,147.09,337.5,431.77,305.41,398.97,489.07,542.72,447.17,588.24,553.27,531.07,462.02,466.3,422.6,405.75,445.07,412.58,405.07,463.41,386.08,549.35,491.09,430.37,382.88,503.04,396.16,415.02,355.7,440.36,494.24,384.16,432.85,380.2,394.76,456.54,404.8,413.94,NA,570.39,438.48,505.51,239.53,352.33,460.96,526.32,437.97,465,333.56,544.77,469.68,428.56,424.32,506.16,48
"49",416.42,374.53,397.12,463.38,444.9,328.04,423.79,374.83,330.31,328.62,414.67,390.92,452.16,471.75,348.79,373.35,441.76,340.92,341.53,489.54,333.31,468.11,396.57,546.15,526.03,366.72,353.97,NA,272.33,413.4,333.17,504.24,596.66,304.03,254.24,486.4,361.27,387.83,555.67,390.62,510.92,558.61,608.21,465.66,616.69,461.81,368.64,443.45,375.56,313.62,343.74,456.34,593.38,370.63,447.59,347.67,528.04,396.7,248.24,363.26,318.89,392.03,441.54,NA,292.79,329.38,401.5,296.39,323.78,429.68,307.91,474.62,NA,398.21,137.6,285.88,404.36,369.88,392.83,509.1,586.9,470.53,509.05,537.11,379.34,459.58,518.4,438.71,379.14,311.55,370.11,417.22,411.15,355.74,453.44,403.14,378.72,328.67,422.09,380.92,523.49,382.8,406.11,470.25,309.21,432.85,336.45,401.8,386.56,360.15,363.7,NA,440.76,396.72,473.18,281.8,389.15,605.01,494.68,405.92,524.36,386.63,475.14,461.37,475.7,504.94,439.31,49
"50",494.5,348.34,402.41,359.91,459.61,315.66,430.85,312.36,276.54,303.72,308.04,282.59,419.34,443.37,297.39,321.65,340.44,385.63,478.14,442.4,333.31,468.11,416.69,395.83,474.57,352.34,284.9,NA,308.29,403.68,337.61,432.81,518.63,316.83,308.72,428.92,350.16,285.77,467.57,386.76,495.32,428.48,526.21,422,601.4,453.33,417.26,356.59,362.46,395.89,360.93,334.65,442.33,321.21,381.86,386.79,513.77,305.16,282.09,322.06,291.27,335.01,441.54,NA,238.57,240.7,295.61,285.67,288.24,394.7,261.4,453.98,NA,364.55,218.27,341.47,315.26,359.7,331.45,429.01,580.59,417.14,460.03,411.92,317.26,459.58,468.91,393.95,292.67,251.14,357.98,368.62,386.76,347.47,322.64,356.72,351.18,288.01,398.96,325.05,556.5,403.13,401.21,398.27,267.04,495.88,319.85,387.71,469.87,434.56,306.27,NA,404.46,381.06,405.58,309.98,462.77,518.58,465.92,358.92,479.84,394.21,368.64,407.33,398.56,521.92,401.11,50
"51",403.41,254.05,322.99,224.94,279.44,266.15,275.46,241.56,268.86,268.87,225.11,183.69,306.3,422.09,257,264.22,255.33,279.44,396.17,326.36,285.69,382.54,347.72,260.55,420.25,287.62,250.37,NA,328.85,277.22,239.88,373.98,394.71,281.63,332.93,300.69,322.37,193.92,318.49,293.94,421.22,349.13,444.2,371.07,423.02,394.02,332.19,274.3,253.29,359.9,372.39,270,269.72,225.91,359.95,321.6,442.41,223.78,299.01,153.54,288.76,267.29,413.35,NA,162.66,177.36,220.6,214.26,252.7,404.7,243.76,484.94,NA,286.03,227.76,329.56,233.02,291.83,208.69,323.19,454.37,315.36,403.47,343.27,303.47,332.46,375.13,261.44,239.46,251.14,273.03,287.6,306.62,308.86,174.4,237,275.43,233.8,300.66,253.95,292.4,331.99,406.11,316.7,299.84,428.64,251.96,394.76,449.88,309.55,284.74,NA,373.35,318.42,349.74,314.67,383.89,547.39,359.51,288.42,395.75,379.05,356.35,307.58,291.42,356.43,343.81,51
"52",286.29,193.81,201.21,206.95,202.23,222.82,247.21,241.56,169,288.79,154.02,230.78,222.43,312.13,183.57,212.52,243.17,184.43,232.24,304.6,238.08,291.94,241.39,180.38,320.19,287.62,159.72,NA,313.43,179.95,191.02,298.34,293.74,230.42,278.45,300.69,400.18,122.47,230.4,235.92,241.81,234.87,300.69,265.57,254.83,288.1,279.52,237.73,209.62,267.35,286.45,205.35,226.56,169.43,341.17,304.22,285.43,213.61,231.31,217.2,256.11,245.91,297.49,NA,180.73,215.37,220.6,167.83,229.01,244.82,229.33,474.62,NA,246.78,166.07,218.38,185.05,281.65,181.07,248.83,334.47,236.94,343.14,294.81,282.78,251.79,242.27,191.6,219.5,171.67,239.66,198.49,226.48,231.65,104.64,173.47,213.46,243.96,208.15,213.32,141.48,226.97,293.57,191.94,304.52,331.99,158.42,359.51,273.26,172.63,260.81,NA,347.42,187.92,238.06,234.83,299.75,345.72,273.22,245.69,237.45,280.49,360.45,241.07,312.85,246.11,248.3,52
"53",208.21,180.72,164.14,229.44,202.23,185.68,296.65,220.73,157.47,234.02,201.41,197.81,185.97,262.48,168.89,195.29,210.75,251.49,259.56,315.48,230.14,201.34,215.53,145.31,268.73,287.62,142.45,NA,200.39,175.09,151.04,273.13,261.61,198.42,290.56,274.15,355.71,265.36,230.4,216.58,226.21,193.61,252.85,258.29,219.15,220.31,210.65,187.44,165.95,133.68,166.14,190.14,194.2,187.08,306.74,273.79,178.39,244.13,163.61,235.93,223.47,199.58,144.05,NA,180.73,171.03,233.84,253.54,264.55,149.89,208.48,257.94,NA,302.86,180.31,138.97,143.92,227.36,156.52,251.69,214.57,196.89,260.18,218.08,193.12,193.12,229.24,204.14,172.94,197.1,191.12,202.54,188.15,198.55,122.08,178.36,134.27,301.56,225.5,243.79,155.63,132.12,171.25,124.76,238.93,289.96,153.89,162.13,299.92,232.16,198.6,NA,331.86,156.6,185.16,244.22,231.38,115.24,287.6,247.83,192.93,235.01,245.76,178.73,278.56,241.86,200.55,53
"54",247.25,170.24,132.37,220.44,139.72,105.22,155.39,183.25,161.32,144.39,171.79,141.3,171.38,205.72,161.54,201.03,154.01,190.02,191.26,232.08,198.4,130.87,212.66,145.31,211.56,215.72,120.87,NA,133.59,160.5,111.06,256.32,211.13,166.42,223.97,172.45,333.48,204.12,203.29,177.91,222.31,209.48,239.19,236.47,188.57,203.36,125.58,141.72,157.21,102.83,166.14,201.55,140.25,141.19,253.53,199.91,85.63,178.01,124.12,164.78,178.28,146.12,140.92,NA,151.82,164.69,150.01,224.97,217.17,124.91,158.77,144.45,NA,286.03,189.8,111.18,75.39,166.28,159.59,200.21,164.08,186.88,233.79,214.04,165.53,176.01,237.06,184.44,146.33,181.21,151.69,202.54,146.34,168.22,156.96,153.93,89.52,243.96,190.81,228.55,221.66,125.34,112.54,177.54,187.4,260.55,153.89,91.64,319.91,214.3,122.03,NA,197.04,172.26,161.65,263.01,131.47,115.24,218.58,200.82,153.35,288.08,147.46,128.85,154.28,165.49,143.25,54
"55",273.28,94.29,84.72,130.47,58.83,55.71,120.07,133.27,92.18,124.48,71.09,117.75,142.21,138.33,146.86,195.29,129.69,128.54,136.61,148.67,79.36,90.6,135.07,170.36,142.94,179.77,133.82,NA,128.46,145.91,71.08,155.48,151.46,124.81,90.8,97.28,255.67,112.27,142.31,139.23,171.61,171.39,198.18,160.07,132.51,173.71,93.17,146.29,100.44,143.96,183.33,136.9,118.68,91.78,156.5,139.07,64.22,122.06,101.55,161.03,133.08,92.66,93.94,NA,108.44,152.02,57.36,103.56,138.2,74.94,120.28,113.5,NA,201.91,132.86,79.41,61.68,95.02,128.9,177.33,151.46,166.86,214.93,153.46,117.25,163.79,171.93,157.58,86.47,127.16,109.21,162.03,128.92,184.77,104.64,129.49,99.85,159.25,185.02,101.58,207.51,135.51,127.21,177.54,140.55,163.89,125.22,112.79,193.28,154.78,78.96,NA,155.56,109.62,141.07,159.68,78.88,144.05,138.05,147.41,108.83,235.01,151.55,116.38,90,89.11,133.7,55
