zbs,fecha_informe,casos_confirmados_ultimos_14dias,tasa_incidencia_acumulada_ultimos_14dias,casos_confirmados_totales,tasa_incidencia_acumulada_total
Abrantes,2022/01/11 10:21:00,538,1684.72,5322,16665.62
Acacias,2022/01/11 10:21:00,333,1712.08,3206,16483.29
Adelfas,2022/01/11 10:21:00,702,2382.16,5041,17106.11
Alameda,2022/01/11 10:21:00,464,2121.24,4295,19635.18
Alameda_de_Osuna,2022/01/11 10:21:00,663,2246.47,5035,17060.28
Alcalde BartolomÈ Gonz·lez,2022/01/11 10:21:00,734,3305.56,4145,18666.97
Alcalá_de_Guadaíra,2022/01/11 10:21:00,362,2872.79,2540,20157.13
Alcobendas - Chopera,2022/01/11 10:21:00,931,3306.7,6496,23072.28
Alcocer,2022/01/11 10:21:00,587,3336.74,3474,19747.61
Algete,2022/01/11 10:21:00,768,2708.99,5684,20049.38
Alicante,2022/01/11 10:21:00,812,3245.66,5194,20761.05
Almendrales,2022/01/11 10:21:00,502,2258.41,4269,19205.51
Alpedrete,2022/01/11 10:21:00,518,3490.8,2877,19388.1
Alpes,2022/01/11 10:21:00,856,2360.6,6438,17754.12
Andrés_Mellado,2022/01/11 10:21:00,537,2232.01,5166,21472.21
Ángela_Uriarte,2022/01/11 10:21:00,820,2973.49,5940,21539.69
Antonio_Leyva,2022/01/11 10:21:00,276,1969.46,2448,17468.25
Aquitania,2022/01/11 10:21:00,562,2276.5,4040,16364.89
Aranjuez,2022/01/11 10:21:00,1101,2469,7751,17381.65
Aravaca,2022/01/11 10:21:00,723,2079.38,7058,20299.11
Arganda del Rey,2022/01/11 10:21:00,874,3995.79,4152,18982.31
Arganda - Felicidad,2022/01/11 10:21:00,1264,3631.66,6415,18431.26
Argüelles,2022/01/11 10:21:00,563,2306.05,4957,20303.92
Arroyomolinos,2022/01/11 10:21:00,823,2498.86,5016,15230
Barajas,2022/01/11 10:21:00,418,2167.49,3390,17578.43
Barcelona,2022/01/11 10:21:00,588,2801.87,3819,18197.85
Barrio del Puerto,2022/01/11 10:21:00,534,3462.14,2889,18730.55
Baviera,2022/01/11 10:21:00,248,1649.59,2555,16994.81
Benita_de_Ávila,2022/01/11 10:21:00,444,2255.07,3479,17669.76
Boadilla del Monte,2022/01/11 10:21:00,1142,2012.9,9270,16339.41
Br˙jula,2022/01/11 10:21:00,698,3390.49,4006,19458.88
Buenavista,2022/01/11 10:21:00,538,2373.7,3745,16523.27
Buitrago de Lozoya,2022/01/11 10:21:00,155,2757.03,1089,19370.33
Bustarviejo,2022/01/11 10:21:00,363,1741.84,3708,17792.71
Butarque,2022/01/11 10:21:00,525,2623.03,3275,16362.73
Cadalso de los Vidrios,2022/01/11 10:21:00,192,3404.26,964,17092.2
Campamento,2022/01/11 10:21:00,300,1900.3,2624,16621.27
Campo Real,2022/01/11 10:21:00,719,3583.89,3488,17386.1
Campo_de_la_Paloma,2022/01/11 10:21:00,612,3144.59,4051,20814.92
Canal_de_Panamá,2022/01/11 10:21:00,627,1993.26,5206,16550.1
Canillejas,2022/01/11 10:21:00,660,2272.34,5214,17951.45
Carabanchel_Alto,2022/01/11 10:21:00,611,2412.54,3897,15387.35
Caramuel,2022/01/11 10:21:00,536,2297.08,4377,18758.04
Carmen Calzado,2022/01/11 10:21:00,308,1969.31,2344,14987.21
Casa_de_Campo,2022/01/11 10:21:00,295,2236.37,2479,18793.12
Castelló,2022/01/11 10:21:00,263,1659.72,2936,18528.34
Castilla la Nueva,2022/01/11 10:21:00,691,2955.64,4380,18734.76
Cea_Bermúdez,2022/01/11 10:21:00,443,2257.79,4251,21665.56
Cercedilla,2022/01/11 10:21:00,469,3184.19,2887,19600.79
Chopera,2022/01/11 10:21:00,763,2388.18,6418,20088.27
Ciempozuelos,2022/01/11 10:21:00,959,3626.39,4661,17625.26
Ciudad San Pablo,2022/01/11 10:21:00,401,3400.03,2385,20222.15
Ciudad de los Periodistas,2022/01/11 10:21:00,371,1474.39,3853,15312.16
Collado Mediano,2022/01/11 10:21:00,378,2912.17,2268,17473.04
Collado Villalba EstaciÛn,2022/01/11 10:21:00,1000,3478.02,6034,20986.37
Collado Villalba Pueblo,2022/01/11 10:21:00,742,3676.54,4193,20775.94
Colmenar Viejo Norte,2022/01/11 10:21:00,584,2710.98,3999,18563.74
Colmenar Viejo Sur,2022/01/11 10:21:00,629,2069.35,4756,15646.8
Colmenar de Oreja,2022/01/11 10:21:00,501,2788.29,2915,16223.29
Comillas,2022/01/11 10:21:00,621,2698.83,4469,19421.99
Cortes,2022/01/11 10:21:00,511,1858.99,5746,20903.67
Coslada - Jaime Vera,2022/01/11 10:21:00,401,2832.92,2609,18431.65
Cuzco,2022/01/11 10:21:00,705,3345.04,4513,21412.98
Daganzo de Arriba,2022/01/11 10:21:00,451,2483.75,2619,14423.39
Daroca,2022/01/11 10:21:00,921,2633.01,7145,20426.54
Dehesa Vieja,2022/01/11 10:21:00,570,1890.05,4487,14878.31
Dos de Mayo,2022/01/11 10:21:00,1211,3771.65,6197,19300.49
Doctor_Cirajas,2022/01/11 10:21:00,994,2856.49,6810,19570.09
Doctor LaÌn Entralgo,2022/01/11 10:21:00,746,3126.83,4123,17281.42
Doctor Luengo RodrÌguez,2022/01/11 10:21:00,1179,2906.37,6140,15135.83
Doctor Tamames,2022/01/11 10:21:00,523,2780.88,3508,18652.63
Doctor Trueta,2022/01/11 10:21:00,364,3466.67,2118,20171.43
El Bercial,2022/01/11 10:21:00,431,2277.05,2786,14718.93
El Escorial,2022/01/11 10:21:00,401,2450.35,2750,16804.16
El_Espinillo,2022/01/11 10:21:00,358,2120.73,3161,18725.19
El Greco,2022/01/11 10:21:00,584,3336,3337,19062.04
El Juncal,2022/01/11 10:21:00,830,3065.67,4865,17969.27
El Molar,2022/01/11 10:21:00,742,2220.36,5583,16706.57
El Naranjo,2022/01/11 10:21:00,624,2499.6,4215,16884.31
El_Pardo,2022/01/11 10:21:00,88,2535.29,478,13771.25
El RestÛn,2022/01/11 10:21:00,1129,3424.22,5578,16917.9
El Soto,2022/01/11 10:21:00,733,3635.01,4107,20366.97
Eloy_Gonzalo,2022/01/11 10:21:00,568,1802.77,6171,19586.12
Embajadores,2022/01/11 10:21:00,509,1935.66,4718,17941.89
Ensanche_Vallecas,2022/01/11 10:21:00,1542,2472.9,9868,15825.26
Entrevías,2022/01/11 10:21:00,974,3454.76,6184,21934.52
Espronceda,2022/01/11 10:21:00,717,1752.76,7719,18869.63
Estrecho_de_Corea,2022/01/11 10:21:00,659,1999.21,5702,17298.18
Estrella,2022/01/11 10:21:00,226,1548.9,2179,14933.86
Europa,2022/01/11 10:21:00,456,2411.93,2890,15286.15
Federica_Montseny,2022/01/11 10:21:00,722,3634.17,4174,21009.71
Felipe II,2022/01/11 10:21:00,680,3334.48,4024,19732.26
Francia,2022/01/11 10:21:00,1137,3309.75,6790,19765.38
Fuencarral,2022/01/11 10:21:00,509,2390.57,3733,17532.41
Fuente el Saz,2022/01/11 10:21:00,450,2222.66,3554,17554.08
Fuentelarreina,2022/01/11 10:21:00,370,1830.32,3557,17595.84
Galapagar,2022/01/11 10:21:00,1231,2815.19,8103,18530.88
Gandhi,2022/01/11 10:21:00,544,2725.72,3789,18984.87
García_Noblejas,2022/01/11 10:21:00,457,2030.12,3607,16023.28
General_Fanjul,2022/01/11 10:21:00,661,2804.77,4041,17146.86
General_Moscardó,2022/01/11 10:21:00,378,1849.5,3652,17868.68
General_Oráa,2022/01/11 10:21:00,453,1708.14,5666,21365.01
General_Ricardos,2022/01/11 10:21:00,600,2138.35,5118,18240.14
Getafe Norte,2022/01/11 10:21:00,463,4017.7,2445,21216.59
Goya,2022/01/11 10:21:00,1111,1853.77,10936,18247.35
Gregorio MaraÒÛn,2022/01/11 10:21:00,983,2427.22,5993,14797.9
GriÒÛn,2022/01/11 10:21:00,1107,2737.39,7292,18031.65
Guadarrama,2022/01/11 10:21:00,519,3134.06,3171,19148.55
Guayaba,2022/01/11 10:21:00,483,2557.45,3441,18219.85
Guzmán_el_Bueno,2022/01/11 10:21:00,491,2253.53,4823,22136.04
Huerta de Los Frailes,2022/01/11 10:21:00,432,2175.12,2847,14334.63
Humanes de Madrid,2022/01/11 10:21:00,844,3389.42,5144,20657.8
Ibiza,2022/01/11 10:21:00,750,2145.06,6779,19388.51
Imperial,2022/01/11 10:21:00,543,2371.28,4273,18660.2
Infanta_Mercedes,2022/01/11 10:21:00,199,1348.51,2385,16161.82
Isabel II,2022/01/11 10:21:00,978,2847.66,6758,19677.38
Jazmín,2022/01/11 10:21:00,382,1605.31,4379,18402.25
Juan de Austria,2022/01/11 10:21:00,306,1827.3,2568,15335.01
Juan de la Cierva,2022/01/11 10:21:00,1019,2657.66,6646,17333.47
Justicia,2022/01/11 10:21:00,286,1954.49,3142,21472.02
La Cabrera,2022/01/11 10:21:00,202,2720.54,1344,18101.01
La_Elipa,2022/01/11 10:21:00,389,2797.15,2849,20486.09
La Garena,2022/01/11 10:21:00,183,2435.78,1165,15506.46
La Marazuela,2022/01/11 10:21:00,242,2109.12,1751,15260.59
La Moraleja,2022/01/11 10:21:00,403,1682.74,4642,19382.86
La Plata,2022/01/11 10:21:00,812,2688.65,4831,15996.16
La Princesa,2022/01/11 10:21:00,527,2859.78,3313,17978.08
La Ribota,2022/01/11 10:21:00,604,3287.07,3252,17697.96
La_Ventilla,2022/01/11 10:21:00,519,2255.64,4066,17671.35
La Veredilla,2022/01/11 10:21:00,284,2330.93,1972,16185.16
Las_Águilas,2022/01/11 10:21:00,621,2217.54,4316,15412.08
Las AmÈricas,2022/01/11 10:21:00,1133,2721.2,7177,17237.49
Las_Calesas,2022/01/11 10:21:00,625,2298.05,5344,19649.23
Las Ciudades,2022/01/11 10:21:00,519,3197.19,3250,20020.94
Las Fronteras,2022/01/11 10:21:00,1061,3170.1,6747,20158.95
Las Margaritas,2022/01/11 10:21:00,707,2714.22,5106,19602.27
Las Matas,2022/01/11 10:21:00,176,2625.3,1169,17437.35
Las Olivas,2022/01/11 10:21:00,468,2973.51,3178,20191.88
Las Rozas,2022/01/11 10:21:00,907,2315.43,6463,16499.03
Las_Tablas,2022/01/11 10:21:00,538,1601.33,5221,15540.08
Lavapiés,2022/01/11 10:21:00,497,2013.37,4799,19440.96
LeganÈs Norte,2022/01/11 10:21:00,337,2635.49,2556,19989.05
Legazpi,2022/01/11 10:21:00,520,1835.51,4774,16851.39
Londres,2022/01/11 10:21:00,312,2151.87,2650,18277.12
Los_Alperchines,2022/01/11 10:21:00,631,3293.84,3818,19930.05
Los ¡ngeles,2022/01/11 10:21:00,783,2406.93,5625,17291.2
Los Castillos,2022/01/11 10:21:00,675,2511.25,4525,16834.7
Los_Cármenes,2022/01/11 10:21:00,574,2149.57,4478,16769.65
Los Fresnos,2022/01/11 10:21:00,258,2762.9,1715,18365.82
Los Pedroches,2022/01/11 10:21:00,552,2553.43,3574,16532.52
Los_Rosales,2022/01/11 10:21:00,582,2741.15,4040,19027.88
Los Yébenes,2022/01/11 10:21:00,785,2295.79,5582,16324.98
Lucero,2022/01/11 10:21:00,1028,2581.23,7014,17611.61
Luis Vives,2022/01/11 10:21:00,435,1785.05,3556,14592.31
Majadahonda,2022/01/11 10:21:00,1269,2475.08,9979,19463.24
Manuel Merino,2022/01/11 10:21:00,294,2516.26,1825,15619.65
Manzanares El Real,2022/01/11 10:21:00,521,3138.74,2959,17826.38
Maqueda,2022/01/11 10:21:00,625,2259.17,4795,17332.37
Mar_Báltico,2022/01/11 10:21:00,1246,1879.88,9881,14907.74
MarquÈs de la Valdavia,2022/01/11 10:21:00,514,2892.68,3449,19410.21
Martín_de_Vargas,2022/01/11 10:21:00,359,2056.72,3103,17777.14
Martínez_de_la_Riva,2022/01/11 10:21:00,543,3118.9,3839,22050.55
Marie Curie,2022/01/11 10:21:00,331,2481.63,2232,16734.14
María Montessori,2022/01/11 10:21:00,331,2407.1,2378,17293.29
MarÌa de Guzm·n,2022/01/11 10:21:00,503,2251.16,3186,14258.86
Meco,2022/01/11 10:21:00,443,1678.54,3320,12579.57
Media_Legua,2022/01/11 10:21:00,584,2318.84,4342,17240.42
Mejorada del Campo,2022/01/11 10:21:00,1547,3444.21,8150,18144.98
MendiguchÌa Carriche,2022/01/11 10:21:00,506,2324.62,3522,16180.46
Miguel Servet,2022/01/11 10:21:00,583,3355.4,3328,19153.96
Miguel de Cervantes,2022/01/11 10:21:00,414,1485.68,3707,13302.95
Miraflores,2022/01/11 10:21:00,792,3583.06,4975,22507.24
Mirasierra,2022/01/11 10:21:00,551,1619.4,6027,17713.45
Monforte de Lemos,2022/01/11 10:21:00,317,1900.71,2386,14306.27
Monovar,2022/01/11 10:21:00,385,1803.7,3363,15755.45
Montecarmelo,2022/01/11 10:21:00,283,1488.22,3125,16433.53
Monterrozas,2022/01/11 10:21:00,882,2275.37,6988,18027.5
Montesa,2022/01/11 10:21:00,484,1954.61,5178,20911.07
Moralzarzal,2022/01/11 10:21:00,501,3757.31,2651,19881.51
Morata de TajuÒa,2022/01/11 10:21:00,284,3619.22,1524,19421.43
MarÌa Jes˙s Hereza,2022/01/11 10:21:00,956,2456.13,6185,15890.35
Méndez_Álvaro,2022/01/11 10:21:00,129,1391.74,1360,14672.56
Navalcarnero,2022/01/11 10:21:00,1110,2614.72,6865,16171.21
Navas del Rey,2022/01/11 10:21:00,242,3377.53,1251,17459.87
Nuestra SeÒora del Pilar,2022/01/11 10:21:00,417,2357.26,2944,16642.17
Numancia,2022/01/11 10:21:00,719,2914,5229,21192.35
Núñez_Morgado,2022/01/11 10:21:00,340,1428.69,4297,18056.14
Opañel,2022/01/11 10:21:00,494,2512.46,3624,18431.49
Orcasitas,2022/01/11 10:21:00,426,1838.9,3811,16450.83
Orcasur,2022/01/11 10:21:00,326,2302.59,2662,18802.09
Pacífico,2022/01/11 10:21:00,785,2409.16,5771,17711.15
Palma_Universidad,2022/01/11 10:21:00,624,2433.7,5328,20780.03
Palomares,2022/01/11 10:21:00,267,1998.2,2094,15671.31
Panaderas,2022/01/11 10:21:00,1214,3254.87,7417,19885.78
Paracuellos del Jarama,2022/01/11 10:21:00,642,2477.14,4282,16521.97
Parque Coimbra,2022/01/11 10:21:00,407,3304.64,2617,21248.78
Parque Europa,2022/01/11 10:21:00,879,2593,5228,15422.28
Parque Loranca,2022/01/11 10:21:00,1063,3739.53,5412,19038.91
Parque Oeste,2022/01/11 10:21:00,401,2718.64,2395,16237.29
Pavones,2022/01/11 10:21:00,514,3111.38,3191,19315.98
Perales de TajuÒa,2022/01/11 10:21:00,317,3482.75,1702,18699.19
Perales_del_Río,2022/01/11 10:21:00,252,2600.08,1600,16508.46
Peña_Prieta,2022/01/11 10:21:00,566,3163.25,4207,23511.99
PeÒagrande,2022/01/11 10:21:00,481,1934.76,4072,16379.07
Pilar,2022/01/11 10:21:00,602,1440.43,6291,15052.76
Pinto,2022/01/11 10:21:00,611,3145.27,3559,18320.81
Pintores,2022/01/11 10:21:00,794,3200.06,4871,19631.63
Pizarro,2022/01/11 10:21:00,358,2130.83,2696,16046.66
Portazgo,2022/01/11 10:21:00,678,3743.58,4055,22389.71
Potosí,2022/01/11 10:21:00,468,1585.42,4758,16118.43
Pozo_de_Tío_Raimundo,2022/01/11 10:21:00,270,3688.52,1856,25355.19
Pozuelo - EstaciÛn,2022/01/11 10:21:00,829,2026.5,7179,17549.13
Pozuelo - Somosaguas,2022/01/11 10:21:00,551,2365.62,4367,18748.93
PresentaciÛn Sabio,2022/01/11 10:21:00,684,2955.67,4058,17535.22
Prosperidad,2022/01/11 10:21:00,1149,2057.48,10334,18504.79
Puerta_Bonita,2022/01/11 10:21:00,433,2817.36,3314,21562.89
Puerta de Madrid,2022/01/11 10:21:00,324,2492.12,2314,17798.63
Puerta_del_Ángel,2022/01/11 10:21:00,574,3190.31,3691,20514.67
Quinta_de_los_Molinos,2022/01/11 10:21:00,225,1961.98,1855,16175.44
Rafael_Alberti,2022/01/11 10:21:00,738,3589.32,4258,20709.11
RamÛn y Cajal,2022/01/11 10:21:00,636,3156.64,3716,18443.52
RascafrÌa,2022/01/11 10:21:00,80,2964.06,351,13004.82
Reina Victoria,2022/01/11 10:21:00,756,2130.24,6508,18338.08
Rejas,2022/01/11 10:21:00,381,2202.95,3134,18120.84
Reyes CatÛlicos,2022/01/11 10:21:00,673,3197.3,4911,23331.27
Reyes Magos,2022/01/11 10:21:00,439,1535.39,3879,13566.73
Rivas - La Paz,2022/01/11 10:21:00,690,2968.25,4494,19332.36
Rivas - Santa MÛnica,2022/01/11 10:21:00,834,2260.71,5887,15957.82
Rivas - 1∫ de Mayo,2022/01/11 10:21:00,641,2078.74,4292,13918.8
Robledo de Chavela,2022/01/11 10:21:00,264,2800.47,1453,15413.17
Rosa Luxemburgo,2022/01/11 10:21:00,720,3034.13,4615,19447.96
San_Andrés,2022/01/11 10:21:00,848,3257.03,5333,20483.18
San Blas,2022/01/11 10:21:00,939,2872.44,6604,20201.9
San_Cristóbal,2022/01/11 10:21:00,468,2330.21,3988,19856.6
San_Diego,2022/01/11 10:21:00,844,3098.73,5980,21955.43
San_Fermín,2022/01/11 10:21:00,593,2469.7,4462,18583.15
San Fernando,2022/01/11 10:21:00,719,3522.96,4097,20074.48
San_Isidro,2022/01/11 10:21:00,413,2330.04,3466,19554.3
San Juan de la Cruz,2022/01/11 10:21:00,679,2668.29,4797,18850.95
San Lorenzo de El Escorial,2022/01/11 10:21:00,556,2575.62,3717,17218.7
San MartÌn de Valdeiglesias,2022/01/11 10:21:00,382,3364.16,2146,18899.16
San MartÌn de la Vega,2022/01/11 10:21:00,628,3198.7,3312,16869.56
Sanchinarro,2022/01/11 10:21:00,660,2199.41,5534,18441.75
Santa Eugenia,2022/01/11 10:21:00,569,2306.16,4305,17448.22
Sector Embarcaciones,2022/01/11 10:21:00,472,1615.11,3867,13232.27
Sector III,2022/01/11 10:21:00,691,2340.07,4551,15411.97
Sector Oficios,2022/01/11 10:21:00,407,2130.67,3066,16050.68
Segovia,2022/01/11 10:21:00,399,1690.46,4407,18671.36
Segre,2022/01/11 10:21:00,669,1742.78,7675,19993.75
Sevilla la Nueva,2022/01/11 10:21:00,332,2663.03,2215,17766.9
Sierra de Guadarrama,2022/01/11 10:21:00,575,3723.13,3638,23556.07
Silvano,2022/01/11 10:21:00,729,1781.13,6958,17000.17
Simancas,2022/01/11 10:21:00,677,2358.89,5007,17445.99
Soto del Real,2022/01/11 10:21:00,668,2587.54,4179,16187.64
S·nchez Morate,2022/01/11 10:21:00,556,3199.45,3334,19185.18
Torrelaguna,2022/01/11 10:21:00,254,3873.13,1115,17002.13
Torrelodones,2022/01/11 10:21:00,724,2232.43,6010,18531.65
Torres de la Alameda,2022/01/11 10:21:00,542,2045.44,3578,13502.91
V Centenario,2022/01/11 10:21:00,439,2695.4,3293,20218.58
Valdeacederas,2022/01/11 10:21:00,386,1453.7,4372,16465.18
Valdebernardo,2022/01/11 10:21:00,495,2776.22,3360,18844.64
Valdelasfuentes,2022/01/11 10:21:00,598,2261.72,4672,17670.2
Valdemorillo,2022/01/11 10:21:00,263,2059.19,1749,13694.02
Valdemoro,2022/01/11 10:21:00,1384,3124.22,7262,16393.15
Valderribas,2022/01/11 10:21:00,456,2163.7,2995,14211.15
Valdezarza,2022/01/11 10:21:00,1158,2473.99,9539,20379.43
Valle_Inclán,2022/01/11 10:21:00,293,2798.2,1846,17629.64
Valle de la Oliva,2022/01/11 10:21:00,480,2298.41,4099,19627.47
Valleaguado,2022/01/11 10:21:00,781,3682.05,4137,19504.03
Vandel,2022/01/11 10:21:00,536,2370.11,4215,18638.07
Vicente_Muzas,2022/01/11 10:21:00,346,1631.77,3458,16308.24
Vicálvaro_Artilleros,2022/01/11 10:21:00,557,2943.04,3536,18683.29
Vicálvaro_Villablanca,2022/01/11 10:21:00,504,3116.3,3016,18648.36
Villa_Vallecas,2022/01/11 10:21:00,830,3026.55,5974,21783.84
Villa del Prado,2022/01/11 10:21:00,245,2543.08,1799,18673.45
Villaamil,2022/01/11 10:21:00,415,1605.04,4585,17732.83
Villanueva de la CaÒada,2022/01/11 10:21:00,758,2081.5,6332,17387.96
Villanueva del Pardillo,2022/01/11 10:21:00,470,2701.77,3141,18055.87
Villarejo de SalvanÈs,2022/01/11 10:21:00,491,3408.78,2804,19466.81
Villaviciosa de OdÛn,2022/01/11 10:21:00,529,1879.35,4580,16271.14
Vinateros_Torito,2022/01/11 10:21:00,819,2621.05,5749,18398.57
Virgen_de_Begoña,2022/01/11 10:21:00,211,2153.5,1891,19299.86
Virgen_del_Cortijo,2022/01/11 10:21:00,312,2199.35,2726,19216.13
Virgen del Val,2022/01/11 10:21:00,199,1642.32,1807,14912.93
Vista_Alegre,2022/01/11 10:21:00,651,1705.04,6358,16652.26
Zofío,2022/01/11 10:21:00,680,2104.42,5949,18410.55
Abrantes,2022/01/04 10:19:00,506,1584.52,5029,15748.11
Acacias,2022/01/04 10:19:00,448,2303.34,3012,15485.86
Adelfas,2022/01/04 10:19:00,752,2551.83,4699,15945.57
Alameda,2022/01/04 10:19:00,528,2413.82,4014,18350.55
Alameda_de_Osuna,2022/01/04 10:19:00,803,2720.83,4701,15928.57
Alcalde BartolomÈ Gonz·lez,2022/01/04 10:19:00,633,2850.71,3795,17090.75
Alcalá_de_Guadaíra,2022/01/04 10:19:00,333,2642.65,2357,18704.86
Alcobendas - Chopera,2022/01/04 10:19:00,825,2930.21,6037,21442.02
Alcocer,2022/01/04 10:19:00,442,2512.51,3162,17974.08
Algete,2022/01/04 10:19:00,823,2903,5283,18634.92
Alicante,2022/01/04 10:19:00,703,2809.98,4806,19210.17
Almendrales,2022/01/04 10:19:00,453,2037.97,4027,18116.79
Alpedrete,2022/01/04 10:19:00,517,3484.06,2591,17460.75
Alpes,2022/01/04 10:19:00,954,2630.85,5960,16435.94
Andrés_Mellado,2022/01/04 10:19:00,687,2855.48,4857,20187.87
Ángela_Uriarte,2022/01/04 10:19:00,757,2745.04,5526,20038.44
Antonio_Leyva,2022/01/04 10:19:00,291,2076.49,2290,16340.8
Aquitania,2022/01/04 10:19:00,510,2065.86,3752,15198.28
Aranjuez,2022/01/04 10:19:00,1036,2323.23,7163,16063.06
Aravaca,2022/01/04 10:19:00,821,2361.23,6548,18832.33
Arganda del Rey,2022/01/04 10:19:00,799,3652.91,3740,17098.71
Arganda - Felicidad,2022/01/04 10:19:00,1283,3686.25,5783,16615.43
Argüelles,2022/01/04 10:19:00,662,2711.56,4641,19009.58
Arroyomolinos,2022/01/04 10:19:00,970,2945.2,4627,14048.88
Barajas,2022/01/04 10:19:00,490,2540.83,3163,16401.35
Barcelona,2022/01/04 10:19:00,516,2458.78,3540,16868.39
Barrio del Puerto,2022/01/04 10:19:00,544,3526.97,2651,17187.5
Baviera,2022/01/04 10:19:00,363,2414.53,2442,16243.18
Benita_de_Ávila,2022/01/04 10:19:00,517,2625.83,3202,16262.89
Boadilla del Monte,2022/01/04 10:19:00,1470,2591.04,8688,15313.57
Br˙jula,2022/01/04 10:19:00,641,3113.62,3647,17715.06
Buenavista,2022/01/04 10:19:00,474,2091.33,3448,15212.88
Buitrago de Lozoya,2022/01/04 10:19:00,110,1956.6,958,17040.2
Bustarviejo,2022/01/04 10:19:00,474,2274.47,3487,16732.25
Butarque,2022/01/04 10:19:00,496,2478.14,3017,15073.69
Cadalso de los Vidrios,2022/01/04 10:19:00,165,2925.53,858,15212.77
Campamento,2022/01/04 10:19:00,313,1982.64,2455,15550.77
Campo Real,2022/01/04 10:19:00,575,2866.12,3099,15447.11
Campo_de_la_Paloma,2022/01/04 10:19:00,554,2846.57,3762,19329.98
Canal_de_Panamá,2022/01/04 10:19:00,740,2352.49,4838,15380.21
Canillejas,2022/01/04 10:19:00,722,2485.8,4890,16835.94
Carabanchel_Alto,2022/01/04 10:19:00,604,2384.9,3563,14068.55
Caramuel,2022/01/04 10:19:00,587,2515.64,4081,17489.5
Carmen Calzado,2022/01/04 10:19:00,292,1867.01,2189,13996.16
Casa_de_Campo,2022/01/04 10:19:00,353,2676.07,2322,17602.91
Castelló,2022/01/04 10:19:00,357,2252.93,2778,17531.24
Castilla la Nueva,2022/01/04 10:19:00,712,3045.47,4051,17327.52
Cea_Bermúdez,2022/01/04 10:19:00,616,3139.49,4033,20554.51
Cercedilla,2022/01/04 10:19:00,422,2865.1,2629,17849.14
Chopera,2022/01/04 10:19:00,818,2560.33,5970,18686.03
Ciempozuelos,2022/01/04 10:19:00,801,3028.93,4118,15571.94
Ciudad San Pablo,2022/01/04 10:19:00,369,3128.71,2176,18450.06
Ciudad de los Periodistas,2022/01/04 10:19:00,450,1788.34,3628,14417.99
Collado Mediano,2022/01/04 10:19:00,388,2989.21,2102,16194.14
Collado Villalba EstaciÛn,2022/01/04 10:19:00,867,3015.44,5474,19038.68
Collado Villalba Pueblo,2022/01/04 10:19:00,750,3716.18,3805,18853.43
Colmenar Viejo Norte,2022/01/04 10:19:00,508,2358.18,3699,17171.11
Colmenar Viejo Sur,2022/01/04 10:19:00,648,2131.86,4454,14653.24
Colmenar de Oreja,2022/01/04 10:19:00,382,2126,2627,14620.44
Comillas,2022/01/04 10:19:00,600,2607.56,4111,17866.15
Cortes,2022/01/04 10:19:00,671,2441.07,5441,19794.09
Coslada - Jaime Vera,2022/01/04 10:19:00,413,2917.7,2420,17096.43
Cuzco,2022/01/04 10:19:00,649,3079.33,4153,19704.88
Daganzo de Arriba,2022/01/04 10:19:00,381,2098.25,2345,12914.42
Daroca,2022/01/04 10:19:00,930,2658.74,6663,19048.57
Dehesa Vieja,2022/01/04 10:19:00,725,2404.01,4195,13910.07
Dos de Mayo,2022/01/04 10:19:00,1076,3351.19,5548,17279.18
Doctor_Cirajas,2022/01/04 10:19:00,978,2810.51,6337,18210.82
Doctor LaÌn Entralgo,2022/01/04 10:19:00,778,3260.96,3774,15818.59
Doctor Luengo RodrÌguez,2022/01/04 10:19:00,1152,2839.82,5571,13733.18
Doctor Tamames,2022/01/04 10:19:00,506,2690.49,3233,17190.41
Doctor Trueta,2022/01/04 10:19:00,273,2600,1905,18142.86
El Bercial,2022/01/04 10:19:00,483,2551.78,2581,13635.88
El Escorial,2022/01/04 10:19:00,412,2517.57,2546,15557.59
El_Espinillo,2022/01/04 10:19:00,350,2073.34,2983,17670.75
El Greco,2022/01/04 10:19:00,476,2719.07,3041,17371.19
El Juncal,2022/01/04 10:19:00,875,3231.88,4492,16591.56
El Molar,2022/01/04 10:19:00,733,2193.43,5217,15611.35
El Naranjo,2022/01/04 10:19:00,599,2399.46,3899,15618.49
El_Pardo,2022/01/04 10:19:00,87,2506.48,430,12388.36
El RestÛn,2022/01/04 10:19:00,1072,3251.34,5042,15292.23
El Soto,2022/01/04 10:19:00,712,3530.87,3770,18695.76
Eloy_Gonzalo,2022/01/04 10:19:00,772,2450.25,5830,18503.82
Embajadores,2022/01/04 10:19:00,618,2350.17,4413,16782.02
Ensanche_Vallecas,2022/01/04 10:19:00,1578,2530.63,9130,14641.73
Entrevías,2022/01/04 10:19:00,749,2656.69,5679,20143.3
Espronceda,2022/01/04 10:19:00,957,2339.45,7261,17750.02
Estrecho_de_Corea,2022/01/04 10:19:00,719,2181.23,5343,16209.08
Estrella,2022/01/04 10:19:00,287,1966.97,2074,14214.24
Europa,2022/01/04 10:19:00,436,2306.15,2656,14048.45
Federica_Montseny,2022/01/04 10:19:00,529,2662.71,3705,18649.02
Felipe II,2022/01/04 10:19:00,707,3466.88,3725,18266.07
Francia,2022/01/04 10:19:00,960,2794.52,6190,18018.8
Fuencarral,2022/01/04 10:19:00,543,2550.25,3465,16273.72
Fuente el Saz,2022/01/04 10:19:00,462,2281.93,3303,16314.33
