municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;2021/12/21 10:15:00;;;954;792,62;16679;13857,59;079603
Madrid-Salamanca;2021/12/21 10:15:00;;;1626;1099,83;22765;15398,3;079604
Madrid-Centro;2021/12/21 10:15:00;;;1352;962,11;22466;15987,3;079601
Madrid-Arganzuela;2021/12/21 10:15:00;;;1311;842,29;21982;14122,89;079602
Madrid-Chamartín;2021/12/21 10:15:00;;;1419;961,71;21832;14796,44;079605
Madrid-Tetuán;2021/12/21 10:15:00;;;1110;687,78;23030;14269,87;079606
Madrid-Chamberí;2021/12/21 10:15:00;;;1663;1180,82;22848;16223,36;079607
Madrid-Fuencarral-El Pardo;2021/12/21 10:15:00;;;1889;755,88;32901;13165,19;079608
Madrid-Moncloa-Aravaca;2021/12/21 10:15:00;;;1255;1031,53;19360;15912,68;079609
Madrid-Latina;2021/12/21 10:15:00;;;1232;508,77;32765;13530,7;079610
Madrid-Carabanchel;2021/12/21 10:15:00;;;1218;468,07;37432;14384,75;079611
Madrid-Usera;2021/12/21 10:15:00;;;593;414,47;21739;15194,34;079612
Madrid-Puente de Vallecas;2021/12/21 10:15:00;;;1107;459,52;41106;17063,09;079613
Madrid-San Blas - Canillejas;2021/12/21 10:15:00;;;940;583,25;22055;13684,65;079620
Madrid-Barajas;2021/12/21 10:15:00;;;353;706,24;6641;13286,52;079621
Madrid-Moratalaz;2021/12/21 10:15:00;;;622;650,85;13796;14435,95;079614
Madrid-Ciudad Lineal;2021/12/21 10:15:00;;;1510;686,7;31970;14539,02;079615
Madrid-Hortaleza;2021/12/21 10:15:00;;;1439;744,73;25558;13227,07;079616
Madrid-Villaverde;2021/12/21 10:15:00;;;618;400,33;22971;14880,39;079617
Madrid-Villa de Vallecas;2021/12/21 10:15:00;;;558;487,54;15674;13694,7;079618
Madrid-Vicálvaro;2021/12/21 10:15:00;;;438;591,86;9868;13334,41;079619
Pozuelo de Alarcón;2021/12/21 10:15:00;;;715;820,28;12449;14282,11;1150
Alcorcón;2021/12/21 10:15:00;;;918;532,53;21983;12752,34;0072
Navalcarnero;2021/12/21 10:15:00;;;165;550,28;3596;11992,66;0967
San Agustín del Guadalix;2021/12/21 10:15:00;;;60;445,57;1912;14198,72;1296
Las Rozas de Madrid;2021/12/21 10:15:00;;;682;709,58;12599;13108,53;1277
Moraleja de Enmedio;2021/12/21 10:15:00;;;34;653,85;796;15307,69;0894
Valdaracete;2021/12/21 10:15:00;;;1;165,29;92;15206,61;1551
Pozuelo del Rey;2021/12/21 10:15:00;;;0;0;109;9300,34;1163
Puebla de la Sierra;2021/12/21 10:15:00;;;0;0;20;27397,26;1185
Perales de Tajuña;2021/12/21 10:15:00;;;33;1103,68;419;14013,38;1104
Valdemorillo;2021/12/21 10:15:00;;;48;375,82;1341;10499,53;1603
Navalafuente;2021/12/21 10:15:00;;;2;132,36;172;11383,19;0941
Velilla de San Antonio;2021/12/21 10:15:00;;;48;387,72;1669;13481,42;1678
Villanueva de la Cañada;2021/12/21 10:15:00;;;197;890,8;3166;14316,08;1760
Villanueva del Pardillo;2021/12/21 10:15:00;;;91;523,11;2335;13422,63;1776
Nuevo Baztán;2021/12/21 10:15:00;;;34;526,81;723;11202,36;1006
Villamantilla;2021/12/21 10:15:00;;;8;539,81;151;10188,93;1757
Villamanta;2021/12/21 10:15:00;;;24;921,31;323;12399,23;1744
Cabanillas de la Sierra;2021/12/21 10:15:00;;;2;254,78;108;13757,96;0297
Cenicientos;2021/12/21 10:15:00;;;11;539,74;264;12953,88;0376
Puentes Viejas;2021/12/21 10:15:00;;;2;286,12;64;9155,94;9020
Aranjuez;2021/12/21 10:15:00;;;221;366,31;8521;14123,52;0133
Cercedilla;2021/12/21 10:15:00;;;37;513,53;1058;14684,25;0382
Santorcaz;2021/12/21 10:15:00;;;5;556,17;78;8676,31;1369
Coslada;2021/12/21 10:15:00;;;442;543,06;11543;14182,16;0493
Morata de Tajuña;2021/12/21 10:15:00;;;26;331,34;1154;14706,26;0915
Robregordo;2021/12/21 10:15:00;;;0;0;5;7692,31;1261
Navarredonda y San Mamés;2021/12/21 10:15:00;;;1;775,19;23;17829,46;0973
Venturada;2021/12/21 10:15:00;;;10;446,23;211;9415,44;1697
Navacerrada;2021/12/21 10:15:00;;;24;776,45;464;15011,32;0936
Montejo de la Sierra;2021/12/21 10:15:00;;;1;274,73;58;15934,07;0881
Fresno de Torote;2021/12/21 10:15:00;;;9;391,47;190;8264,46;0571
Pinilla del Valle;2021/12/21 10:15:00;;;2;1052,63;15;7894,74;1126
Valdemaqueda;2021/12/21 10:15:00;;;0;0;97;12516,13;1599
Navas del Rey;2021/12/21 10:15:00;;;18;606,88;416;14025,62;0992
Olmeda de las Fuentes;2021/12/21 10:15:00;;;1;289,02;46;13294,8;1013
Bustarviejo;2021/12/21 10:15:00;;;11;436,16;245;9714,51;0284
Becerril de la Sierra;2021/12/21 10:15:00;;;39;663,83;882;15012,77;0186
Fuenlabrada;2021/12/21 10:15:00;;;999;513,59;28707;14758,32;0587
Garganta de los Montes;2021/12/21 10:15:00;;;0;0;34;9018,57;0626
Pinto;2021/12/21 10:15:00;;;397;744,49;6495;12180,03;1132
Alameda del Valle;2021/12/21 10:15:00;;;0;0;13;6372,55;0035
Berzosa del Lozoya;2021/12/21 10:15:00;;;1;450,45;64;28828,83;0203
Los Santos de la Humosa;2021/12/21 10:15:00;;;6;222,72;281;10430,59;1375
El Álamo;2021/12/21 10:15:00;;;38;385,32;1262;12796,59;0040
Pelayos de la Presa;2021/12/21 10:15:00;;;18;672,65;370;13826,61;1090
Galapagar;2021/12/21 10:15:00;;;227;658,03;5014;14534,6;0611
Griñón;2021/12/21 10:15:00;;;84;804,98;1621;15534,26;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2021/12/21 10:15:00;;;1;323,62;49;15857,61;0632
Aldea del Fresno;2021/12/21 10:15:00;;;12;403,63;383;12882,61;0088
Carabaña;2021/12/21 10:15:00;;;9;432,48;255;12253,72;0357
Talamanca de Jarama;2021/12/21 10:15:00;;;17;423,73;492;12263,21;1454
Chapinería;2021/12/21 10:15:00;;;21;869,93;229;9486,33;0513
Ciempozuelos;2021/12/21 10:15:00;;;91;362,49;3136;12492,03;0409
Ajalvir;2021/12/21 10:15:00;;;32;677,82;453;9595,42;0029
San Lorenzo de El Escorial;2021/12/21 10:15:00;;;165;890,35;2519;13592,7;1317
Gascones;2021/12/21 10:15:00;;;0;0;18;10227,27;0647
San Martín de la Vega;2021/12/21 10:15:00;;;73;371,82;2470;12580,86;1322
Móstoles;2021/12/21 10:15:00;;;1280;608,63;28358;13483,97;0920
Leganés;2021/12/21 10:15:00;;;899;470,4;24022;12569,46;0745
Braojos;2021/12/21 10:15:00;;;1;485,44;37;17961,17;0246
Cubas de la Sagra;2021/12/21 10:15:00;;;47;718,76;963;14727,02;0506
Algete;2021/12/21 10:15:00;;;154;738,11;3213;15399,73;0091
Mejorada del Campo;2021/12/21 10:15:00;;;129;545,71;3160;13367,74;0843
Loeches;2021/12/21 10:15:00;;;43;483,31;1066;11981,57;0758
Parla;2021/12/21 10:15:00;;;524;392,56;19945;14942,09;1065
Fuentidueña de Tajo;2021/12/21 10:15:00;;;21;983,15;294;13764,04;0604
Ambite;2021/12/21 10:15:00;;;2;328,41;87;14285,71;0112
Torremocha de Jarama;2021/12/21 10:15:00;;;6;558,14;97;9023,26;1533
Anchuelo;2021/12/21 10:15:00;;;6;466,56;106;8242,61;0127
Los Molinos;2021/12/21 10:15:00;;;22;496,28;650;14662,76;0875
Soto del Real;2021/12/21 10:15:00;;;31;345,17;1035;11524,33;1441
Valverde de Alcalá;2021/12/21 10:15:00;;;0;0;59;11847,39;1662
Fuente el Saz de Jarama;2021/12/21 10:15:00;;;35;514,18;1193;17526,08;0590
Horcajo de la Sierra-Aoslos;2021/12/21 10:15:00;;;0;0;12;7894,74;0702
Valdeolmos-Alalpardo;2021/12/21 10:15:00;;;26;614,37;577;13634,22;1625
Campo Real;2021/12/21 10:15:00;;;43;669,78;925;14408,1;0339
Valdeavero;2021/12/21 10:15:00;;;8;502,83;172;10810,81;1564
Villamanrique de Tajo;2021/12/21 10:15:00;;;4;565,77;115;16265,91;1739
Cobeña;2021/12/21 10:15:00;;;102;1362,54;1178;15736,04;0416
Fresnedillas de la Oliva;2021/12/21 10:15:00;;;9;545,12;236;14294,37;0565
Valdilecha;2021/12/21 10:15:00;;;19;637,16;403;13514,42;1659
El Berrueco;2021/12/21 10:15:00;;;6;772,2;92;11840,41;0210
Pezuela de las Torres;2021/12/21 10:15:00;;;0;0;67;7727,8;1111
Villar del Olmo;2021/12/21 10:15:00;;;17;817,7;196;9427,61;1795
Guadarrama;2021/12/21 10:15:00;;;77;464,98;2381;14378,02;0685
San Martín de Valdeiglesias;2021/12/21 10:15:00;;;30;345,66;1256;14471,71;1338
Torrelodones;2021/12/21 10:15:00;;;207;866,04;3509;14680,78;1527
Boadilla del Monte;2021/12/21 10:15:00;;;458;807,28;7199;12689,04;0225
Torrejón de Velasco;2021/12/21 10:15:00;;;22;501,6;573;13064,3;1505
Villanueva de Perales;2021/12/21 10:15:00;;;9;565,33;174;10929,65;1782
Tielmes;2021/12/21 10:15:00;;;18;657,89;396;14473,68;1467
San Sebastián de los Reyes;2021/12/21 10:15:00;;;646;708,15;13437;14729,68;1343
Guadalix de la Sierra;2021/12/21 10:15:00;;;50;776,4;903;14021,74;0679
Humanes de Madrid;2021/12/21 10:15:00;;;110;558,35;3092;15694,63;0730
Chinchón;2021/12/21 10:15:00;;;11;203,21;594;10973,58;0528
Cadalso de los Vidrios;2021/12/21 10:15:00;;;4;131,28;370;12143,09;0318
Hoyo de Manzanares;2021/12/21 10:15:00;;;98;1149,02;1193;13987,57;0724
Torrejón de la Calzada;2021/12/21 10:15:00;;;47;511,2;1149;12497,28;1492
Estremera;2021/12/21 10:15:00;;;4;299,85;175;13118,44;0552
Corpa;2021/12/21 10:15:00;;;1;138,31;58;8022,13;0480
Meco;2021/12/21 10:15:00;;;60;409;1439;9809,13;0838
Madarcos;2021/12/21 10:15:00;;;0;0;10;20408,16;0783
Zarzalejo;2021/12/21 10:15:00;;;5;288,35;201;11591,7;1837
Arganda del Rey;2021/12/21 10:15:00;;;296;522,25;7352;12971,52;0148
Collado Mediano;2021/12/21 10:15:00;;;53;745,95;821;11555,24;0468
Daganzo de Arriba;2021/12/21 10:15:00;;;75;725,55;1205;11657,15;0534
Manzanares El Real;2021/12/21 10:15:00;;;64;716,2;1072;11996,42;0822
Buitrago del Lozoya;2021/12/21 10:15:00;;;14;714,65;326;16641,14;0278
Valdelaguna;2021/12/21 10:15:00;;;2;204,29;93;9499,49;1570
Valdepiélagos;2021/12/21 10:15:00;;;3;488,6;52;8469,06;1631
Casarrubuelos;2021/12/21 10:15:00;;;19;494,15;524;13628,09;0360
Miraflores de la Sierra;2021/12/21 10:15:00;;;40;628,73;823;12936,18;0856
Paracuellos de Jarama;2021/12/21 10:15:00;;;195;752,4;3182;12277,66;1049
El Vellón;2021/12/21 10:15:00;;;2;99,8;230;11477,05;1684
Lozoya;2021/12/21 10:15:00;;;1;172,41;37;6379,31;0761
Collado Villalba;2021/12/21 10:15:00;;;361;560,75;10417;16180,99;0474
Colmenarejo;2021/12/21 10:15:00;;;49;530,88;1223;13250,27;0442
Villavieja del Lozoya;2021/12/21 10:15:00;;;0;0;28;10687,02;1821
Prádena del Rincón;2021/12/21 10:15:00;;;1;800;9;7200;1179
La Cabrera;2021/12/21 10:15:00;;;19;694,44;481;17580,41;0301
Sevilla la Nueva;2021/12/21 10:15:00;;;43;457,79;1349;14361,76;1415
La Acebeda;2021/12/21 10:15:00;;;1;1470,59;6;8823,53;0014
Redueña;2021/12/21 10:15:00;;;2;740,74;14;5185,19;1219
Robledillo de la Jara;2021/12/21 10:15:00;;;0;0;26;27368,42;1245
La Serna del Monte;2021/12/21 10:15:00;;;0;0;18;20689,66;1381
Colmenar de Oreja;2021/12/21 10:15:00;;;24;294,33;1024;12558,25;0437
Rozas de Puerto Real;2021/12/21 10:15:00;;;1;180,18;49;8828,83;1283
Valdemanco;2021/12/21 10:15:00;;;14;1453,79;105;10903,43;1586
Brunete;2021/12/21 10:15:00;;;105;975,84;1428;13271,38;0262
Titulcia;2021/12/21 10:15:00;;;1;74,57;154;11483,97;1473
Villa del Prado;2021/12/21 10:15:00;;;7;105,09;1065;15988,59;1718
Lozoyuela-Navas-Sieteiglesias;2021/12/21 10:15:00;;;3;223,88;171;12761,19;9015
Quijorna;2021/12/21 10:15:00;;;28;790,74;507;14317,99;1198
Valdemoro;2021/12/21 10:15:00;;;401;518,96;9152;11844,18;1610
Tres Cantos;2021/12/21 10:15:00;;;373;771,84;5312;10992,01;9036
Torrelaguna;2021/12/21 10:15:00;;;21;432,63;617;12711,17;1512
Rivas-Vaciamadrid;2021/12/21 10:15:00;;;644;707,9;11019;12112,38;1230
El Atazar;2021/12/21 10:15:00;;;0;0;1;1111,11;0164
Pedrezuela;2021/12/21 10:15:00;;;36;585,37;846;13756,1;1087
Santa María de la Alameda;2021/12/21 10:15:00;;;9;681,3;122;9235,43;1356
Horcajuelo de la Sierra;2021/12/21 10:15:00;;;2;2247,19;7;7865,17;0719
Arroyomolinos;2021/12/21 10:15:00;;;238;722,64;3647;11073,33;0151
Moralzarzal;2021/12/21 10:15:00;;;67;502,47;1887;14151,79;0908
Canencia;2021/12/21 10:15:00;;;0;0;41;9172,26;0344
Villarejo de Salvanés;2021/12/21 10:15:00;;;49;659,22;1103;14839,23;1809
Serranillos del Valle;2021/12/21 10:15:00;;;22;512,7;590;13749,71;1408
Villaviciosa de Odón;2021/12/21 10:15:00;;;243;863,29;3635;12913,88;1816
Camarma de Esteruelas;2021/12/21 10:15:00;;;31;416,83;711;9560,31;0323
Robledo de Chavela;2021/12/21 10:15:00;;;29;664,53;437;10013,75;1258
Patones;2021/12/21 10:15:00;;;4;742,12;42;7792,21;1071
Navalagamella;2021/12/21 10:15:00;;;10;379,22;314;11907,47;0954
Rascafría;2021/12/21 10:15:00;;;9;521,74;176;10202,9;1202
El Boalo;2021/12/21 10:15:00;;;56;730,78;1067;13924,05;0231
Majadahonda;2021/12/21 10:15:00;;;488;676,32;11156;15461,16;0800
Batres;2021/12/21 10:15:00;;;6;342,86;135;7714,29;0170
Alcobendas;2021/12/21 10:15:00;;;825;696,69;19072;16105,8;0066
Alcalá de Henares;2021/12/21 10:15:00;;;853;431,76;23384;11836,28;0053
Colmenar Viejo;2021/12/21 10:15:00;;;364;700,84;6943;13367,86;0455
San Fernando de Henares;2021/12/21 10:15:00;;;239;604,05;5817;14702,02;1300
Villalbilla;2021/12/21 10:15:00;;;69;479,43;1371;9526,13;1723
El Escorial;2021/12/21 10:15:00;;;151;922,7;2106;12868,93;0549
Colmenar del Arroyo;2021/12/21 10:15:00;;;15;840,34;210;11764,71;0421
Torrejón de Ardoz;2021/12/21 10:15:00;;;590;444,1;18157;13666,99;1489
Piñuécar-Gandullas;2021/12/21 10:15:00;;;1;558,66;15;8379,89;1147
Brea de Tajo;2021/12/21 10:15:00;;;0;0;117;23122,53;0259
El Molar;2021/12/21 10:15:00;;;39;419,94;1223;13168,95;0869
Belmonte de Tajo;2021/12/21 10:15:00;;;6;356,51;195;11586,45;0199
Torres de la Alameda;2021/12/21 10:15:00;;;34;434,06;992;12664,37;1548
Somosierra;2021/12/21 10:15:00;;;0;0;10;11494,25;1436
Alpedrete;2021/12/21 10:15:00;;;80;539,12;2052;13828,43;0105
Orusco de Tajuña;2021/12/21 10:15:00;;;20;1544,4;178;13745,17;1028
La Hiruela;2021/12/21 10:15:00;;;1;1538,46;7;10769,23;0698
Cervera de Buitrago;2021/12/21 10:15:00;;;0;0;22;13580,25;0395
Getafe;2021/12/21 10:15:00;;;1072;578,9;25222;13620,26;0650
Ribatejada;2021/12/21 10:15:00;;;1;124,84;93;11610,49;1224
Villaconejos;2021/12/21 10:15:00;;;5;146,11;495;14465,23;1701
Valdetorres de Jarama;2021/12/21 10:15:00;;;21;458,42;475;10368,92;1646
Madrid-Retiro;2021/12/14 10:36:00;;;308;255,9;15780;13110,67;79603
Madrid-Salamanca;2021/12/14 10:36:00;;;389;263,12;21242;14368,14;79604
Madrid-Centro;2021/12/14 10:36:00;;;384;273,26;21224;15103,47;79601
Madrid-Arganzuela;2021/12/14 10:36:00;;;413;265,34;20790;13357,06;79602
Madrid-Chamartín;2021/12/14 10:36:00;;;473;320,57;20572;13942,49;79605
Madrid-Tetuán;2021/12/14 10:36:00;;;265;164,2;21893;13565,36;79606
Madrid-Chamberí;2021/12/14 10:36:00;;;486;345,09;21302;15125,61;79607
Madrid-Fuencarral-El Pardo;2021/12/14 10:36:00;;;718;287,3;31158;12467,74;79608
Madrid-Moncloa-Aravaca;2021/12/14 10:36:00;;;362;297,54;18171;14935,4;79609
Madrid-Latina;2021/12/14 10:36:00;;;483;199,46;31545;13026,89;79610
Madrid-Carabanchel;2021/12/14 10:36:00;;;458;176;36252;13931,29;79611
Madrid-Usera;2021/12/14 10:36:00;;;205;143,28;21121;14762,39;79612
Madrid-Puente de Vallecas;2021/12/14 10:36:00;;;428;177,66;40002;16604,82;79613
Madrid-San Blas - Canillejas;2021/12/14 10:36:00;;;370;229,58;21079;13079,06;79620
Madrid-Barajas;2021/12/14 10:36:00;;;135;270,09;6313;12630,29;79621
Madrid-Moratalaz;2021/12/14 10:36:00;;;267;279,39;13225;13838,46;79614
Madrid-Ciudad Lineal;2021/12/14 10:36:00;;;519;236,03;30502;13871,42;79615
Madrid-Hortaleza;2021/12/14 10:36:00;;;558;288,78;24177;12512,36;79616
Madrid-Villaverde;2021/12/14 10:36:00;;;218;141,22;22373;14493,01;79617
Madrid-Villa de Vallecas;2021/12/14 10:36:00;;;196;171,25;15107;13199,3;79618
Madrid-Vicálvaro;2021/12/14 10:36:00;;;162;218,91;9429;12741,2;79619
Alcorcón;2021/12/14 10:36:00;;;324;187,95;21076;12226,19;72
Navalcarnero;2021/12/14 10:36:00;;;57;190,1;3441;11475,74;967
San Agustín del Guadalix;2021/12/14 10:36:00;;;23;170,8;1849;13730,88;1296
Las Rozas de Madrid;2021/12/14 10:36:00;;;300;312,13;11933;12415,59;1277
Moraleja de Enmedio;2021/12/14 10:36:00;;;8;153,85;773;14865,38;894
Valdaracete;2021/12/14 10:36:00;;;1;165,29;92;15206,61;1551
Pozuelo del Rey;2021/12/14 10:36:00;;;2;170,65;109;9300,34;1163
Puebla de la Sierra;2021/12/14 10:36:00;;;0;0;20;27397,26;1185
Perales de Tajuña;2021/12/14 10:36:00;;;28;936,45;401;13411,37;1104
Valdemorillo;2021/12/14 10:36:00;;;27;211,4;1294;10131,54;1603
Navalafuente;2021/12/14 10:36:00;;;2;132,36;170;11250,83;941
Velilla de San Antonio;2021/12/14 10:36:00;;;19;153,47;1615;13045,23;1678
Villanueva de la Cañada;2021/12/14 10:36:00;;;76;343,66;2991;13524,76;1760
Villanueva del Pardillo;2021/12/14 10:36:00;;;32;183,95;2237;12859,28;1776
Nuevo Baztán;2021/12/14 10:36:00;;;24;371,86;702;10876,98;1006
Villamantilla;2021/12/14 10:36:00;;;2;134,95;144;9716,6;1757
Villamanta;2021/12/14 10:36:00;;;13;499,04;311;11938,58;1744
Cabanillas de la Sierra;2021/12/14 10:36:00;;;2;254,78;109;13885,35;297
Cenicientos;2021/12/14 10:36:00;;;2;98,14;255;12512,27;376
Puentes Viejas;2021/12/14 10:36:00;;;1;143,06;63;9012,88;9020
Aranjuez;2021/12/14 10:36:00;;;95;157,46;8314;13780,42;133
Cercedilla;2021/12/14 10:36:00;;;25;346,98;1033;14337,27;382
Santorcaz;2021/12/14 10:36:00;;;6;667,41;78;8676,31;1369
Coslada;2021/12/14 10:36:00;;;153;187,98;11089;13624,36;493
Morata de Tajuña;2021/12/14 10:36:00;;;32;407,8;1131;14413,15;915
Robregordo;2021/12/14 10:36:00;;;0;0;5;7692,31;1261
Navarredonda y San Mamés;2021/12/14 10:36:00;;;0;0;21;16279,07;973
Venturada;2021/12/14 10:36:00;;;3;133,87;204;9103,08;1697
Navacerrada;2021/12/14 10:36:00;;;8;258,82;446;14428,99;936
Montejo de la Sierra;2021/12/14 10:36:00;;;0;0;55;15109,89;881
Fresno de Torote;2021/12/14 10:36:00;;;3;130,49;183;7959,98;571
Pinilla del Valle;2021/12/14 10:36:00;;;0;0;12;6315,79;1126
Valdemaqueda;2021/12/14 10:36:00;;;0;0;97;12516,13;1599
Navas del Rey;2021/12/14 10:36:00;;;7;236,01;400;13486,18;992
Olmeda de las Fuentes;2021/12/14 10:36:00;;;0;0;45;13005,78;1013
Bustarviejo;2021/12/14 10:36:00;;;12;475,81;237;9397,3;284
Becerril de la Sierra;2021/12/14 10:36:00;;;11;187,23;844;14365,96;186
Fuenlabrada;2021/12/14 10:36:00;;;418;214,89;27745;14263,75;587
Garganta de los Montes;2021/12/14 10:36:00;;;0;0;34;9018,57;626
Pinto;2021/12/14 10:36:00;;;130;243,79;6171;11572,43;1132
Alameda del Valle;2021/12/14 10:36:00;;;1;490,2;13;6372,55;35
Berzosa del Lozoya;2021/12/14 10:36:00;;;1;450,45;64;28828,83;203
Los Santos de la Humosa;2021/12/14 10:36:00;;;6;222,72;275;10207,87;1375
El Álamo;2021/12/14 10:36:00;;;27;273,78;1226;12431,56;40
Pelayos de la Presa;2021/12/14 10:36:00;;;12;448,43;356;13303,44;1090
Galapagar;2021/12/14 10:36:00;;;79;229,01;4803;13922,95;611
Griñón;2021/12/14 10:36:00;;;34;325,83;1548;14834,69;663
Gargantilla del Lozoya y Pinilla de Buitrago;2021/12/14 10:36:00;;;0;0;47;15210,36;632
Aldea del Fresno;2021/12/14 10:36:00;;;6;201,82;373;12546,25;88
Carabaña;2021/12/14 10:36:00;;;4;192,22;247;11869,29;357
Talamanca de Jarama;2021/12/14 10:36:00;;;11;274,18;476;11864,41;1454
Chapinería;2021/12/14 10:36:00;;;9;372,83;209;8657,83;513
Ciempozuelos;2021/12/14 10:36:00;;;35;139,42;3063;12201,24;409
Ajalvir;2021/12/14 10:36:00;;;20;423,64;421;8917,6;29
San Lorenzo de El Escorial;2021/12/14 10:36:00;;;69;372,33;2376;12821,07;1317
Gascones;2021/12/14 10:36:00;;;0;0;18;10227,27;647
San Martín de la Vega;2021/12/14 10:36:00;;;20;101,87;2397;12209,04;1322
Móstoles;2021/12/14 10:36:00;;;479;227,76;27107;12889,13;920
Leganés;2021/12/14 10:36:00;;;357;186,8;23083;12078,13;745
Braojos;2021/12/14 10:36:00;;;0;0;36;17475,73;246
Cubas de la Sagra;2021/12/14 10:36:00;;;20;305,86;922;14100,02;506
Algete;2021/12/14 10:36:00;;;64;306,75;3061;14671,2;91
Mejorada del Campo;2021/12/14 10:36:00;;;96;406,11;3056;12927,79;843
Loeches;2021/12/14 10:36:00;;;17;191,08;1034;11621,9;758
Parla;2021/12/14 10:36:00;;;282;211,26;19500;14608,71;1065
Fuentidueña de Tajo;2021/12/14 10:36:00;;;3;140,45;274;12827,72;604
Ambite;2021/12/14 10:36:00;;;0;0;83;13628,9;112
Torremocha de Jarama;2021/12/14 10:36:00;;;2;186,05;90;8372,09;1533
Anchuelo;2021/12/14 10:36:00;;;8;622,08;105;8164,85;127
Los Molinos;2021/12/14 10:36:00;;;7;157,91;631;14234,15;875
Soto del Real;2021/12/14 10:36:00;;;10;111,35;996;11090,08;1441
Valverde de Alcalá;2021/12/14 10:36:00;;;0;0;58;11646,59;1662
Fuente el Saz de Jarama;2021/12/14 10:36:00;;;15;220,36;1166;17129,43;590
Horcajo de la Sierra-Aoslos;2021/12/14 10:36:00;;;0;0;12;7894,74;702
Valdeolmos-Alalpardo;2021/12/14 10:36:00;;;16;378,07;560;13232,51;1625
Campo Real;2021/12/14 10:36:00;;;22;342,68;890;13862,93;339
Valdeavero;2021/12/14 10:36:00;;;3;188,56;162;10182,28;1564
Villamanrique de Tajo;2021/12/14 10:36:00;;;5;707,21;114;16124,47;1739
Cobeña;2021/12/14 10:36:00;;;69;921,72;1099;14680,74;416
Fresnedillas de la Oliva;2021/12/14 10:36:00;;;3;181,71;229;13870,38;565
Valdilecha;2021/12/14 10:36:00;;;4;134,14;382;12810,19;1659
El Berrueco;2021/12/14 10:36:00;;;0;0;86;11068,21;210
Pezuela de las Torres;2021/12/14 10:36:00;;;1;115,34;67;7727,8;1111
Villar del Olmo;2021/12/14 10:36:00;;;5;240,5;182;8754,21;1795
Guadarrama;2021/12/14 10:36:00;;;39;235,51;2319;14003,62;685
San Martín de Valdeiglesias;2021/12/14 10:36:00;;;13;149,79;1232;14195,18;1338
Torrelodones;2021/12/14 10:36:00;;;102;426,74;3339;13969,54;1527
Boadilla del Monte;2021/12/14 10:36:00;;;202;356,05;6763;11920,54;225
Torrejón de Velasco;2021/12/14 10:36:00;;;15;342;551;12562,7;1505
Villanueva de Perales;2021/12/14 10:36:00;;;4;251,26;165;10364,32;1782
Tielmes;2021/12/14 10:36:00;;;15;548,25;383;13998,54;1467
San Sebastián de los Reyes;2021/12/14 10:36:00;;;266;291,59;12848;14084,01;1343
Guadalix de la Sierra;2021/12/14 10:36:00;;;25;388,2;864;13416,15;679
Humanes de Madrid;2021/12/14 10:36:00;;;71;360,39;3006;15258,11;730
Chinchón;2021/12/14 10:36:00;;;2;36,95;580;10714,95;528
Cadalso de los Vidrios;2021/12/14 10:36:00;;;1;32,82;365;11979;318
Hoyo de Manzanares;2021/12/14 10:36:00;;;31;363,47;1106;12967,52;724
Torrejón de la Calzada;2021/12/14 10:36:00;;;14;152,27;1103;11996,95;1492
Estremera;2021/12/14 10:36:00;;;1;74,96;172;12893,55;552
Corpa;2021/12/14 10:36:00;;;0;0;56;7745,5;480
Meco;2021/12/14 10:36:00;;;24;163,6;1387;9454,67;838
Madarcos;2021/12/14 10:36:00;;;1;2040,82;10;20408,16;783
Zarzalejo;2021/12/14 10:36:00;;;4;230,68;196;11303,34;1837
Arganda del Rey;2021/12/14 10:36:00;;;146;257,6;7062;12459,86;148
Collado Mediano;2021/12/14 10:36:00;;;18;253,34;781;10992,26;468
Daganzo de Arriba;2021/12/14 10:36:00;;;33;319,24;1145;11076,71;534
Manzanares El Real;2021/12/14 10:36:00;;;20;223,81;1009;11291,41;822
Buitrago del Lozoya;2021/12/14 10:36:00;;;3;153,14;312;15926,49;278
Valdelaguna;2021/12/14 10:36:00;;;2;204,29;90;9193,05;1570
Valdepiélagos;2021/12/14 10:36:00;;;0;0;48;7817,59;1631
Casarrubuelos;2021/12/14 10:36:00;;;5;130,04;503;13081,92;360
Miraflores de la Sierra;2021/12/14 10:36:00;;;23;361,52;794;12480,35;856
Paracuellos de Jarama;2021/12/14 10:36:00;;;96;370,41;3000;11575,41;1049
El Vellón;2021/12/14 10:36:00;;;2;99,8;229;11427,15;1684
Lozoya;2021/12/14 10:36:00;;;0;0;36;6206,9;761
Collado Villalba;2021/12/14 10:36:00;;;178;276,49;10096;15682,38;474
Colmenarejo;2021/12/14 10:36:00;;;21;227,52;1185;12838,57;442
Villavieja del Lozoya;2021/12/14 10:36:00;;;0;0;28;10687,02;1821
Prádena del Rincón;2021/12/14 10:36:00;;;0;0;7;5600;1179
La Cabrera;2021/12/14 10:36:00;;;14;511,7;474;17324,56;301
Sevilla la Nueva;2021/12/14 10:36:00;;;27;287,45;1308;13925,26;1415
La Acebeda;2021/12/14 10:36:00;;;1;1470,59;6;8823,53;14
