"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
24107.9552857143,24168.1277142857,14413.2807142857,12722.9725714286,9819.165,11445.205,5366.79314285714,3197.26342857143,4650.18585714286,40997.547,4031.58957142857,2170.39128571429
24619.9657142857,33225.1714285714,20121.5935714286,26740.5122857143,21237.7067142857,8834.18542857143,3735.97971428571,3686.78971428571,8274.643,18893.002,3372.395,2247.50957142857
14241.608,20199.2487142857,69332.7511428571,37791.0625714286,5712.51242857143,4216.38014285714,15627.5495714286,24326.1375714286,6588.33328571429,22930.9805714286,4203.02528571429,6899.633
12825.1545714286,27182.6305714286,37639.9551428571,82808.3067142857,15138.845,7375.058,5140.78114285714,22115.1337142857,24355.1564285714,22329.6608571429,5852.46557142857,11180.0894285714
9673.03942857143,20737.1568571429,5768.95657142857,14986.1134285714,20124.7351428571,13904.4437142857,1509.42814285714,1803.48971428571,13057.4715714286,9973.67728571428,3870.88028571429,2146.024
11478.5024285714,8881.04714285714,4128.25028571429,7388.82457142857,14053.467,22623.1855714286,1262.18157142857,1651.39042857143,6939.83071428571,18516.0652857143,6456.307,1663.69685714286
5338.26028571429,3590.45285714286,15421.8921428571,5163.821,1464.35171428571,1258.77471428571,9100.81028571429,6062.753,1606.34085714286,15880.819,1530.68,3005.80685714286
3018.747,3562.91342857143,24030.1931428571,22325.8224285714,1843.787,1620.39928571429,6330.491,21889.2691428571,3605.62585714286,8457.65542857143,1868.41228571429,5806.50185714286
4687.16228571429,8241.15585714286,6664.38,23921.131,12974.2101428571,6880.26528571429,1629.77657142857,3577.98871428571,20564.3331428571,10259.8144285714,6446.34342857143,2682.91757142857
41033.8632857143,18981.6588571429,22980.301,22500.9288571429,9873.45914285714,18613.6594285714,15969.3708571429,8389.32071428571,10319.028,180126.427,26142.4495714286,7868.35514285714
4018.25371428571,3357.324,4184.06057142857,5843.67771428571,3800.96228571429,6473.135,1655.13142857143,1886.68342857143,6491.14614285714,26345.4357142857,29128.8548571429,2374.057
2150.24771428571,2181.07071428571,6866.56171428571,11331.512,2145.96671428571,1550.55628571429,2912.71828571429,5715.22142857143,2683.615,7757.52085714286,2325.609,16515.1442857143
